State Date       Time   Providers Details
AL    2022-02-14 09-23  -4        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Dothan,36301,Walmart Pharmacy #2534', 'AL,Fairhope,36532,Walmart Pharmacy #4333']
AL    2022-02-16 08-11  +4        ['AL,Chelsea,35043,Walmart Pharmacy #4330', 'AL,Hoover,35242,Walmart Pharmacy #2111', 'AL,Northport,35476,Walmart Pharmacy #5248', 'AL,Vestavia,35216,Walmart Pharmacy #4580']
AL    2022-02-16 08-11  -2        ['AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Jasper,35501,Walmart Pharmacy #287']
AL    2022-02-16 08-23  +5        ['AL,Florence,35630,Walmart Pharmacy #4188', 'AL,Florence,35633,Walmart Pharmacy #4187', 'AL,Huntsville,35816,Sams Pharmacy #4776', 'AL,Orange Beach,36561,Walmart Pharmacy #5653', 'AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-16 08-23  -1        ['AL,Huntsville,35810,Walmart Pharmacy #433']
AL    2022-02-16 18-37  +28       ['AL,Arab,35016,Walmart Pharmacy #306', 'AL,Auburn,36832,Walmart Pharmacy #356', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Birmingham,35235,Sams Pharmacy #4817', 'AL,Calera,35040,Walmart Pharmacy #3271', 'AL,Daphne,36526,Walmart Pharmacy #934', 'AL,Decatur,35603,Walmart Pharmacy #662', 'AL,Gadsden,35903,Walmart Pharmacy #301', 'AL,Gulf Shores,36542,Walmart Pharmacy #2748', 'AL,Hartselle,35640,Walmart Pharmacy #1124', 'AL,Hazel Green,35750,Walmart Pharmacy #6878', 'AL,Homewood,35209,Walmart Pharmacy #1481', 'AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al', 'AL,Huntsville,35806,Walmart Pharmacy #332', 'AL,Huntsville,35810,Walmart Pharmacy #3185', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Irondale,35210,Walmart Pharmacy #1711', 'AL,Madison,35757,Walmart Pharmacy #7342', 'AL,Mobile,36606,Walmart Pharmacy #5740', 'AL,Montgomery,36107,Walmart Pharmacy #4672', 'AL,Montgomery,36107,Walmart Pharmacy #5348', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Oxford,36203,Sams Pharmacy #4836', 'AL,Pell City,35125,Walmart Pharmacy #5113', 'AL,Semmes,36575,Walmart Pharmacy #5174', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al', 'AL,Tuscaloosa,35405,Walmart Pharmacy #715', 'AL,Wetumpka,36092,Walmart Pharmacy #1101']
AL    2022-02-16 18-37  -2        ['AL,Phenix City,36867,Walgreens Store #06483', 'AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-18 16-04  +7        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Dothan,36301,Walmart Pharmacy #2534', 'AL,Fairhope,36532,Walmart Pharmacy #4333', 'AL,Huntsville,35810,Walmart Pharmacy #433', 'AL,Jasper,35501,Walmart Pharmacy #287']
AL    2022-02-22 09-09  -5        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al']
AL    2022-03-03 10-04  +5        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Bessemer,35020,Fms Pharmacy', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Jasper,35501,English Plaza Pharmacy', 'AL,Montevallo,35115,Montevallo Drug']
AL    2022-03-03 10-04  -1        ['AL,Cullman,35058,Walmart Pharmacy #7280']
AL    2022-03-08 14-40  +1        ['AL,Cullman,35058,Walmart Pharmacy #7280']
AL    2022-03-16 18-51  +1        ['AL,Phenix City,36867,Walgreens Store #06483']
AL    2022-03-16 18-51  -2        ['AL,Gulf Shores,36542,Walmart Pharmacy #2748', 'AL,Huntsville,35898,Fox Army Health Clinic']
AL    2022-03-18 09-58  +2        ['AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Prattville,36066,Omnicare Of Prattville #48202']
AL    2022-03-18 11-17  +17       ['AL,Alexander City,35010,Russell Medical Center', 'AL,Birmingham,35205,Uab Highlands Apothecary', 'AL,Birmingham,35222,University Medical Center Pharmacy', 'AL,Birmingham,35233,The Kirklin Clinic Pharmacy', 'AL,Birmingham,35249,Uab Specialty Pharmacy', 'AL,Decatur,35601,Payless Pharmacy', 'AL,Florence,35633,Hamilton Family Urgent Care', 'AL,Heflin,36264,Cleburne Pharmacy Heflin', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Luverne,36049,Crenshaw Community Hospital', 'AL,Mobile,36607,Mobile Infirmary Medical Center', 'AL,Montgomery,36106,Jackson Apothecary', 'AL,Montgomery,36116,Baptist Tower Pharmacy', 'AL,Northport,35476,Northport Medical Center', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Prattville,36066,Jackson Apothecary', 'AL,Wedowee,36278,Cleburne Pharmacy Wedowee']
AL    2022-03-18 11-17  -1        ['AL,Birmingham,35211,Cahaba Med Care - West End Office']
AL    2022-03-19 08-15  +5        ['AL,Athens,35611,Athens-Limestone Community Pharmacy', 'AL,Cullman,35058,Borden Family Pharmacy', 'AL,Gadsden,35901,Gadsden City Pharmacy', 'AL,Opelika,36804,Beauregard Drugs', 'AL,Rainsville,35986,Rainsville Drugs Inc']
AL    2022-03-19 11-58  -4        ['AL,Bessemer,35020,Fms Pharmacy', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Irondale,35210,Walmart Pharmacy #1711', 'AL,Jasper,35501,English Plaza Pharmacy']
AK    2021-12-29 09-02  +4        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Anchorage,99508,Alaska Native Medical Center', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-01-10 10-10  -1        ['AK,Anchorage,99508,Alaska Native Medical Center']
AK    2022-01-11 08-35  +3        ['AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-01-11 08-35  -1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-13 10-07  +1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-13 10-07  -1        ['AK,Fairbanks,99709,Safeway Pharmacy']
AK    2022-01-14 15-37  +3        ['AK,Sitka,99835,Harry Race Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co', 'AK,Soldotna,99669,Soldotna Professional Pharmacy']
AK    2022-01-19 08-05  +3        ['AK,Anchorage,99515,Carrs Pharmacy', 'AK,Fairbanks,99709,Safeway Pharmacy', 'AK,Juneau,99801,Bartlett Regional Hospital']
AK    2022-01-19 08-05  -1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-21 18-08  +2        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-21 18-08  -1        ['AK,Fairbanks,99709,Safeway Pharmacy']
AK    2022-01-24 09-15  +2        ['AK,Fairbanks,99709,Safeway Pharmacy', 'AK,Kodiak,99615,Safeway Pharmacy']
AK    2022-01-28 09-28  +2        ['AK,Fairbanks,99701,Walgreens Store #15944', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-01-28 17-11  +1        ['AK,Soldotna,99669,Urgent Care Of Soldotna']
AK    2022-02-02 09-09  -4        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Fairbanks,99701,Walgreens Store #15944', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-02-04 09-14  +3        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fairbanks,99701,Walgreens Store #15944']
AK    2022-02-09 09-41  +2        ['AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin']
AK    2022-02-10 21-04  +3        ['AK,Seward,99664,Providence Seward Medical Center', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-02-10 21-04  -7        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-02-16 18-37  +8        ['AK,Anchorage,99502,Carrs Pharmacy', 'AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-02-16 18-37  -1        ['AK,Seward,99664,Providence Seward Medical Center']
AK    2022-02-18 16-04  +1        ['AK,Eagle River,99577,Walgreens Store #15362']
AK    2022-02-22 09-09  -2        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-03-03 09-56  +4        ['AK,Anchorage,99508,Southcentral Foundation', 'AK,Seward,99664,Safeway Pharmacy', 'AK,Sitka,99835,Searhc Mt Edgecumbe Hosp Pharmacy', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-03-03 10-04  +1        ['AK,Seward,99664,North Star Health Clinic Pharmacy']
AK    2022-03-08 14-40  -1        ['AK,Eagle River,99577,Walgreens Store #15362']
AK    2022-03-16 18-51  +2        ['AK,Palmer,99645,Carrs Pharmacy', 'AK,Seward,99664,Providence Seward Medical Center']
AK    2022-03-16 18-51  -8        ['AK,Anchorage,99508,Southcentral Foundation', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Searhc Mt Edgecumbe Hosp Pharmacy', 'AK,Soldotna,99669,Soldotna Professional Pharmacy']
AK    2022-03-18 09-58  +5        ['AK,Anchorage,99507,Fred Meyer Pharmacy 70100656', 'AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Cordova,,Cordova Community Medical Center', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Seward,,North Star Health Clinic Pharmacy']
AK    2022-03-18 09-58  -3        ['AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Harry Race Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  +5        ['AK,Anchorage,99508,Alaska Psychiatric Institute', 'AK,Cordova,99574,Cordova Community Medical Center', 'AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Harry Race Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  -6        ['AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Cordova,,Cordova Community Medical Center', 'AK,Naknek,99633,Camai Comm Hlth Ctr Inc', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Seward,,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AS    2022-02-10 21-04  -1        ['AS,Pago Pago,96799,Lbj Tropical Medical Center']
AS    2022-03-03 09-56  +1        ['AS,Pago Pago,96799,American Samoa Dept Of Health']
AS    2022-03-16 18-51  -2        ['AS,Pago Pago,96799,American Samoa Dept Of Health', 'AS,Pago Pago,96799,Lbj Tropical Medical Center']
AZ    2021-12-29 09-02  +2        ['AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center']
AZ    2022-01-04 16-56  +3        ['AZ,Mohave Valley,86440,Fort Mojave Indian Health Center', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Tucson,85723,V22 678 Tucson, Az']
AZ    2022-01-10 10-10  -1        ['AZ,Mohave Valley,86440,Fort Mojave Indian Health Center']
AZ    2022-01-11 08-35  +1        ['AZ,Phoenix,85042,Mountain Park Hc - Baseline']
AZ    2022-01-11 08-35  -2        ['AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center']
AZ    2022-01-14 15-37  +7        ['AZ,Nogales,85621,Walgreens Store #07623', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Phoenix,85035,Walgreens Store #05937', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Surprise,85374,Walgreens Store #04620', 'AZ,Tucson,85712,Walgreens Store #04045', 'AZ,Tucson,85745,El Rio Santa Cruz Neighborhood']
AZ    2022-01-21 18-08  +15       ['AZ,Casa Grande,85122,Walmart Pharmacy #1218', 'AZ,Claypool,85532,Walmart Pharmacy #1334', 'AZ,Coolidge,85128,Walmart Pharmacy #2778', 'AZ,Cottonwood,86326,Walmart Pharmacy #1299', 'AZ,Douglas,85607,Walmart Pharmacy #1846', 'AZ,Glendale,85301,Walmart Pharmacy #5124', 'AZ,Kingman,86409,Walmart Pharmacy #2051', 'AZ,Mesa,85201,Walmart Pharmacy #2482', 'AZ,Mesa,85204,Walmart Pharmacy #2768', 'AZ,Page,86040,Walmart Pharmacy #1442', 'AZ,Parker,85344,Walmart Pharmacy #4543', 'AZ,Safford,85546,Walmart Pharmacy #1149', 'AZ,Winslow,86047,Walmart Pharmacy #1328', 'AZ,Yuma,85364,Walmart Pharmacy #7320', 'AZ,Yuma,85365,Walmart Pharmacy #1474']
AZ    2022-02-02 09-09  -3        ['AZ,Chandler,85224,Walgreens Store #03727', 'AZ,Phoenix,85022,Walgreens Store #03477', 'AZ,Tucson,85712,Walgreens Store #04045']
AZ    2022-02-04 09-14  +2        ['AZ,Chandler,85224,Walgreens Store #03727', 'AZ,Phoenix,85022,Walgreens Store #03477']
AZ    2022-02-07 09-54  +6        ['AZ,Chinle,86503,Chinle Comprehensive Healthcare', 'AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Parker,85344,Parker Indian Health Center', 'AZ,Phoenix,85016,Phoenix Indian Medical Center', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center', 'AZ,Tucson,85746,Tonhc San Xavier Health Center']
AZ    2022-02-09 09-41  +1        ['AZ,Tucson,85712,Walgreens Store #04045']
AZ    2022-02-10 21-04  +6        ['AZ,Flagstaff,86004,Sacred Peaks /Tcrhcc Ihs', 'AZ,Peach Springs,86434,Peach Springs Health Station', 'AZ,Peridot,85542,San Carlos Healthcare Corporation', 'AZ,Sacaton,85147,Hu Hu Kam Memorial Hospital', 'AZ,Tonalea,86044,Navajo Mountain Chc', 'AZ,Tsaile,86556,Tsaile Health Center']
AZ    2022-02-10 21-04  -5        ['AZ,Coolidge,85128,Walmart Pharmacy #2778', 'AZ,Kingman,86409,Walmart Pharmacy #2051', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Tucson,85723,V22 678 Tucson, Az', 'AZ,Tucson,85746,Tonhc San Xavier Health Center']
AZ    2022-02-16 08-11  +1        ['AZ,Tucson,85745,Walgreens Store #13822']
AZ    2022-02-16 08-23  +2        ['AZ,Red Mesa,86514,Four Corners Regional Health Center', 'AZ,Scottsdale,85256,Salt River Integrated Health Care']
AZ    2022-02-16 18-37  +6        ['AZ,Coolidge,85128,Walmart Pharmacy #2778', 'AZ,Kingman,86409,Walmart Pharmacy #2051', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Polacca,86042,Hopi Health Care Center', 'AZ,Tucson,85723,V22 678 Tucson, Az', 'AZ,Tucson,85746,Tonhc San Xavier Health Center']
AZ    2022-02-16 18-37  -9        ['AZ,Flagstaff,86004,Sacred Peaks /Tcrhcc Ihs', 'AZ,Peach Springs,86434,Peach Springs Health Station', 'AZ,Peridot,85542,San Carlos Healthcare Corporation', 'AZ,Sacaton,85147,Hu Hu Kam Memorial Hospital', 'AZ,Scottsdale,85256,Salt River Integrated Health Care', 'AZ,Tonalea,86044,Navajo Mountain Chc', 'AZ,Tsaile,86556,Tsaile Health Center', 'AZ,Tucson,85710,Cvs Store #00091', 'AZ,Tucson,85745,Walgreens Store #13822']
AZ    2022-02-18 15-54  +1        ['AZ,Tucson,85710,Cvs Store #00091']
AZ    2022-02-22 09-09  -2        ['AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Tucson,85723,V22 678 Tucson, Az']
AZ    2022-02-24 09-51  -1        ['AZ,Casa Grande,85122,Cvs Store #00086']
AZ    2022-03-03 09-56  +26       ['AZ,Avondale,85323,Sams Pharmacy #4830', 'AZ,Bullhead City,86442,Walmart Pharmacy #1370', 'AZ,Casa Grande,85122,Cvs Store #00086', 'AZ,Fort Huachuca,85613,Raymond W. Bliss Army Health Center', 'AZ,Glendale,85303,Walmart Pharmacy #3314', 'AZ,Mesa,85204,Walmart Pharmacy #5304', 'AZ,Mesa,85210,Walmart Pharmacy #3799', 'AZ,Nogales,85621,Walmart Pharmacy #1324', 'AZ,Peridot,85542,San Carlos Healthcare Corporation', 'AZ,Phoenix,85015,Walmart Pharmacy #2113', 'AZ,Phoenix,85017,Walmart Pharmacy #5330', 'AZ,Phoenix,85031,Walmart Pharmacy #5189', 'AZ,Phoenix,85035,Walmart Pharmacy #1549', 'AZ,Phoenix,85041,Walmart Pharmacy #3771', 'AZ,Phoenix,85042,Walmart Pharmacy #4293', 'AZ,Phoenix,85051,Walmart Pharmacy #6477', 'AZ,Scottsdale,85256,Salt River Integrated Health Care', 'AZ,Tucson,85705,Walmart Pharmacy #1325', 'AZ,Tucson,85705,Walmart Pharmacy #4473', 'AZ,Tucson,85706,Walmart Pharmacy #4490', 'AZ,Tucson,85711,Walmart Pharmacy #4603', 'AZ,Tucson,85712,Walmart Pharmacy #3357', 'AZ,Tucson,85713,Walmart Pharmacy #5626', 'AZ,Tucson,85746,Walmart Pharmacy #1612', 'AZ,Tucson,85746,Walmart Pharmacy #3377', 'AZ,Yuma,85364,Walmart Pharmacy #5342']
AZ    2022-03-03 10-04  +2        ['AZ,Sacaton,85147,Hu Hu Kam Memorial Hospital', 'AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-03-08 14-40  +51       ['AZ,Cave Creek,85331,Cvs Store #07852', 'AZ,Chandler,85226,Cvs Store #03965', 'AZ,Chandler,85248,Cvs Store #05038', 'AZ,Chandler,85249,Cvs Store #07075', 'AZ,Cottonwood,86326,Cvs Store #09319', 'AZ,Fort Mohave,86426,Cvs Store #09309', 'AZ,Gilbert,85295,Cvs Store #05891', 'AZ,Gilbert,85296,Cvs Store #03268', 'AZ,Glendale,85303,Cvs Store #07872', 'AZ,Glendale,85308,Cvs Store #00017', 'AZ,Goodyear,85395,Walgreens Store #03657', 'AZ,Green Valley,85614,Cvs Store #09254', 'AZ,Laveen,85339,Cvs Store #05892', 'AZ,Litchfield Park,85340,Cvs Store #05791', 'AZ,Mesa,85205,Cvs Store #04795', 'AZ,Mesa,85206,Cvs Store #16174', 'AZ,Mesa,85206,Walgreens Store #02771', 'AZ,Mesa,85208,Cvs Store #05029', 'AZ,Oro Valley,85737,Cvs Store #10006', 'AZ,Peoria,85381,Cvs Store #00069', 'AZ,Phoenix,85008,Valleywise Health Medical Center', 'AZ,Phoenix,85016,Cvs Store #08366', 'AZ,Phoenix,85018,Walgreens Store #03789', 'AZ,Phoenix,85019,Cvs Store #11478', 'AZ,Phoenix,85023,Cvs Store #07116', 'AZ,Phoenix,85037,Cvs Store #07263', 'AZ,Phoenix,85044,Cvs Store #09290', 'AZ,Phoenix,85050,Cvs Store #03264', 'AZ,Phoenix,85085,Cvs Store #10150', 'AZ,Queen Creek,85142,Cvs Store #01720', 'AZ,Scottsdale,85254,Cvs Store #10529', 'AZ,Scottsdale,85260,Cvs Store #09252', 'AZ,Sierra Vista,85635,Cvs Store #16220', 'AZ,Sun City,85351,Banner Boswell Medical Center', 'AZ,Sun Lakes,85248,Cvs Store #03491', 'AZ,Surprise,85374,Cvs Store #05477', 'AZ,Surprise,85374,Cvs Store #09306', 'AZ,Tempe,85281,Cvs Store #10928', 'AZ,Tempe,85281,Cvs Store #17256', 'AZ,Tempe,85282,Cvs Store #00033', 'AZ,Tucson,85705,Cvs Store #07841', 'AZ,Tucson,85714,Cvs Store #16659', 'AZ,Tucson,85716,Cvs Store #07876', 'AZ,Tucson,85730,Cvs Store #07855', 'AZ,Tucson,85730,Cvs Store #09336', 'AZ,Tucson,85741,Cvs Store #09273', 'AZ,Tucson,85746,Cvs Store #09374', 'AZ,Tucson,85749,Cvs Store #09302', 'AZ,Tucson,85750,Cvs Store #09277', 'AZ,Yuma,85364,Cvs Store #09334', 'AZ,Yuma,85367,Cvs Store #10028']
