State Date       Time   Providers Details
AL    2022-02-14 09-23  -4        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Dothan,36301,Walmart Pharmacy #2534', 'AL,Fairhope,36532,Walmart Pharmacy #4333']
AL    2022-02-16 08-11  +4        ['AL,Chelsea,35043,Walmart Pharmacy #4330', 'AL,Hoover,35242,Walmart Pharmacy #2111', 'AL,Northport,35476,Walmart Pharmacy #5248', 'AL,Vestavia,35216,Walmart Pharmacy #4580']
AL    2022-02-16 08-11  -2        ['AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Jasper,35501,Walmart Pharmacy #287']
AL    2022-02-16 08-23  +5        ['AL,Florence,35630,Walmart Pharmacy #4188', 'AL,Florence,35633,Walmart Pharmacy #4187', 'AL,Huntsville,35816,Sams Pharmacy #4776', 'AL,Orange Beach,36561,Walmart Pharmacy #5653', 'AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-16 08-23  -1        ['AL,Huntsville,35810,Walmart Pharmacy #433']
AL    2022-02-16 18-37  +28       ['AL,Arab,35016,Walmart Pharmacy #306', 'AL,Auburn,36832,Walmart Pharmacy #356', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Birmingham,35235,Sams Pharmacy #4817', 'AL,Calera,35040,Walmart Pharmacy #3271', 'AL,Daphne,36526,Walmart Pharmacy #934', 'AL,Decatur,35603,Walmart Pharmacy #662', 'AL,Gadsden,35903,Walmart Pharmacy #301', 'AL,Gulf Shores,36542,Walmart Pharmacy #2748', 'AL,Hartselle,35640,Walmart Pharmacy #1124', 'AL,Hazel Green,35750,Walmart Pharmacy #6878', 'AL,Homewood,35209,Walmart Pharmacy #1481', 'AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al', 'AL,Huntsville,35806,Walmart Pharmacy #332', 'AL,Huntsville,35810,Walmart Pharmacy #3185', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Irondale,35210,Walmart Pharmacy #1711', 'AL,Madison,35757,Walmart Pharmacy #7342', 'AL,Mobile,36606,Walmart Pharmacy #5740', 'AL,Montgomery,36107,Walmart Pharmacy #4672', 'AL,Montgomery,36107,Walmart Pharmacy #5348', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Oxford,36203,Sams Pharmacy #4836', 'AL,Pell City,35125,Walmart Pharmacy #5113', 'AL,Semmes,36575,Walmart Pharmacy #5174', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al', 'AL,Tuscaloosa,35405,Walmart Pharmacy #715', 'AL,Wetumpka,36092,Walmart Pharmacy #1101']
AL    2022-02-16 18-37  -2        ['AL,Phenix City,36867,Walgreens Store #06483', 'AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-18 16-04  +7        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Dothan,36301,Walmart Pharmacy #2534', 'AL,Fairhope,36532,Walmart Pharmacy #4333', 'AL,Huntsville,35810,Walmart Pharmacy #433', 'AL,Jasper,35501,Walmart Pharmacy #287']
AL    2022-02-22 09-09  -5        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al']
AL    2022-03-03 10-04  +5        ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Bessemer,35020,Fms Pharmacy', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Jasper,35501,English Plaza Pharmacy', 'AL,Montevallo,35115,Montevallo Drug']
AL    2022-03-03 10-04  -1        ['AL,Cullman,35058,Walmart Pharmacy #7280']
AL    2022-03-08 14-40  +1        ['AL,Cullman,35058,Walmart Pharmacy #7280']
AL    2022-03-16 18-51  +1        ['AL,Phenix City,36867,Walgreens Store #06483']
AL    2022-03-16 18-51  -2        ['AL,Gulf Shores,36542,Walmart Pharmacy #2748', 'AL,Huntsville,35898,Fox Army Health Clinic']
AL    2022-03-18 09-58  +2        ['AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Prattville,36066,Omnicare Of Prattville #48202']
AL    2022-03-18 11-17  +17       ['AL,Alexander City,35010,Russell Medical Center', 'AL,Birmingham,35205,Uab Highlands Apothecary', 'AL,Birmingham,35222,University Medical Center Pharmacy', 'AL,Birmingham,35233,The Kirklin Clinic Pharmacy', 'AL,Birmingham,35249,Uab Specialty Pharmacy', 'AL,Decatur,35601,Payless Pharmacy', 'AL,Florence,35633,Hamilton Family Urgent Care', 'AL,Heflin,36264,Cleburne Pharmacy Heflin', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Luverne,36049,Crenshaw Community Hospital', 'AL,Mobile,36607,Mobile Infirmary Medical Center', 'AL,Montgomery,36106,Jackson Apothecary', 'AL,Montgomery,36116,Baptist Tower Pharmacy', 'AL,Northport,35476,Northport Medical Center', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Prattville,36066,Jackson Apothecary', 'AL,Wedowee,36278,Cleburne Pharmacy Wedowee']
AL    2022-03-18 11-17  -1        ['AL,Birmingham,35211,Cahaba Med Care - West End Office']
AL    2022-03-19 08-15  +5        ['AL,Athens,35611,Athens-Limestone Community Pharmacy', 'AL,Cullman,35058,Borden Family Pharmacy', 'AL,Gadsden,35901,Gadsden City Pharmacy', 'AL,Opelika,36804,Beauregard Drugs', 'AL,Rainsville,35986,Rainsville Drugs Inc']
AL    2022-03-19 11-58  -4        ['AL,Bessemer,35020,Fms Pharmacy', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Irondale,35210,Walmart Pharmacy #1711', 'AL,Jasper,35501,English Plaza Pharmacy']
AL    2022-03-21 16-35  +3        ['AL,Birmingham,35242,Beaumont Pharmacy', 'AL,Irondale,35210,Walmart Pharmacy #1711', 'AL,Reform,35481,Pickens County Primary Care Pc']
AL    2022-03-22 09-16  +1        ['AL,Cullman,35058,Cullman Regional Outpatient Pharmac']
AL    2022-03-23 08-41  +76       ['AL,Albertville,35950,Cvs Store #04910', 'AL,Aliceville,35442,Cvs Store #04946', 'AL,Andalusia,36420,Cvs Store #07077', 'AL,Anniston,36201,Cvs Store #04870', 'AL,Athens,35611,Cvs Store #04815', 'AL,Attalla,35954,Cvs Store #04972', 'AL,Auburn,36830,Cvs Store #02402', 'AL,Auburn,36830,Cvs Store #08933', 'AL,Bayou La Batre,36509,Cvs Store #06017', 'AL,Birmingham,35210,Cvs Store #04936', 'AL,Birmingham,35235,Cvs Store #04825', 'AL,Birmingham,35235,Cvs Store #04948', 'AL,Calera,35040,Cvs Store #00467', 'AL,Camden,36726,Cvs Store #04973', 'AL,Childersburg,35044,Cvs Store #04861', 'AL,Citronelle,36522,Cvs Store #07668', 'AL,Clanton,35045,Cvs Store #04893', 'AL,Cullman,35055,Cvs Store #04902', 'AL,Cullman,35055,Cvs Store #10416', 'AL,Decatur,35601,Cvs Store #04844', 'AL,Demopolis,36732,Cvs Store #04957', 'AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Dothan,36301,Cvs Store #04878', 'AL,Dothan,36301,Cvs Store #04919', 'AL,Dothan,36305,Cvs Store #07179', 'AL,Enterprise,36330,Cvs Store #10076', 'AL,Florence,35630,Cvs Store #04817', 'AL,Florence,35633,Cvs Store #04925', 'AL,Foley,36535,Cvs Store #01806', 'AL,Gadsden,35904,Cvs Store #04849', 'AL,Gardendale,35071,Cvs Store #04833', 'AL,Grand Bay,36541,Cvs Store #04782', 'AL,Greenville,36037,Cvs Store #04953', 'AL,Haleyville,35565,Cvs Store #04822', 'AL,Hanceville,35077,Cvs Store #04960', 'AL,Harvest,35749,Cvs Store #10516', 'AL,Homewood,35209,Cvs Store #04829', 'AL,Hoover,35244,Cvs Store #04889', 'AL,Hueytown,35023,Cvs Store #04828', 'AL,Huntsville,35801,Med Mall Pharmacy', 'AL,Huntsville,35806,Cvs Store #01774', 'AL,Huntsville,35810,Cvs Store #04908', 'AL,Huntsville,35811,Cvs Store #05413', 'AL,Jacksonville,36265,Cvs Store #04907', 'AL,Jasper,35501,Cvs Store #04834', 'AL,Midfield,35228,Cvs Store #04832', 'AL,Mobile,36608,Cvs Store #02567', 'AL,Mobile,36608,Cvs Store #11016', 'AL,Mobile,36610,Cvs Store #04877', 'AL,Montevallo,35115,Cvs Store #07112', 'AL,Montgomery,36106,Cvs Store #04856', 'AL,Montgomery,36106,Cvs Store #04970', 'AL,Montgomery,36108,Cvs Store #04947', 'AL,Montgomery,36116,Cvs Store #03095', 'AL,Montgomery,36117,Cvs Store #04869', 'AL,Montgomery,36117,Cvs Store #07063', 'AL,Oneonta,35121,Cvs Store #04854', 'AL,Opelika,36801,Cvs Store #04949', 'AL,Oxford,36203,Cvs Store #10207', 'AL,Ozark,36360,Cvs Store #04826', 'AL,Pell City,35125,Cvs Store #04839', 'AL,Phenix City,36867,Cvs Store #01824', 'AL,Phenix City,36867,Cvs Store #04934', 'AL,Pleasant Grove,35127,Cvs Store #04916', 'AL,Rainbow City,35906,Cvs Store #04823', 'AL,Robertsdale,36567,Cvs Store #01822', 'AL,Saraland,36571,Cvs Store #10575', 'AL,Scottsboro,35768,Cvs Store #06013', 'AL,Selma,36703,Cvs Store #04853', 'AL,Talladega,35160,Cvs Store #04842', 'AL,Tallassee,36078,Cvs Store #04943', 'AL,Tuscaloosa,35404,Cvs Store #04813', 'AL,Tuscaloosa,35404,Cvs Store #04819', 'AL,Tuscaloosa,35405,Cvs Store #03004', 'AL,Vestavia Hills,35216,Cvs Store #04855', 'AL,Wetumpka,36092,Cvs Store #04865']
AL    2022-03-23 08-41  -1        ['AL,Montevallo,35115,Montevallo Drug']
AL    2022-03-24 13-46  +33       ['AL,Athens,35611,Athens-Limestone Comm Pharmacy 2', 'AL,Bay Minette,36507,Cvs Store #04938', 'AL,Bessemer,35020,Cvs Store #04830', 'AL,Birmingham,35206,Cvs Store #04859', 'AL,Birmingham,35211,Cvs Store #04871', 'AL,Center Point,35215,Cvs Store #04912', 'AL,Centre,35960,Cvs Store #04863', 'AL,Centreville,35042,Bibb Medical Center Pharmacy', 'AL,Evergreen,36401,Cvs Store #04847', 'AL,Fultondale,35068,Cvs Store #04882', 'AL,Gadsden,35903,Cvs Store #04845', 'AL,Gordo,35466,Cvs Store #04969', 'AL,Guntersville,35976,Cvs Store #04968', 'AL,Huntsville,35811,Cvs Store #02748', 'AL,Lanett,36863,Cvs Store #04975', 'AL,Mccalla,35111,Cvs Store #07215', 'AL,Meridianville,35759,Cvs Store #05316', 'AL,Millbrook,36054,Cvs Store #04909', 'AL,Mobile,36605,Cvs Store #04903', 'AL,Mobile,36606,Cvs Store #04900', 'AL,Mobile,36609,Cvs Store #01814', 'AL,Montgomery,36105,Cvs Store #04895', 'AL,Montgomery,36109,Cvs Store #04894', 'AL,Montgomery,36111,Cvs Store #04906', 'AL,Muscle Shoals,35661,Cvs Store #04901', 'AL,Northport,35476,Cvs Store #04835', 'AL,Pinson,35126,Cvs Store #04926', 'AL,Prattville,36066,Cvs Store #04944', 'AL,Prattville,36067,Cvs Store #04838', 'AL,Russellville,35653,Cvs Store #00078', 'AL,Sylacauga,35150,Cvs Store #04915', 'AL,Troy,36081,Cvs Store #04858', 'AL,Tuskegee,36083,Cvs Store #04940']
AL    2022-03-24 13-46  -1        ['AL,Northport,35476,Northport Medical Center']
AL    2022-03-25 08-10  +17       ['AL,Alabaster,35007,Walmart Pharmacy #4756', 'AL,Auburn,36830,Sams Pharmacy #4989', 'AL,Auburn,36830,Walmart Pharmacy #5062', 'AL,Bessemer,35023,Walmart Pharmacy #4497', 'AL,Birmingham,35212,Christ Health Center', 'AL,Foley,36535,Walmart Pharmacy #904', 'AL,Gardendale,35071,Walmart Pharmacy #1201', 'AL,Hoover,35216,Walmart Pharmacy #3184', 'AL,Huntsville,35802,Synergy Wellness', 'AL,Leeds,35094,Walmart Pharmacy #562', 'AL,Mobile,36606,Sams Pharmacy #8102', 'AL,Mobile,36606,Walmart Pharmacy #991', 'AL,Mobile,36608,Walmart Pharmacy #4648', 'AL,Mobile,36609,Walmart Pharmacy #5098', 'AL,Montgomery,36117,Sams Pharmacy #8106', 'AL,Oxford,36203,Walmart Pharmacy #809', 'AL,Robertsdale,36567,Walmart Pharmacy #6173']
AL    2022-03-25 08-10  -3        ['AL,Decatur,35601,Payless Pharmacy', 'AL,Montgomery,36106,Jackson Apothecary', 'AL,Prattville,36066,Jackson Apothecary']
AL    2022-03-26 06-57  +5        ['AL,Albertville,35950,Food City Pharmacy', 'AL,Ashland,36251,Clay County Hospital And Nursing Ho', 'AL,Montgomery,36106,Jackson Apothecary', 'AL,Prattville,36066,Jackson Apothecary', 'AL,Scottsboro,35768,Highlands Medical Center']
AL    2022-03-26 06-57  -4        ['AL,Gadsden,35901,Gadsden City Pharmacy', 'AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Midfield,35228,Cvs Store #04832', 'AL,Montevallo,35115,Cvs Store #07112']
AL    2022-03-28 06-21  +6        ['AL,Birmingham,35211,Cahaba Med Care - West End Office', 'AL,Decatur,35601,Payless Pharmacy', 'AL,Gadsden,35901,Gadsden City Pharmacy', 'AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Montevallo,35115,Montevallo Drug', 'AL,Northport,35476,Northport Medical Center']
AL    2022-03-29 08-50  +10       ['AL,Bessemer,35020,Fms Pharmacy', 'AL,Birmingham,35214,Walmart Pharmacy #1158', 'AL,Birmingham,35235,Walmart Pharmacy #2713', 'AL,Cullman,35055,Walmart Pharmacy #670', 'AL,Dothan,36303,Sams Pharmacy #8192', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Huntsville,35811,Walmart Pharmacy #7324', 'AL,Jasper,35501,English Plaza Pharmacy', 'AL,Montgomery,36116,Walmart Pharmacy #4691', 'AL,Phenix City,36867,Walmart Pharmacy #1284']
AL    2022-03-29 08-50  -2        ['AL,Birmingham,35206,Cvs Store #04859', 'AL,Tuscaloosa,35404,Cvs Store #04813']
AL    2022-03-30 09-27  +40       ['AL,Alabaster,35007,Cvs Store #04867', 'AL,Arab,35016,Cvs Store #04941', 'AL,Auburn,36830,Cvs Store #01777', 'AL,Bessemer,35022,Cvs Store #04964', 'AL,Birmingham,35205,Cvs Store #04873', 'AL,Birmingham,35208,Cvs Store #04898', 'AL,Birmingham,35235,Cvs Store #16899', 'AL,Birmingham,35242,Cvs Store #04864', 'AL,Columbiana,35051,Cvs Store #04866', 'AL,Daphne,36526,Cvs Store #04959', 'AL,Decatur,35601,Cvs Store #17172', 'AL,Dothan,36303,Cvs Store #16800', 'AL,Florence,35630,Cvs Store #16663', 'AL,Greensboro,36744,Cvs Store #04917', 'AL,Hartselle,35640,Cvs Store #04905', 'AL,Helena,35080,Cvs Store #04965', 'AL,Homewood,35209,Cvs Store #04904', 'AL,Hoover,35226,Cvs Store #04913', 'AL,Hoover,35242,Cvs Store #10181', 'AL,Huntsville,35801,Cvs Store #04899', 'AL,Huntsville,35802,Cvs Store #04881', 'AL,Jackson,36545,Cvs Store #04868', 'AL,Madison,35758,Cvs Store #04884', 'AL,Mobile,36604,Cvs Store #02675', 'AL,Mobile,36606,Cvs Store #16248', 'AL,Mobile,36608,Cvs Store #04888', 'AL,Mobile,36695,Cvs Store #07671', 'AL,Mountain Brook,35213,Cvs Store #02505', 'AL,Northport,35475,Cvs Store #04372', 'AL,Opelika,36801,Cvs Store #16830', 'AL,Orange Beach,36561,Cvs Store #02899', 'AL,Pelham,35124,Cvs Store #04667', 'AL,Pike Road,36064,Cvs Store #00585', 'AL,Semmes,36575,Cvs Store #04883', 'AL,Spanish Fort,36527,Cvs Store #10898', 'AL,Tuscaloosa,35401,Cvs Store #04872', 'AL,Tuscaloosa,35406,Cvs Store #07217', 'AL,Union Springs,36089,Cvs Store #04860', 'AL,Vestavia,35243,Cvs Store #04874', 'AL,Warrior,35180,Cvs Store #04843']
AL    2022-03-30 09-27  -1        ['AL,Opelika,36801,East Alabama Medical Center']
AL    2022-03-31 08-53  +14       ['AL,Centreville,35042,Cvs Store #04897', 'AL,Dothan,36301,Pulmonary Associates Pa', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Hoover,35244,Cvs Store #02662', 'AL,Huntsville,35801,Huntsville Hospital Fever And Flu', 'AL,Huntsville,35803,Cvs Store #10037', 'AL,Madison,35758,Cvs Store #07155', 'AL,Mobile,36619,Cvs Store #04818', 'AL,Mobile,36695,Cvs Store #08362', 'AL,Montgomery,36117,Walmart Pharmacy #4407', 'AL,Moody,35004,Cvs Store #04967', 'AL,Moulton,35650,Cvs Store #04931', 'AL,Trussville,35173,Cvs Store #04891', 'AL,Vestavia Hills,35243,Cvs Store #04851']
AL    2022-03-31 08-53  -2        ['AL,Huntsville,35801,Crestwood Medical Center', 'AL,Scottsboro,35768,Highlands Medical Center']
AL    2022-04-01 06-54  -1        ['AL,Montgomery,36108,Cvs Store #04947']
AL    2022-04-02 06-05  +1        ['AL,Sheffield,35660,Keller Community Pharmacy']
AL    2022-04-02 06-05  -1        ['AL,Huntsville,35806,Omnicare Of Huntsville #48201']
AL    2022-04-05 05-48  +8        ['AL,Bay Minette,36507,North Baldwin Infirmary', 'AL,Birmingham,35242,U-Save Pharmacy #35', 'AL,Eufaula,36027,Medical Center Barbour', 'AL,Fort Rucker,36362,Lyster Army Health Clinic', 'AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Maxwell Afb,36112,42Nd Mdss', 'AL,Opelika,36801,East Alabama Medical Center']
AL    2022-04-06 05-45  -1        ['AL,Mobile,36609,Cvs Store #01814']
AL    2022-04-07 05-34  +6        ['AL,Auburn,36830,Walmart Pharmacy #4673', 'AL,Dothan,36305,Walmart Pharmacy #5769', 'AL,Gulf Shores,36542,Walmart Pharmacy #2748', 'AL,Mobile,36695,Walmart Pharmacy #4581', 'AL,Mobile,36695,Walmart Pharmacy #853', 'AL,Saraland,36571,Walmart Pharmacy #1212']
AL    2022-04-07 05-34  -2        ['AL,Dothan,36305,Cvs Store #07179', 'AL,Mobile,36609,Walmart Pharmacy #5098']
AL    2022-04-08 05-48  +36       ['AL,Alexander City,35010,Pharmacy 456', 'AL,Anniston,36207,Pharmacy 447', 'AL,Auburn,36832,Pharmacy 579', 'AL,Bessemer,35022,Pharmacy 595', 'AL,Birmingham,35213,Pharmacy 435', 'AL,Birmingham,35244,Walmart Pharmacy #3424', 'AL,Clanton,35045,Pharmacy 411', 'AL,Daphne,36526,Sams Pharmacy #4990', 'AL,Dothan,36303,Pharmacy 426', 'AL,Fairhope,36532,Pharmacy 599', 'AL,Foley,36535,Pharmacy 570', 'AL,Fultondale,35068,Pharmacy 458', 'AL,Gadsden,35906,Pharmacy 442', 'AL,Homewood,35209,Sams Pharmacy #8247', 'AL,Hoover,35244,Sams Pharmacy #4724', 'AL,Huntsville,35802,Walmart Pharmacy #5716', 'AL,Huntsville,35803,Sams Pharmacy #8107', 'AL,Jasper,35501,Pharmacy 496', 'AL,Mobile,36604,Pharmacy 1333', 'AL,Mobile,36608,Pharmacy 549', 'AL,Mobile,36608,Pharmacy 591', 'AL,Mobile,36609,Pharmacy 590', 'AL,Mobile,36609,Walmart Pharmacy #5098', 'AL,Mobile,36619,Pharmacy 572', 'AL,Montgomery,36116,Pharmacy 448', 'AL,Northport,35475,Pharmacy 526', 'AL,Northport,35476,Pharmacy 528', 'AL,Opelika,36801,Pharmacy 437', 'AL,Pelham,35124,Walmart Pharmacy #5262', 'AL,Phenix City,36870,Pharmacy 433', 'AL,Prattville,36067,Pharmacy 527', 'AL,Semmes,36575,Pharmacy 473', 'AL,Tuscaloosa,35404,Pharmacy 407', 'AL,Tuscaloosa,35405,Pharmacy 479', 'AL,Tuscaloosa,35405,Sams Pharmacy #6435', 'AL,Wetumpka,36092,Pharmacy 428']
AL    2022-04-08 05-48  -1        ['AL,Troy,36081,Cvs Store #04858']
AL    2022-04-09 05-41  -1        ['AL,Jasper,35501,Cvs Store #04834']
AL    2022-04-12 07-06  +3        ['AL,Albertville,35950,Brindleys Family Pharmacy', 'AL,Birmingham,35209,Walmart Pharmacy #4504', 'AL,Madison,35758,Walmart Pharmacy #5703']
AL    2022-04-12 07-06  -1        ['AL,Northport,35475,Cvs Store #04372']
AL    2022-04-13 09-20  +2        ['AL,Mobile,36695,Carbon Health-Mobile', 'AL,Opelika,36801,East Alabama Apothecary, Llc']
