State Date       Time   Providers Details
AL    2022-02-22 09-09  -3        ['AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Birmingham,35243,Continuumrx Of Central Alabama', 'AL,Montgomery,36109,V07 619 Montgomery, Al']
AL    2022-03-03 09-56  +4        ['AL,Gadsden,35901,Gadsden Rapid Care', 'AL,Madison,35758,Padgett Medical Care', 'AL,Mobile,36607,Mobile Infirmary Medical Center', 'AL,Monroeville,36460,Primary Care Center Of Monroeville']
AL    2022-03-03 10-04  +1        ['AL,Cullman,35058,Express Meds (Tpb Llc Dba Express M']
AL    2022-03-08 14-40  +1        ['AL,Fairhope,36532,Thomas Hospital']
AL    2022-03-16 18-51  -7        ['AL,Auburn,36830,Allergy, Asthma, And Imm Of East Al', 'AL,Cullman,35058,Specialty Pharmacy', 'AL,Gadsden,35901,Gadsden Rapid Care', 'AL,Madison,35758,Padgett Medical Care', 'AL,Northport,35473,Senior Care Pharmacy, Inc.', 'AL,Opelika,36801,East Alabama Apothecary, Llc', 'AL,Trussville,35173,Wellness Medical Center']
AL    2022-03-18 09-58  +8        ['AL,Birmingham,,Alabama Oncology Brookwood', 'AL,Birmingham,,Alabama Oncology Princeton', 'AL,Birmingham,,Alabama Oncologyst Vincents Birm', 'AL,Daphne,,Southern Cancer Center', 'AL,Fairhope,,Thomas Hospital', 'AL,Huntsville,,Crestwood Medical Center', 'AL,Monroeville,,Primary Care Center Of Monroeville', 'AL,Sylacauga,,Coosa Valley Medical Center']
AL    2022-03-18 09-58  -11       ['AL,Birmingham,35205,Alabama Oncologyst Vincents Birm', 'AL,Birmingham,35209,Alabama Oncology Brookwood', 'AL,Birmingham,35211,Alabama Oncology Princeton', 'AL,Daphne,36526,Southern Cancer Center', 'AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Monroeville,36460,Primary Care Center Of Monroeville', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-03-18 11-17  +10       ['AL,Birmingham,35205,Alabama Oncologyst Vincents Birm', 'AL,Birmingham,35209,Alabama Oncology Brookwood', 'AL,Birmingham,35211,Alabama Oncology Princeton', 'AL,Daphne,36526,Southern Cancer Center', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Monroeville,36460,Primary Care Center Of Monroeville', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-03-18 11-17  -9        ['AL,Birmingham,,Alabama Oncology Brookwood', 'AL,Birmingham,,Alabama Oncology Princeton', 'AL,Birmingham,,Alabama Oncologyst Vincents Birm', 'AL,Daphne,,Southern Cancer Center', 'AL,Fairhope,,Thomas Hospital', 'AL,Huntsville,,Crestwood Medical Center', 'AL,Huntsville,35802,Synergy Wellness', 'AL,Monroeville,,Primary Care Center Of Monroeville', 'AL,Sylacauga,,Coosa Valley Medical Center']
AL    2022-03-19 08-15  +1        ['AL,Auburn,36830,Allergy, Asthma, And Imm Of East Al']
AL    2022-03-19 11-58  +1        ['AL,Huntsville,35802,Synergy Wellness']
AL    2022-03-19 11-58  -1        ['AL,Sylacauga,35150,Coosa Valley Medical Center']
AK    2022-01-07 08-09  +1        ['AK,Anchorage,99508,Weka Covid Treatment Center']
AK    2022-01-10 10-10  -1        ['AK,Anchorage,99507,Alaska Rssc']
AK    2022-01-19 08-05  +1        ['AK,Juneau,99801,Bartlett Regional Hospital']
AK    2022-02-02 09-09  -1        ['AK,Anchorage,99508,Weka Covid Treatment Center']
AK    2022-02-16 08-11  +1        ['AK,Yakutat,99689,Yakutat Community Health Center']
AK    2022-02-16 18-37  -1        ['AK,Yakutat,99689,Yakutat Community Health Center']
AK    2022-02-18 16-04  +1        ['AK,Anchorage,99508,Weka Covid Treatment Center']
AK    2022-02-22 09-09  -1        ['AK,Anchorage,99508,Weka Covid Treatment Center']
AK    2022-03-18 09-58  +2        ['AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Seward,,North Star Health Clinic Pharmacy']
AK    2022-03-18 11-17  +1        ['AK,Seward,99664,North Star Health Clinic Pharmacy']
AK    2022-03-18 11-17  -2        ['AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Seward,,North Star Health Clinic Pharmacy']
AS    2022-02-10 21-04  -1        ['AS,Pago Pago,96799,Lbj Tropical Medical Center']
AS    2022-03-08 14-40  +1        ['AS,Pago Pago,96799,American Samoa Dept Of Health']
AS    2022-03-16 18-51  -2        ['AS,Pago Pago,96799,American Samoa Dept Of Health', 'AS,Pago Pago,96799,Lbj Tropical Medical Center']
AZ    2021-12-29 09-02  +2        ['AZ,Scottsdale,85251,Osborn Infusion', 'AZ,Scottsdale,85259,Mayo Clinic Phoenix']
AZ    2022-01-03 16-32  +1        ['AZ,Tuba City,86045,Tuba City Reg Health Care Center']
AZ    2022-01-04 16-56  +4        ['AZ,Glendale,85306,Banner Thunderbird Medical Center', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Tucson,85723,V22 678 Tucson, Az', 'AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-01-05 18-07  +1        ['AZ,Phoenix,85013,St. Josephs Hospital And Medical C']
AZ    2022-01-10 10-10  -1        ['AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-01-11 08-35  +1        ['AZ,Tucson,85712,Spectrum Pharmacy']
AZ    2022-01-11 08-35  -3        ['AZ,Chinle,86503,Chinle Comprehensive Healthcare', 'AZ,Phoenix,85016,Phoenix Indian Medical Center', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center']
AZ    2022-01-12 08-07  +3        ['AZ,Sun City,85351,Banner Family Pharmacy-Boswell', 'AZ,Tucson,85712,Arizona Liver Health', 'AZ,Yuma,85364,Yuma Regional Med Center-Inpatient']
AZ    2022-01-14 15-37  +1        ['AZ,Scottsdale,85251,Scottsdale Osborn Medical Center']
AZ    2022-01-19 08-05  +2        ['AZ,Tempe,85282,Southwest Kidney Institute', 'AZ,Tucson,85712,Tucson Medical Center']
AZ    2022-01-21 18-08  +2        ['AZ,Pinon,86510,Pinon Health Center', 'AZ,Tsaile,86556,Tsaile Health Center']
AZ    2022-01-28 09-28  +1        ['AZ,Red Mesa,86514,Four Corners Regional Health Center']
AZ    2022-02-02 09-09  +2        ['AZ,Phoenix,85006,Banner Umc Phoenix Medical Center', 'AZ,Tucson,85739,Desert Life Pharmacy']
AZ    2022-02-02 09-09  -1        ['AZ,Tucson,85712,Spectrum Pharmacy']
AZ    2022-02-07 09-54  +11       ['AZ,Chinle,86503,Chinle Comprehensive Healthcare', 'AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Parker,85344,Parker Indian Health Center', 'AZ,Peach Springs,86434,Peach Springs Health Station', 'AZ,Peridot,85542,San Carlos Healthcare Corporation', 'AZ,Phoenix,85016,Phoenix Indian Medical Center', 'AZ,Polacca,86042,Hopi Health Care Center', 'AZ,Sacaton,85147,Hu Hu Kam Memorial Hospital', 'AZ,Scottsdale,85256,Salt River Integrated Health Care', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center', 'AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-02-09 09-41  +1        ['AZ,Phoenix,85013,St Josephs Hospital And Medical Ctr']
AZ    2022-02-09 09-41  -2        ['AZ,Phoenix,85013,St. Josephs Hospital And Medical C', 'AZ,Yuma,85364,Yuma Regional Med Center-Inpatient']
AZ    2022-02-10 21-04  +6        ['AZ,Ganado,86505,Sage Memorial Hospital', 'AZ,Gilbert,85234,Banner Gateway Medical Center', 'AZ,Kayenta,86033,Kayenta Health Center', 'AZ,Mesa,85210,Arizona Clinical Trials', 'AZ,Winslow,86047,Winslow Indian Health Care Center', 'AZ,Yuma,85364,Yuma Regional Med Center-Inpatient']
AZ    2022-02-10 21-04  -10       ['AZ,Chandler,85224,Chandler Regional Medical Center', 'AZ,Glendale,85306,Banner Thunderbird Medical Center', 'AZ,Phoenix,85006,Banner Umc Phoenix Medical Center', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Scottsdale,85251,Scottsdale Osborn Medical Center', 'AZ,Sun City,85351,Banner Family Pharmacy-Boswell', 'AZ,Tempe,85282,Southwest Kidney Institute', 'AZ,Tucson,85712,Tucson Medical Center', 'AZ,Tucson,85723,V22 678 Tucson, Az', 'AZ,Tucson,85739,Desert Life Pharmacy']
AZ    2022-02-16 08-11  +1        ['AZ,Mesa,85202,Banner Desert Medical Center']
AZ    2022-02-16 18-37  +18       ['AZ,Chandler,85224,Chandler Regional Medical Center', 'AZ,Flagstaff,86004,Sacred Peaks /Tcrhcc Ihs', 'AZ,Glendale,85306,Banner Thunderbird Medical Center', 'AZ,Payson,85541,Ponderosa Family Care Llc', 'AZ,Phoenix,85006,Banner Umc Phoenix Medical Center', 'AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Phoenix,85016,Phoenix Childrens Hospital', 'AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West', 'AZ,Scottsdale,85251,Scottsdale Osborn Medical Center', 'AZ,Scottsdale,85260,Scottsdale Physicians Group', 'AZ,Sun City,85351,Banner Boswell Medical Center', 'AZ,Sun City,85351,Banner Family Pharmacy-Boswell', 'AZ,Tempe,85282,Southwest Kidney Institute', 'AZ,Tucson,85712,Tucson Medical Center', 'AZ,Tucson,85713,Banner University Med Center Tucson', 'AZ,Tucson,85723,V22 678 Tucson, Az', 'AZ,Tucson,85739,Desert Life Pharmacy']
AZ    2022-02-16 18-37  -4        ['AZ,Ganado,86505,Sage Memorial Hospital', 'AZ,Kayenta,86033,Kayenta Health Center', 'AZ,Mesa,85210,Arizona Clinical Trials', 'AZ,Winslow,86047,Winslow Indian Health Care Center']
AZ    2022-02-18 15-54  +4        ['AZ,Laveen,85339,Arizona General Hospital - Laveen', 'AZ,Mesa,85206,Banner Baywood Medical Center', 'AZ,San Tan Valley,85140,Banner Ironwood Medical Center', 'AZ,Tempe,85282,Red Rock Pharmacy']
AZ    2022-02-18 15-54  -2        ['AZ,Tempe,85282,Southwest Kidney Institute', 'AZ,Tsaile,86556,Tsaile Health Center']
AZ    2022-02-18 16-04  +4        ['AZ,Gilbert,85297,Stat Care Medical Services', 'AZ,Tsaile,86556,Tsaile Health Center', 'AZ,Tucson,85711,Carondelet St. Josephs Hospital', 'AZ,Tucson,85712,Spectrum Pharmacy']
AZ    2022-02-22 09-09  -4        ['AZ,Phoenix,85012,V22 644 Phoenix, Az', 'AZ,Tsaile,86556,Tsaile Health Center', 'AZ,Tucson,85712,Spectrum Pharmacy', 'AZ,Tucson,85723,V22 678 Tucson, Az']
AZ    2022-03-03 09-56  +5        ['AZ,Fountain Hills,85268,Fountain Hills Medical Center', 'AZ,Mesa,85212,Arizona General Hospital - Mesa', 'AZ,Parker,85344,La Paz Regional Hospital', 'AZ,Phoenix,85008,Valleywise Health Medical Center', 'AZ,Tucson,85712,Arizona Liver Health Tucson']
AZ    2022-03-03 09-56  -1        ['AZ,Tucson,85712,Arizona Liver Health']
AZ    2022-03-08 14-40  +4        ['AZ,Benson,85602,Benson Hospital', 'AZ,Mesa,85210,Arizona Clinical Trials', 'AZ,Phoenix,85016,Amber Specialty Pharmacy Phoenix', 'AZ,Tucson,85711,Md Acute']
AZ    2022-03-16 18-51  +3        ['AZ,Ganado,86505,Sage Memorial Hospital', 'AZ,Kayenta,86033,Kayenta Health Center', 'AZ,Winslow,86047,Winslow Indian Health Care Center']
AZ    2022-03-16 18-51  -31       ['AZ,Benson,85602,Benson Hospital', 'AZ,Chandler,85224,Chandler Regional Medical Center', 'AZ,Flagstaff,86004,Sacred Peaks /Tcrhcc Ihs', 'AZ,Fountain Hills,85268,Fountain Hills Medical Center', 'AZ,Glendale,85306,Banner Thunderbird Medical Center', 'AZ,Laveen,85339,Arizona General Hospital - Laveen', 'AZ,Mesa,85202,Banner Desert Medical Center', 'AZ,Mesa,85206,Banner Baywood Medical Center', 'AZ,Mesa,85212,Arizona General Hospital - Mesa', 'AZ,Paradise Valley,85253,Southwellness Medical', 'AZ,Parker,85344,La Paz Regional Hospital', 'AZ,Payson,85541,Ponderosa Family Care Llc', 'AZ,Peach Springs,86434,Peach Springs Health Station', 'AZ,Phoenix,85006,Banner Umc Phoenix Medical Center', 'AZ,Phoenix,85008,Valleywise Health Medical Center', 'AZ,Phoenix,85013,St Josephs Hospital And Medical Ctr', 'AZ,Phoenix,85016,Phoenix Childrens Hospital', 'AZ,Pinon,86510,Pinon Health Center', 'AZ,Red Mesa,86514,Four Corners Regional Health Center', 'AZ,San Tan Valley,85140,Banner Ironwood Medical Center', 'AZ,Scottsdale,85251,Scottsdale Osborn Medical Center', 'AZ,Scottsdale,85256,Salt River Integrated Health Care', 'AZ,Scottsdale,85260,Scottsdale Physicians Group', 'AZ,Sun City,85351,Banner Boswell Medical Center', 'AZ,Sun City,85351,Banner Family Pharmacy-Boswell', 'AZ,Tempe,85282,Red Rock Pharmacy', 'AZ,Tucson,85711,Carondelet St. Josephs Hospital', 'AZ,Tucson,85711,Md Acute', 'AZ,Tucson,85712,Tucson Medical Center', 'AZ,Tucson,85713,Banner University Med Center Tucson', 'AZ,Tucson,85739,Desert Life Pharmacy']
AZ    2022-03-18 09-58  -2        ['AZ,Peridot,85542,San Carlos Healthcare Corporation', 'AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-03-18 11-17  +2        ['AZ,Phoenix,85009,Maricopa County Correctional Health', 'AZ,Scottsdale,85260,Infuseable Care']
AZ    2022-03-18 11-17  -4        ['AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West', 'AZ,Tucson,85712,Arizona Liver Health Tucson']
AZ    2022-03-19 08-15  +2        ['AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West']
AZ    2022-03-19 11-58  -1        ['AZ,Phoenix,85016,Phoenix Indian Medical Center']
AZ    2022-03-20 06-05  -1        ['AZ,Winslow,86047,Winslow Indian Health Care Center']
AR    2021-12-29 09-02  +1        ['AR,Springdale,72762,Highlands Oncology- Parkway']
AR    2022-01-03 16-32  +1        ['AR,Little Rock,72205,Chi St. Vincent Infirmary']
AR    2022-01-10 10-10  +9        ['AR,Batesville,72501,White River Med Center', 'AR,Benton,72015,West Side Pharmacy', 'AR,Crossett,71635,Ashley County Med Center', 'AR,De Queen,71832,De Queen Health And Wellness', 'AR,Fort Smith,72903,Mercy Covid Clinic Fort Smith', 'AR,Mountain Home,72653,Baxter Regional Medical Center', 'AR,Paris,72855,Express Rx - Paris', 'AR,Pine Bluff,71603,Doctors Orders Pharmacy #2', 'AR,Searcy,72143,Advanced Care Hospital']
AR    2022-01-11 08-35  +1        ['AR,Pocahontas,72455,Five Rivers Med Center']
AR    2022-01-12 08-07  +1        ['AR,Little Rock,72205,Carti Cancer Center']
AR    2022-01-28 17-11  +2        ['AR,Harrison,72601,North Arkansas Medical Center', 'AR,North Little Rock,72117,Premier Pharmacy Care']
AR    2022-02-02 09-09  +1        ['AR,Batesville,72501,Bryants Pharmacy']
AR    2022-02-02 09-09  -2        ['AR,Harrison,72601,North Arkansas Medical Center', 'AR,North Little Rock,72117,Premier Pharmacy Care']
AR    2022-02-04 09-14  +6        ['AR,Glenwood,71943,Glenwood Family Medicine', 'AR,Harrison,72601,North Arkansas Medical Center', 'AR,Hot Springs National Park,71913,Hamilton West Family Medicine', 'AR,Hot Springs,71901,Fountain Lake Family Medicine', 'AR,Mena,71953,First Care Family Medicine Mena', 'AR,North Little Rock,72117,Premier Pharmacy Care']
AR    2022-02-10 21-04  +5        ['AR,Batesville,72501,Wilson Wil-Sav Pharmacy Inc', 'AR,Centerton,72719,Collier Drug Store Centerton', 'AR,Conway,72034,Conway Regional Medical Center', 'AR,De Queen,71832,De Queen Health And Wellness Pharma', 'AR,Little Rock,72207,Kavanaugh Pharmacy']
AR    2022-02-16 08-23  -1        ['AR,Batesville,72501,Wilson Wil-Sav Pharmacy Inc']
AR    2022-02-16 18-37  -4        ['AR,Centerton,72719,Collier Drug Store Centerton', 'AR,Conway,72034,Conway Regional Medical Center', 'AR,De Queen,71832,De Queen Health And Wellness Pharma', 'AR,Little Rock,72207,Kavanaugh Pharmacy']
AR    2022-02-18 15-54  +1        ['AR,Little Rock,72202,Arkansas Childrens Hospital']
AR    2022-03-03 09-56  +2        ['AR,Hot Springs,71901,Lakeside Family Medicine', 'AR,Lonsdale,72087,East Gate Pharmacy - Lonsdale']
AR    2022-03-03 10-04  +2        ['AR,Jonesboro,72401,The Medicine Shoppe- Jonesboro', 'AR,West Memphis,72301,East Arkansas Family Health Center']
AR    2022-03-16 18-51  +3        ['AR,Conway,72034,Conway Regional Medical Center', 'AR,De Queen,71832,De Queen Health And Wellness Pharma', 'AR,Jonesboro,72401,The Medicine Shoppe #0618']
AR    2022-03-16 18-51  -8        ['AR,Batesville,72501,Bryants Pharmacy', 'AR,De Queen,71832,De Queen Health And Wellness', 'AR,Jonesboro,72401,The Medicine Shoppe- Jonesboro', 'AR,Little Rock,72202,Arkansas Childrens Hospital', 'AR,Little Rock,72205,Chi St. Vincent Infirmary', 'AR,Little Rock,72211,Arkansas Heart Hospital', 'AR,Paris,72855,Express Rx - Paris', 'AR,Pine Bluff,71603,Doctors Orders Pharmacy #2']
AR    2022-03-18 09-58  +1        ['AR,Batesville,72501,Bryants Pharmacy']
AR    2022-03-18 09-58  -3        ['AR,Conway,72034,Conway Regional Medical Center', 'AR,Lonsdale,72087,East Gate Pharmacy - Lonsdale', 'AR,Springdale,72762,Highlands Oncology- Parkway']
AR    2022-03-18 11-17  +2        ['AR,Lake Village,71653,Chicot Memorial Hospital - Eh', 'AR,Springdale,72762,Highlands Oncology- Parkway']
AR    2022-03-19 08-15  -1        ['AR,Lake Village,71653,Chicot Memorial Hospital - Eh']
CA    2021-12-29 09-02  +5        ['CA,Colton,92324,Arrowhead Regional Medical Center', 'CA,Loma Linda,92354,Loma Linda University Childrens Ho', 'CA,Loma Linda,92354,Loma Linda University Medical Cente', 'CA,Modesto,95350,Elite Urgent Care', 'CA,Upland,91786,San Antonio Regional Hospital']
CA    2022-01-04 16-56  +6        ['CA,Atascadero,93422,Department Of State Hospitals - Ata', 'CA,Lakeport,95453,North Lake Medical Pharmacy #2', 'CA,Napa,94558,Department Of State Hospitals-Napa', 'CA,Palo Alto,94304,V21 640 Palo Alto, Ca', 'CA,San Diego,92121,Scripps Central Pharmacy', 'CA,San Diego,92161,V22 664 San Diego, Ca']
CA    2022-01-05 18-07  +1        ['CA,Atascadero,93422,Depart State Hospitals - Atascadero']
CA    2022-01-05 18-07  -1        ['CA,Atascadero,93422,Department Of State Hospitals - Ata']
CA    2022-01-07 08-09  +3        ['CA,Greenbrae,94904,Marin Cancer Care', 'CA,Salinas,93901,Salinas Valley Memorial Healthcare', 'CA,Victorville,92395,Desert Valley Hospital']
CA    2022-01-11 08-35  +6        ['CA,Berkeley,94705,Alta Bates Summit Medical Center', 'CA,Crescent City,95531,Sutter Coast Hospital', 'CA,Fresno,93715,Community Regional Medical Center', 'CA,San Diego,92123,Donald N Sharp Memorial Pharmacy', 'CA,Sonoma,95476,Sonoma Valley Hospital', 'CA,St Helena,94574,Adventist Health St Helena Hospital']
CA    2022-01-12 08-07  +7        ['CA,Banning,92220,Riverside - San Bernardino County', 'CA,Coalinga,93210,Department Of State Hospitals - Coa', 'CA,Fremont,94538,Kaiser Perm Fremont Medical Center', 'CA,Oakland,94611,Kaiser Foundation Hospital - Oaklan', 'CA,Patton,92369,Department Of State Hospitals - Pat', 'CA,Pleasanton,94588,Stanford Health Care Valleycare', 'CA,Ukiah,95482,Adventist Health Ukiah Valley']
CA    2022-01-14 15-37  +3        ['CA,Hollister,95023,Hazel Hawkins Memorial Hospital', 'CA,Oakland,94609,Alta Bates Summit Medical Center', 'CA,San Leandro,94577,Kaiser Fdn Hospital - San Leandro']
CA    2022-01-14 15-37  -1        ['CA,Berkeley,94705,Alta Bates Summit Medical Center']
CA    2022-01-19 08-05  +3        ['CA,Berkeley,94705,Alta Bates Summit Medical Center', 'CA,Norwalk,90650,Department Of State Hospitals - Met', 'CA,San Francisco,94110,Zuckerberg San Francisco General Ho']
CA    2022-01-21 18-08  +3        ['CA,Fontana,92335,Kaiser Fontana Hsb 24 Hour Outpatie', 'CA,Greenbrae,94904,Asthma Allergy Clinic Of Marin Sf', 'CA,Oxnard,93030,Primary Medical Group']
CA    2022-01-25 09-23  +5        ['CA,Auburn,95603,Chapa De Indian Health Program', 'CA,Baldwin Park,91706,Kaiser Sc - Baldwin Park Medical Ce', 'CA,Harbor City,90710,Kaiser Permanente- South Bay', 'CA,Panorama City,91402,Kaiser Permanente - Panorama City', 'CA,Santa Rosa,95403,Kpnc Santa Rosa Discharge Pharm#588']
CA    2022-01-26 07-35  +10       ['CA,Fountain Valley,92708,Orange Coast Memorial Medical Cente', 'CA,Laguna Hills,92653,Memorialcare Saddleback Medical Cen', 'CA,Oceanside,92056,Tri-City Healthcare District -Tri-C', 'CA,Ontario,91761,Kaiser Permanente Pharmacy 657', 'CA,Redwood City,94063,Kaiser Foundation Hosp Phcy 37B/378', 'CA,San Diego,92123,Kaiser Sc - San Diego Medical Cente', 'CA,San Rafael,94903,Kaiser Foundation Hospital', 'CA,Santa Monica,90404,Providence Saint Johns Health Cent', 'CA,Walnut Creek,94598,John Muir Medical Center Walnut Cre', 'CA,Woodland Hills,91367,Kaiser Permanente-Woodland Hills']
CA    2022-01-28 09-28  +2        ['CA,Redlands,92373,Redlands Community Hospital', 'CA,San Luis Obispo,93401,Wilshire Connected Care']
CA    2022-02-02 09-09  +5        ['CA,San Luis Obispo,93405,Barry Eibschutz Md', 'CA,Santa Cruz,95065,Michael Yen, Md, Phd', 'CA,Santa Maria,93454,Mission Hope Infusion Center', 'CA,Santa Rosa,95403,Sutter Santa Rosa Regional Hospital', 'CA,Ventura,93003,Kaiser Permanente Market Street Pha']
CA    2022-02-02 09-09  -4        ['CA,Berkeley,94705,Alta Bates Summit Medical Center', 'CA,Oakland,94611,Kaiser Foundation Hospital - Oaklan', 'CA,Salinas,93901,Salinas Valley Memorial Healthcare', 'CA,San Francisco,94109,California Pacific Medical Center']
CA    2022-02-04 09-14  +2        ['CA,San Jose,95119,Kaiser Foundation Hospital', 'CA,Walnut Creek,94596,Kaiser Permanente- Walnut Creek']
CA    2022-02-09 09-41  +2        ['CA,Arcata,95521,Mad River Community Hospital', 'CA,Palm Springs,92262,Desert Oasis Healthcare Medical Gro']
CA    2022-02-10 21-04  +20       ['CA,Anaheim,92806,Kraemer Mob 2 Pharmacy', 'CA,Banning,92220,Morongo Clinic', 'CA,Bellflower,90706,Tccfhc-Bellflower', 'CA,Grand Terrace,92313,San Manuel Health Clinic', 'CA,Hoopa,95546,Kimaw Medical Center', 'CA,Huntington Park,90255,Angeles Community Health Center', 'CA,Los Angeles,90027,Childrens Hospital', 'CA,Oakland,94611,Kaiser Perm Phcy #10A', 'CA,Oroville,95965,Butte-Glenn Community College', 'CA,Red Bluff,96080,St. Elizabeth Community Hospital', 'CA,Redwood City,94062,Sequoia Hospital', 'CA,San Diego,92113,Logan Heights Family Health Center', 'CA,San Diego,92120,Kaiser Sc - San Diego Zion Medical', 'CA,San Diego,92121,Scripps Green Hospital', 'CA,San Jacinto,92583,Soboba Health Clinic', 'CA,San Jose,95119,Kaiser San Jose Building 3 Pharmacy', 'CA,San Rafael,94903,Kaiser Nc - San Rafael, Medical Off', 'CA,Temecula,92592,Pechanga Indian Health Center', 'CA,Vallejo,94589,Kaiser Permanente- Vallejo Med Ctr', 'CA,Winterhaven,92283,Fort Yuma Health Center']
