provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
STRINGFELLOW CAMPUS OF NORTHEAST RMC,301 EAST 18TH ST,,Anniston,Calhoun,AL,36201,00173-0901-86,Sotrovimab,21,POINT (-85.82468 33.66774),,2022-03-30T00:00:00.000,ACTIVE,
"Health Care Authority of the City of Oxford, Alabama",12 Hamric Drive West,,Oxford,Calhoun,AL,36203,00173-0901-86,Sotrovimab,1,POINT (-85.84091 33.60534),,2022-03-30T00:00:00.000,ACTIVE,
EAMC - LANIER,4800 48TH STREET,,Valley,Chambers,AL,36854,00173-0901-86,Sotrovimab,16,POINT (-85.17173 32.82553),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Valley,3306 20th Ave,,Valley,Chambers,AL,36854,00173-0901-86,Sotrovimab,78,POINT (-85.15496 32.782138),,2022-03-30T00:00:00.000,ACTIVE,
FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,Centre,Cherokee,AL,35960,00173-0901-86,Sotrovimab,40,POINT (-85.647676 34.162771),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Centre,1925 West Main Street,,Centre,Cherokee,AL,35960,00173-0901-86,Sotrovimab,60,POINT (-85.700723 34.157075),,2022-03-30T00:00:00.000,ACTIVE,
ST VINCENT'S CHILTON,2030 LAY DAM ROAD,,Clanton,Chilton,AL,35045,00173-0901-86,Sotrovimab,9,POINT (-86.621624 32.861753),,2022-03-30T00:00:00.000,ACTIVE,
CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",,Butler,Choctaw,AL,36904,00173-0901-86,Sotrovimab,13,POINT (-88.22606 32.09566),,2022-03-30T00:00:00.000,ACTIVE,
GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,Grove Hill,Clarke,AL,36451,00173-0901-86,Sotrovimab,20,POINT (-87.7781 31.68984),,2022-03-30T00:00:00.000,ACTIVE,
JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,Jackson,Clarke,AL,36545,00173-0901-86,Sotrovimab,16,POINT (-87.89411 31.53154),,2022-03-30T00:00:00.000,ACTIVE,
THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,,Thomasville,Clarke,AL,36784,00173-0901-86,Sotrovimab,50,POINT (-87.74028 31.86683),,2022-03-30T00:00:00.000,ACTIVE,
ASHLAND PHARMACY,83074 HIGHWAY 9,,Ashland,Clay,AL,36251,00173-0901-86,Sotrovimab,6,POINT (-85.817225 33.279956),,2022-03-30T00:00:00.000,ACTIVE,
CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,Ashland,Clay,AL,36251,00173-0901-86,Sotrovimab,43,POINT (-85.822569 33.277085),,2022-03-30T00:00:00.000,ACTIVE,
Youngs Drug Store LLC,88960 Hwy 9,,Lineville,Clay,AL,36266,00173-0901-86,Sotrovimab,12,POINT (-85.708951 33.366487),,2022-03-30T00:00:00.000,ACTIVE,
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,Enterprise,Coffee,AL,36330,00173-0901-86,Sotrovimab,15,POINT (-85.85468 31.318),,2022-03-30T00:00:00.000,ACTIVE,
SHOALS HOSPITAL,201 WEST AVALON AVENUE,,Muscle Shoals,Colbert,AL,35661,00173-0901-86,Sotrovimab,20,POINT (-87.67607 34.74704),,2022-03-30T00:00:00.000,ACTIVE,
HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,,Sheffield,Colbert,AL,35660,00173-0901-86,Sotrovimab,77,POINT (-87.6997 34.74818),,2022-03-30T00:00:00.000,ACTIVE,
EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,Evergreen,Conecuh,AL,36401,00173-0901-86,Sotrovimab,18,POINT (-86.94133 31.43123),,2022-03-30T00:00:00.000,ACTIVE,
ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,,Andalusia,Covington,AL,36420,00173-0901-86,Sotrovimab,23,POINT (-86.4928 31.29535),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Andalusia,508 E. Three Notch St,,Andalusia,Covington,AL,36420,00173-0901-86,Sotrovimab,63,POINT (-86.476528 31.308382),,2022-03-30T00:00:00.000,ACTIVE,
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,Opp,Covington,AL,36467,00173-0901-86,Sotrovimab,19,POINT (-86.25438 31.29199),,2022-03-30T00:00:00.000,ACTIVE,
CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,Luverne,Crenshaw,AL,36049,00173-0901-86,Sotrovimab,41,POINT (-86.26509 31.69335),,2022-03-30T00:00:00.000,ACTIVE,
Baileyton Family Medicine,105 Fire Station Road,,Baileyton,Cullman,AL,35019,00173-0901-86,Sotrovimab,46,POINT (-86.614009 34.263206),,2022-03-30T00:00:00.000,ACTIVE,
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,Cullman,Cullman,AL,35058,00173-0901-86,Sotrovimab,38,POINT (-86.80522 34.20116),,2022-03-30T00:00:00.000,ACTIVE,
Cullman Internal Medicine,1890 Alabama Highway 157,,Cullman,Cullman,AL,35058,00173-0901-86,Sotrovimab,7,POINT (-86.804542 34.198548),,2022-03-09T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
TPB LLC dba Express Meds,1800 AL Hwy 157,,Cullman,Cullman,AL,35058,00173-0901-86,Sotrovimab,24,POINT (-86.802435 34.198633),,2022-03-30T00:00:00.000,ACTIVE,
DALE MEDICAL CENTER,126 HOSPITAL AVE,,Ozark,Dale,AL,36360,00173-0901-86,Sotrovimab,48,POINT (-85.63208 31.45133),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Selma,1475 AL Hwy 14 East,,Selma,Dallas,AL,36703,00173-0901-86,Sotrovimab,64,POINT (-87.010863 32.431304),,2022-03-30T00:00:00.000,ACTIVE,
DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,Fort Payne,Dekalb,AL,35968,00173-0901-86,Sotrovimab,26,POINT (-85.75 34.44),,2022-03-30T00:00:00.000,ACTIVE,
The Geraldine Clinic,41263 Alabama Highway 75,,Geraldine,Dekalb,AL,35974,00173-0901-86,Sotrovimab,22,POINT (-86.00364 34.35995),,2022-03-30T00:00:00.000,ACTIVE,
North DeKalb Primary Care,136 Commerce Ave,,Valley Head,Dekalb,AL,35989,00173-0901-86,Sotrovimab,24,POINT (-85.615028 34.569049),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Millbrook,1401 AL Hwy 14,,Millbrook,Elmore,AL,36054,00173-0901-86,Sotrovimab,50,POINT (-86.40395 32.494),,2022-03-30T00:00:00.000,ACTIVE,
COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,Tallassee,Elmore,AL,36078,00173-0901-86,Sotrovimab,16,POINT (-85.912342 32.534155),,2022-03-30T00:00:00.000,ACTIVE,
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,Atmore,Escambia,AL,36502,00173-0901-86,Sotrovimab,8,POINT (-87.4783 31.01692),,2022-03-30T00:00:00.000,ACTIVE,
D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,Brewton,Escambia,AL,36426,00173-0901-86,Sotrovimab,40,POINT (-87.072459 31.127307),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Brewton,2134 Douglas Ave,,Brewton,Escambia,AL,36426,00173-0901-86,Sotrovimab,62,POINT (-87.068789 31.139176),,2022-03-30T00:00:00.000,ACTIVE,
Symbol Health- TR Miller,210 Commerce St,,Brewton,Escambia,AL,36426,00173-0901-86,Sotrovimab,5,POINT (-87.068793 31.105847),,2022-03-30T00:00:00.000,ACTIVE,
SOUTHERN IMMEDIATE CARE,"956 GILBERT FERRY RD., SE",,Attalla,Etowah,AL,35954,00173-0901-86,Sotrovimab,15,POINT (-86.120531 34.009512),,2022-03-30T00:00:00.000,ACTIVE,
Doctors' Care,307 E Meighan Blvd,,Gadsden,Etowah,AL,35903,00173-0901-86,Sotrovimab,48,POINT (-85.988855 34.009225),,2022-03-30T00:00:00.000,ACTIVE,
ECDC,827 FORREST AVE,,Gadsden,Etowah,AL,35901,00173-0901-86,Sotrovimab,22,POINT (-86.012385 34.0165),,2022-03-30T00:00:00.000,ACTIVE,
GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,Gadsden,Etowah,AL,35903,00173-0901-86,Sotrovimab,15,POINT (-85.96314 34.007258),,2022-03-30T00:00:00.000,ACTIVE,
FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,Fayette,Fayette,AL,35555,00173-0901-86,Sotrovimab,6,POINT (-87.823789 33.707616),,2022-03-30T00:00:00.000,ACTIVE,
RED BAY HOSPITAL,211 HOSPITAL ROAD,,Red Bay,Franklin,AL,35582,00173-0901-86,Sotrovimab,38,POINT (-88.14759 34.45749),,2022-03-30T00:00:00.000,ACTIVE,
RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,,Russellville,Franklin,AL,35653,00173-0901-86,Sotrovimab,24,POINT (-87.715622 34.525134),,2022-03-30T00:00:00.000,ACTIVE,
WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,Geneva,Geneva,AL,36340,00173-0901-86,Sotrovimab,20,POINT (-85.89128 31.04903),,2022-03-30T00:00:00.000,ACTIVE,
HALE COUNTY HOSPITAL,508 GREEN STREET,,Greensboro,Hale,AL,36744,00173-0901-86,Sotrovimab,3,POINT (-87.5875 32.69466),,2022-03-30T00:00:00.000,ACTIVE,
FLOWERS HOSPITAL,4370 WEST MAIN STREET,,Dothan,Houston,AL,36305,00173-0901-86,Sotrovimab,14,POINT (-85.457115 31.2381),,2022-03-30T00:00:00.000,ACTIVE,
HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,Scottsboro,Jackson,AL,35768,00173-0901-86,Sotrovimab,18,POINT (-86.04741 34.6622),,2022-03-30T00:00:00.000,ACTIVE,
HealthPointe Primary Care,24020 John T Reid Parkway,,Scottsboro,Jackson,AL,35768,00173-0901-86,Sotrovimab,2,POINT (-86.02375 34.65944),,2022-02-16T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,,Bessemer,Jefferson,AL,35021,00173-0901-86,Sotrovimab,31,POINT (-86.968175 33.397572),,2022-03-30T00:00:00.000,ACTIVE,
CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,,Birmingham,Jefferson,AL,35233,00173-0901-86,Sotrovimab,21,POINT (-86.805245 33.504075),,2022-03-30T00:00:00.000,ACTIVE,
CMC PHARMACY,1308 TUSCALOOSA AVE,,Birmingham,Jefferson,AL,35211,00173-0901-86,Sotrovimab,12,POINT (-86.85465 33.49326),,2022-03-30T00:00:00.000,ACTIVE,
ContinuumRx of Central Alabama,2 Perimeter Park S,,Birmingham,Jefferson,AL,35243,00173-0901-86,Sotrovimab,12,POINT (-86.72533 33.43539),,2022-02-02T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,Birmingham,Jefferson,AL,35243,00173-0901-86,Sotrovimab,38,POINT (-86.71843 33.43313),,2022-03-30T00:00:00.000,ACTIVE,
ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,Birmingham,Jefferson,AL,35205,00173-0901-86,Sotrovimab,36,POINT (-86.78909 33.50762),,2022-03-30T00:00:00.000,ACTIVE,
ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,,Birmingham,Jefferson,AL,35235,00173-0901-86,Sotrovimab,27,POINT (-86.67049 33.594555),,2022-03-30T00:00:00.000,ACTIVE,
"Southview Medical Group, P.C.",833 St. Vincent's Drive,,Birmingham,Jefferson,AL,35205,00173-0901-86,Sotrovimab,1,POINT (-86.787635 33.508505),,2022-02-23T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,Birmingham,Jefferson,AL,35233,00173-0901-86,Sotrovimab,254,POINT (-86.80166 33.50594),,2022-03-30T00:00:00.000,ACTIVE,
Norwood Clinic After Hours,339 Walker Chapel Plaza,,Fultondale,Jefferson,AL,35068,00173-0901-86,Sotrovimab,24,POINT (-86.797672 33.610415),,2022-03-30T00:00:00.000,ACTIVE,
Amber Enterprises,2100 Riverchase Center,,Hoover,Jefferson,AL,35244,00173-0901-86,Sotrovimab,17,POINT (-86.787123 33.365691),,2022-03-30T00:00:00.000,ACTIVE,
Ross Bridge Medical Practice,3635 Market Street,,Hoover,Jefferson,AL,35226,00173-0901-86,Sotrovimab,18,POINT (-86.88201 33.39667),,2022-03-30T00:00:00.000,ACTIVE,
WELLNESS MEDICAL CENTER,4735 NORRELL DR STE 109,,Trussville,Jefferson,AL,35173,00173-0901-86,Sotrovimab,11,POINT (-86.61326 33.64115),,2022-02-09T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
FlexCare Infusion Center,2409 Acton Rd,,Vestavia Hills,Jefferson,AL,35243,00173-0901-86,Sotrovimab,15,POINT (-86.764015 33.410005),,2022-03-30T00:00:00.000,ACTIVE,
Urgent Care South,143 White Oak Trail,,Warrior,Jefferson,AL,35180,00173-0901-86,Sotrovimab,7,POINT (-86.82589 33.85115),,2022-02-09T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Hamilton Family Urgent Care,3500 Cloverdale Road,,Florence,Lauderdale,AL,35633,00173-0901-86,Sotrovimab,27,POINT (-87.690695 34.85265),,2022-03-16T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,,Florence,Lauderdale,AL,35630,00173-0901-86,Sotrovimab,28,POINT (-87.65074 34.805125),,2022-03-30T00:00:00.000,ACTIVE,
AUBURN UNIVERSITY MEDICAL CLINIC,400 LEM MORRISON DR,,Auburn,Lee,AL,36832,00173-0901-86,Sotrovimab,1,POINT (-85.48791 32.59299),,2022-01-26T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,,Athens,Limestone,AL,35611,00173-0901-86,Sotrovimab,27,POINT (-86.978995 34.80429),,2022-03-30T00:00:00.000,ACTIVE,
PHCY CR ASSOCIATES ATHENS SF,1754 Trigreen Dr N,,Athens,Limestone,AL,35611,00173-0901-86,Sotrovimab,1,POINT (-86.94303 34.81987),,2022-03-16T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,Huntsville,Madison,AL,35801,00173-0901-86,Sotrovimab,42,POINT (-86.57252 34.69428),,2022-03-30T00:00:00.000,ACTIVE,
HUNTSVILLE HOSPITAL,101 SIVLEY RD,,Huntsville,Madison,AL,35801,00173-0901-86,Sotrovimab,2,POINT (-86.5818 34.72105),,2022-03-30T00:00:00.000,ACTIVE,
SYNERGY WELLNESS,7105 Bailey Creek Cir Ste B,,Huntsville,Madison,AL,35802,00173-0901-86,Sotrovimab,108,POINT (-86.537611 34.673515),,2022-03-30T00:00:00.000,ACTIVE,
FlexCare Infusion Center,1038 Research Blvd,,Madison,Madison,AL,35758,00173-0901-86,Sotrovimab,6,POINT (-86.729926 34.688055),,2022-03-30T00:00:00.000,ACTIVE,
"QC Wellness, LLC",7500 Highway 72 West,,Madison,Madison,AL,35758,00173-0901-86,Sotrovimab,26,POINT (-86.72532 34.75725),,2022-03-30T00:00:00.000,ACTIVE,
WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,,Demopolis,Marengo,AL,36732,00173-0901-86,Sotrovimab,24,POINT (-87.83728 32.50592),,2022-03-30T00:00:00.000,ACTIVE,
Norwood Clinic Guin,6150 US Highway 43,,Guin,Marion,AL,35563,00173-0901-86,Sotrovimab,12,POINT (-87.89097 33.96602),,2022-03-02T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,Hamilton,Marion,AL,35570,00173-0901-86,Sotrovimab,10,POINT (-87.99092 34.126),,2022-03-30T00:00:00.000,ACTIVE,
NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,Winfield,Marion,AL,35594,00173-0901-86,Sotrovimab,21,POINT (-87.82443 33.93024),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Arab,1420 N Brindlee Mountain Pkwy,,Arab,Marshall,AL,35016,00173-0901-86,Sotrovimab,59,POINT (-86.503599 34.341946),,2022-03-30T00:00:00.000,ACTIVE,
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,,Boaz,Marshall,AL,35957,00173-0901-86,Sotrovimab,104,POINT (-86.16127 34.22149),,2022-03-30T00:00:00.000,ACTIVE,
Lakeside North Family Medicine,38 Rowe Drive,,Guntersville,Marshall,AL,35976,00173-0901-86,Sotrovimab,11,POINT (-86.42271 34.363935),,2022-03-23T00:00:00.000,ACTIVE,
"Alabama Medical Group, P.C.",101 Memorial Hospital Dr,,Mobile,Mobile,AL,36608,00173-0901-86,Sotrovimab,17,POINT (-88.12989 30.683135),,2022-03-30T00:00:00.000,ACTIVE,
Gacek Ear And Sinus Center,100 Memorial Hospital Dr.,,Mobile,Mobile,AL,36608,00173-0901-86,Sotrovimab,22,POINT (-88.132367 30.68303),,2022-03-30T00:00:00.000,ACTIVE,
Howard Pharmacy LLC  dba Midtown Pharmacy,2152 Airport Blvd,,Mobile,Mobile,AL,36606,00173-0901-86,Sotrovimab,12,POINT (-88.09209 30.67666),,2022-03-30T00:00:00.000,ACTIVE,
INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,Mobile,Mobile,AL,36607,00173-0901-86,Sotrovimab,60,POINT (-88.08027 30.69672),,2022-03-30T00:00:00.000,ACTIVE,
KidsStreet Urgent Care - Mobile,6280 Grelot Road,,Mobile,Mobile,AL,36609,00173-0901-86,Sotrovimab,60,POINT (-88.18816 30.66159),,2022-03-30T00:00:00.000,ACTIVE,
MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,,Mobile,Mobile,AL,36607,00173-0901-86,Sotrovimab,60,POINT (-88.08027 30.69672),,2022-03-30T00:00:00.000,ACTIVE,
MedChoice Pharmacy Services,"One Southern Way, Suite M",,Mobile,Mobile,AL,36619,00173-0901-86,Sotrovimab,15,POINT (-88.20955 30.61343),,2022-03-23T00:00:00.000,ACTIVE,
PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,Mobile,Mobile,AL,36608,00173-0901-86,Sotrovimab,79,POINT (-88.19926 30.67939),,2022-03-30T00:00:00.000,ACTIVE,
SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,,Mobile,Mobile,AL,36608,00173-0901-86,Sotrovimab,6,POINT (-88.131455 30.684435),,2022-03-30T00:00:00.000,ACTIVE,
USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,,Mobile,Mobile,AL,36617,00173-0901-86,Sotrovimab,6,POINT (-88.09666 30.70207),,2022-03-30T00:00:00.000,ACTIVE,
MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,Monroeville,Monroe,AL,36460,00173-0901-86,Sotrovimab,54,POINT (-87.344615 31.469854),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Monroeville,1195 South Alabama Ave,,Monroeville,Monroe,AL,36460,00173-0901-86,Sotrovimab,58,POINT (-87.318683 31.505521),,2022-03-30T00:00:00.000,ACTIVE,
The Practice DBA Primary Care Center of Monroeville,1075 Drewry Road,,Monroeville,Monroe,AL,36460,00173-0901-86,Sotrovimab,15,POINT (-87.30422 31.500013),,2022-03-30T00:00:00.000,ACTIVE,
BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,Montgomery,Montgomery,AL,36116,00173-0901-86,Sotrovimab,19,POINT (-86.277415 32.32776),,2022-03-30T00:00:00.000,ACTIVE,
JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,Montgomery,Montgomery,AL,36106,00173-0901-86,Sotrovimab,2,POINT (-86.285025 32.36701),,2022-03-30T00:00:00.000,ACTIVE,
KidsStreet Urgent Care - Montgomery,3039 Vaughn Road,,Montgomery,Montgomery,AL,36106,00173-0901-86,Sotrovimab,50,POINT (-86.262035 32.352745),,2022-03-30T00:00:00.000,ACTIVE,
PHCY CR ASSOCIATES MONTGMRY SF,545 Cotton Gin Road,,Montgomery,Montgomery,AL,36117,00173-0901-86,Sotrovimab,16,POINT (-86.167385 32.372585),,2022-03-23T00:00:00.000,ACTIVE,
TURENNE PHARMEDCO,355 Industrial Park Blvd,,Montgomery,Montgomery,AL,36117,00173-0901-86,Sotrovimab,18,POINT (-86.11389 32.37318),,2022-03-16T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,,Decatur,Morgan,AL,35601,00173-0901-86,Sotrovimab,24,POINT (-86.971894 34.590639),,2022-03-30T00:00:00.000,ACTIVE,
Whitfield Family Practice,2828 Hwy 31 S,,Decatur,Morgan,AL,35603,00173-0901-86,Sotrovimab,4,POINT (-86.970216 34.552965),,2022-03-23T00:00:00.000,ACTIVE,
"Pickens County Primary Care, PC",108 4th Ave SW,,Reform,Pickens,AL,35481,00173-0901-86,Sotrovimab,18,POINT (-88.0121 33.38131),,2022-03-30T00:00:00.000,ACTIVE,
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,Troy,Pike,AL,36081,00173-0901-86,Sotrovimab,24,POINT (-85.94557 31.7815),,2022-03-30T00:00:00.000,ACTIVE,
TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,,Wedowee,Randolph,AL,36278,00173-0901-86,Sotrovimab,19,POINT (-85.48745 33.31679),,2022-03-30T00:00:00.000,ACTIVE,
JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,,Phenix City,Russell,AL,36867,00173-0901-86,Sotrovimab,24,POINT (-85.00758 32.50873),,2022-03-30T00:00:00.000,ACTIVE,
IntegraCare Pharmacy,199 Corporate Woods Drive,,Alabaster,Shelby,AL,35007,00173-0901-86,Sotrovimab,15,POINT (-86.789815 33.188845),,2022-03-30T00:00:00.000,ACTIVE,
Southern Wellness LLC,321 1st Street North,,Alabaster,Shelby,AL,35007,00173-0901-86,Sotrovimab,58,POINT (-86.81585 33.24706),,2022-03-30T00:00:00.000,ACTIVE,
Chelsea Urgent Care,15582 HWY 280,,Chelsea,Shelby,AL,35043,00173-0901-86,Sotrovimab,10,POINT (-86.61175 33.35193),,2022-03-30T00:00:00.000,ACTIVE,
KIDSSTREET MAINSTREET FAMILY CARE,300 Big Mountain Rd,,Pelham,Shelby,AL,35124,00173-0901-86,Sotrovimab,20,POINT (-86.79514 33.34417),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Moody,2211 Moody Parkway,,Moody,St. Clair,AL,35004,00173-0901-86,Sotrovimab,24,POINT (-86.518145 33.574435),,2022-03-30T00:00:00.000,ACTIVE,
ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,,Pell City,St. Clair,AL,35125,00173-0901-86,Sotrovimab,23,POINT (-86.301425 33.60453),,2022-03-30T00:00:00.000,ACTIVE,
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,Sylacauga,Talladega,AL,35150,00173-0901-86,Sotrovimab,56,POINT (-86.2538 33.16547),,2022-03-30T00:00:00.000,ACTIVE,
"Craddock Health Center, PC",209 West Spring Street,,Sylacauga,Talladega,AL,35150,00173-0901-86,Sotrovimab,3,POINT (-86.257522 33.166006),,2022-03-30T00:00:00.000,ACTIVE,
