2022-03-08T14-40-56,90210,Encore Pharmacy,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-04-07T05-34-07,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,41,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,90210,Encore Pharmacy,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,33,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,90210,Encore Pharmacy,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,90210,Encore Pharmacy,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,90210,Encore Pharmacy,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,90210,Encore Pharmacy,NLP,NLP,NLP,,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,90210,Encore Pharmacy,NLP,NLP,NLP,,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,90210,Rite Aid 05462,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,90210,Encore Pharmacy,NLP,NLP,NLP,,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,90210,Rite Aid 05462,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,27,04/14/2022 12:00:00 AM
2022-04-14T09-18-06,90210,Encore Pharmacy,NLP,NLP,NLP,,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,90210,Encore Pharmacy,NLP,NLP,NLP,,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,25,04/15/2022 12:00:00 AM
2022-04-15T06-03-51,90210,Rite Aid 05462,NLP,NLP,NLP,36,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,25,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,90210,Rite Aid 05462,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,90210,Encore Pharmacy,NLP,NLP,NLP,,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,90210,Encore Pharmacy,NLP,NLP,NLP,,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,90210,Rite Aid 05462,NLP,NLP,NLP,32,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,25,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,90210,Encore Pharmacy,NLP,NLP,NLP,,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,25,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,90210,Rite Aid 05462,NLP,NLP,NLP,31,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-19T05-39-24,90210,Encore Pharmacy,NLP,NLP,NLP,,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,90210,Rite Aid 05462,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-20T05-27-37,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,9,04/20/2022 12:00:00 AM
2022-04-20T05-27-37,90210,Encore Pharmacy,NLP,NLP,NLP,,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,90210,Rite Aid 05462,NLP,NLP,NLP,21,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-21T05-29-54,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,90210,Encore Pharmacy,NLP,NLP,NLP,,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-22T05-26-18,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,90210,Encore Pharmacy,NLP,NLP,NLP,,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-23T05-25-10,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,90210,Encore Pharmacy,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-24T05-22-24,90210,Encore Pharmacy,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-25T05-22-33,90210,Rite Aid 05462,NLP,NLP,NLP,20,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,90210,Encore Pharmacy,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-26T05-20-54,90210,Encore Pharmacy,NLP,NLP,NLP,,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-27T05-23-49,90210,Encore Pharmacy,NLP,NLP,NLP,,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,90210,Ace Medical Pharmacy,NLP,NLP,NLP,52,04/16/2022 12:00:00 AM
2022-04-28T09-22-45,90210,Encore Pharmacy,NLP,NLP,NLP,,04/27/2022 12:00:00 AM
