2022-02-10T21-04-53,06511,YNHH/MAIN HOSPITAL,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,600,321,02/09/2022 12:00:00 AM
2022-03-21T06-11-50,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,492,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,06511,Walgreens Store #13969,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,06511,Walgreens Store #13969,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,492,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,06511,Walgreens Store #13969,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,454,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,454,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,454,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,435,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,421,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06511,Walgreens Store #09785,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,384,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06511,Walgreens Store #09785,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,367,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06511,Walgreens Store #09785,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,367,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,06511,Walgreens Store #06474,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06511,Walgreens Store #09785,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06511,Walgreens Store #13969,NLP,NLP,NLP,17,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,447,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,06511,Walgreens Store #13969,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,442,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06511,Walgreens Store #13969,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,442,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06511,Walgreens Store #13969,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,413,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,391,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06511,Walgreens Store #13969,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,363,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,363,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,312,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-08T05-48-29,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,272,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,272,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,272,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,203,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,203,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,203,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,327,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,06511,Walgreens Store #09785,NLP,NLP,NLP,39,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,06511,Walgreens Store #09785,NLP,NLP,NLP,90,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,286,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,06511,Walgreens Store #06474,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,06511,YNHH/MAIN HOSPITAL,NLP,NLP,NLP,286,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,06511,CORNELL SCOTT-HILL HEALTH CENTER,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,06511,Walgreens Store #09785,NLP,NLP,NLP,90,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,06511,Walgreens Store #13969,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
