2022-03-08T14-40-56,77581,KROGER PHARMACY 03400343,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-22T09-16-18,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-25T08-10-53,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,77581,CVS Store #05877,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,77581,CVS Store #05877,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,77581,CVS Store #05877,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,77581,CVS Store #05877,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,77581,CVS Store #05877,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,77581,CVS Store #05877,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,77581,CVS Store #05877,NLP,NLP,NLP,35,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,77581,CVS Store #05877,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,77581,CVS Store #05877,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-03-31T15-09-22,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,77581,CVS Store #05877,NLP,NLP,NLP,35,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,77581,Walgreens Store #07534,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,77581,CVS Store #05877,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,77581,CVS Store #05877,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,77581,CVS Store #05877,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,77581,CVS Store #05877,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,77581,CVS Store #05877,NLP,NLP,NLP,54,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,77581,CVS Store #05877,NLP,NLP,NLP,54,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-08T05-48-29,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,77581,CVS Store #05877,NLP,NLP,NLP,54,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-09T05-41-09,77581,CVS Store #05877,NLP,NLP,NLP,54,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-10T09-31-27,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77581,CVS Store #05877,NLP,NLP,NLP,54,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-11T07-06-23,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,77581,CVS Store #05877,NLP,NLP,NLP,54,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-11T07-06-23,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,77581,CVS Store #05877,NLP,NLP,NLP,54,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-13T09-20-57,77581,CVS Store #05877,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-13T11-55-39,77581,CVS Store #05877,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,77581,Walgreens Store #07459,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,77581,HEB Pharmacy 675,NLP,NLP,NLP,95,03/17/2022 12:00:00 AM
2022-04-14T09-18-06,77581,CVS Store #05877,NLP,NLP,NLP,54,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,77581,Walgreens Store #07459,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,77581,HEB Pharmacy 675,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,77581,CVS Store #05877,NLP,NLP,NLP,54,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,77581,Walgreens Store #07459,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,77581,Walgreens Store #07459,NLP,NLP,NLP,39,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,77581,CVS Store #05877,NLP,NLP,NLP,54,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,77581,CVS Store #05877,NLP,NLP,NLP,54,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,77581,Walgreens Store #07459,NLP,NLP,NLP,39,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,77581,CVS Store #05877,NLP,NLP,NLP,54,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,77581,Walgreens Store #07459,NLP,NLP,NLP,39,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,77581,Walgreens Store #07459,NLP,NLP,NLP,39,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,77581,CVS Store #05877,NLP,NLP,NLP,54,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,77581,Walgreens Store #07459,NLP,NLP,NLP,39,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,77581,CVS Store #05877,NLP,NLP,NLP,54,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-20T05-27-37,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,77581,CVS Store #05877,NLP,NLP,NLP,54,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,77581,CVS Store #05877,NLP,NLP,NLP,54,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,77581,CVS Store #05877,NLP,NLP,NLP,53,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,77581,Walgreens Store #03660,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,77581,Walgreens Store #03660,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,77581,CVS Store #05877,NLP,NLP,NLP,53,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,Walgreens Store #03660,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,77581,CVS Store #05877,NLP,NLP,NLP,53,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,77581,Walgreens Store #03660,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,77581,CVS Store #05877,NLP,NLP,NLP,51,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,77581,Walgreens Store #03660,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,77581,CVS Store #05877,NLP,NLP,NLP,48,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,77581,HEB Pharmacy 675,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,77581,Walgreens Store #03660,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,77581,CVS Store #05877,NLP,NLP,NLP,48,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,77581,HEB Pharmacy 675,NLP,NLP,NLP,17,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,CVS Store #05877,NLP,NLP,NLP,46,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,Walgreens Store #03660,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,77581,HEB Pharmacy 675,NLP,NLP,NLP,17,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,77581,Walgreens Store #03660,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,CVS Store #05877,NLP,NLP,NLP,46,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,Pharmcare,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,77581,HEB Pharmacy 675,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,CVS Store #05877,NLP,NLP,NLP,46,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,Walgreens Store #03660,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,Pharmcare,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,77581,HEB Pharmacy 675,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,Walgreens Store #03660,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,Walgreens Store #07459,NLP,NLP,NLP,37,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,CVS Store #05877,NLP,NLP,NLP,46,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,Walgreens Store #07534,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,Pharmcare,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,Walmart Pharmacy #872,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,77581,KROGER PHARMACY 03400343,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
