2022-03-08T14-40-56,33144,PDL Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-04-29T05-13-54,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,33144,Cano Pharmacy,NLP,NLP,NLP,16,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33144,PDL Pharmacy,NLP,NLP,NLP,76,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,33144,Cano Pharmacy,NLP,NLP,NLP,13,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33144,PDL Pharmacy,NLP,NLP,NLP,76,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33144,CANO PHARMACY,NLP,NLP,NLP,13,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,37,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,37,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,37,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33144,CANO PHARMACY,NLP,NLP,NLP,31,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,33144,CANO PHARMACY,NLP,NLP,NLP,30,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,35,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33144,CANO PHARMACY,NLP,NLP,NLP,30,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,35,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33144,CANO PHARMACY,NLP,NLP,NLP,30,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,35,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,33144,Cano Pharmacy,NLP,NLP,NLP,29,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,35,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33144,PDL Pharmacy,NLP,NLP,NLP,76,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,33144,Cano Pharmacy,NLP,NLP,NLP,28,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33144,PDL Pharmacy,NLP,NLP,NLP,76,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33144,CANO PHARMACY,NLP,NLP,NLP,28,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33144,CANO PHARMACY,NLP,NLP,NLP,28,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,WALGREENS STORE #02743,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,33144,WALGREENS STORE #02743,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,WALGREENS STORE #02743,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,36,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,WALGREENS STORE #02743,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,PDL PHARMACY,NLP,NLP,NLP,76,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,33144,CANO PHARMACY,NLP,NLP,NLP,25,05/23/2022 12:00:00 AM
