2022-01-14T15-37-26,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/12/2022 12:00:00 AM,,20,,
2022-04-21T05-29-54,76112,CVS Store #06817,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-22T05-26-18,76112,CVS Store #06817,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-23T05-25-10,76112,CVS Store #06817,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,76112,CVS Store #06817,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,76112,CVS Store #06817,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,76112,CVS Store #06817,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,76112,CVS Store #06817,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,46,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,76112,CVS Store #06817,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,46,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,76112,CVS Store #06817,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,46,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,76112,CVS Store #06817,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,46,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,76112,CVS Store #06817,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,46,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,76112,CVS Store #06817,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,42,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,76112,CVS Store #06817,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,41,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,76112,CVS Store #06817,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,76112,CVS Store #06817,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,76112,CVS Store #06817,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,76112,CVS Store #06817,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,76112,CVS Store #06817,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,76112,CVS Store #06817,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,77,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,76112,CVS Store #06817,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,77,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,76112,CVS Store #06817,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,75,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,76112,CVS Store #06817,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,73,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,76112,CVS Store #06817,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,76112,CVS Store #06817,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,76112,CVS Store #06817,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,76112,CVS Store #06817,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,68,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,76112,CVS Store #06817,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,66,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,76112,CVS Store #06817,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,64,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,76112,CVS Store #06817,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,64,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,76112,CVS Store #06817,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,76112,CVS Store #06817,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
