2022-03-08T14-40-56,33606,Davis Islands Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-26T06-57-27,33606,Davis Islands Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,59,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33606,CVS Store #03930,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33606,Davis Islands Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33606,CVS Store #03930,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,59,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33606,Davis Islands Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,59,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,33606,Davis Islands Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33606,CVS Store #03930,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,33606,Davis Islands Pharmacy,NLP,NLP,NLP,38,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,59,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33606,CVS Store #03930,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,59,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33606,CVS Store #03930,NLP,NLP,NLP,16,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,33606,Walgreens Store #05451,NLP,NLP,NLP,11,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33606,CVS Store #03930,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,98,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,98,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33606,CVS Store #03930,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33606,Walgreens Store #05451,NLP,NLP,NLP,11,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33606,Walgreens Store #05451,NLP,NLP,NLP,12,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33606,CVS Store #03930,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,97,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,97,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33606,Walgreens Store #05451,NLP,NLP,NLP,11,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33606,CVS Store #03930,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,97,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33606,Walgreens Store #05451,NLP,NLP,NLP,11,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33606,CVS Store #03930,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,97,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,33606,Walgreens Store #05451,NLP,NLP,NLP,11,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33606,CVS Store #03930,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33606,CVS Store #03930,NLP,NLP,NLP,16,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33606,Walgreens Store #05451,NLP,NLP,NLP,11,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,97,04/02/2022 12:00:00 AM
2022-04-06T05-45-18,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33606,Walgreens Store #05451,NLP,NLP,NLP,11,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33606,CVS Store #03930,NLP,NLP,NLP,16,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33606,CVS Store #03930,NLP,NLP,NLP,16,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33606,Walgreens Store #05451,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33606,Walgreens Store #05451,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33606,CVS Store #03930,NLP,NLP,NLP,16,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33606,CVS Store #03930,NLP,NLP,NLP,16,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33606,Walgreens Store #05451,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33606,Walgreens Store #05451,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33606,CVS Store #03930,NLP,NLP,NLP,16,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,117,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33606,CVS Store #03930,NLP,NLP,NLP,16,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33606,Walgreens Store #05451,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,116,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33606,CVS Store #03930,NLP,NLP,NLP,15,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33606,Walgreens Store #05451,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,33606,Walgreens Store #05451,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,116,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,33606,CVS Store #03930,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33606,CVS Store #03930,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33606,Walgreens Store #05451,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,116,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,136,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33606,CVS Store #03930,NLP,NLP,NLP,13,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33606,Walgreens Store #05451,NLP,NLP,NLP,5,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,33606,CVS Store #03930,NLP,NLP,NLP,13,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33606,Walgreens Store #05451,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33606,Davis Islands Pharmacy,NLP,NLP,NLP,37,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,135,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,33606,Davis Islands Pharmacy,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33606,CVS Store #03930,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,134,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33606,Walgreens Store #05451,NLP,NLP,NLP,4,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33606,Davis Islands Pharmacy,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33606,Walgreens Store #05451,NLP,NLP,NLP,4,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33606,CVS Store #03930,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,133,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,33606,Davis Islands Pharmacy,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,133,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,33606,CVS Store #03930,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33606,Walgreens Store #05451,NLP,NLP,NLP,4,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,133,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33606,CVS Store #03930,NLP,NLP,NLP,9,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33606,Walgreens Store #05451,NLP,NLP,NLP,3,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,152,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33606,Walgreens Store #05451,NLP,NLP,NLP,3,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33606,CVS Store #03930,NLP,NLP,NLP,9,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,152,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,33606,Walgreens Store #05451,NLP,NLP,NLP,3,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,33606,CVS Store #03930,NLP,NLP,NLP,7,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,152,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,33606,Walgreens Store #05451,NLP,NLP,NLP,3,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,33606,CVS Store #03930,NLP,NLP,NLP,7,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,33606,Walgreens Store #05451,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,152,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,33606,CVS Store #03930,NLP,NLP,NLP,6,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,33606,Walgreens Store #05451,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,33606,CVS Store #03930,NLP,NLP,NLP,6,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,33606,Walgreens Store #05451,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,33606,Davis Islands Pharmacy,NLP,NLP,NLP,76,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,33606,CVS Store #03930,NLP,NLP,NLP,6,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,33606,Davis Islands Pharmacy,NLP,NLP,NLP,75,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-26T05-20-54,33606,CVS Store #03930,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-27T05-23-49,33606,CVS Store #03930,NLP,NLP,NLP,3,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,33606,Davis Islands Pharmacy,NLP,NLP,NLP,74,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,33606,Davis Islands Pharmacy,NLP,NLP,NLP,73,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-28T09-22-45,33606,CVS Store #03930,NLP,NLP,NLP,3,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,150,04/23/2022 12:00:00 AM
2022-04-29T05-13-54,33606,CVS Store #03930,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,33606,Davis Islands Pharmacy,NLP,NLP,NLP,72,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,145,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33606,CVS Store #03930,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33606,Davis Islands Pharmacy,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,144,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,33606,CVS Store #03930,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33606,Davis Islands Pharmacy,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33606,CVS Store #03930,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,144,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33606,Davis Islands Pharmacy,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,144,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33606,CVS Store #03930,NLP,NLP,NLP,23,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33606,Davis Islands Pharmacy,NLP,NLP,NLP,70,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,143,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33606,CVS Store #03930,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33606,Davis Islands Pharmacy,NLP,NLP,NLP,67,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,143,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33606,DAVIS ISLANDS PHARMACY,NLP,NLP,NLP,67,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33606,CVS Store #03930,NLP,NLP,NLP,10,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,138,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33606,Walgreens Store #05451,NLP,NLP,NLP,9,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33606,Walmart Pharmacy #5760,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33606,CVS Store #03930,NLP,NLP,NLP,4,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33606,DAVIS ISLANDS PHARMACY,NLP,NLP,NLP,65,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,33606,TAMPA GENERAL HOSPITAL OUTPATIENT,NLP,NLP,NLP,138,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33606,DAVIS ISLANDS PHARMACY,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33606,CVS Store #03930,NLP,NLP,NLP,40,05/06/2022 12:00:00 AM
