2022-03-08T14-40-56,11373,NYC HEALTH + HOSPITALS/ELMHURST,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-04-03T05-51-54,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,11373,CVS Store #16683,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-04T05-38-24,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,11373,CVS Store #16683,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-05T05-48-33,11373,CVS Store #16683,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-06T05-45-18,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11373,CVS Store #16683,NLP,NLP,NLP,17,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,11373,CVS Store #16683,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-08T05-48-29,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-08T05-48-29,11373,CVS Store #16683,NLP,NLP,NLP,17,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-09T05-41-09,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11373,CVS Store #16683,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-10T09-31-27,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11373,CVS Store #16683,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-11T07-06-23,11373,CVS Store #16683,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,11373,CVS Store #16683,NLP,NLP,NLP,17,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-13T09-20-57,11373,CVS Store #16683,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-13T11-55-39,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-13T11-55-39,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11373,CVS Store #16683,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-14T09-18-06,11373,CVS Store #16683,NLP,NLP,NLP,15,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11373,Stop and Shop Store # 509,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-15T06-03-51,11373,CVS Store #16683,NLP,NLP,NLP,15,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11373,Stop and Shop Store # 509,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11373,CVS Store #16683,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11373,Stop and Shop Store # 509,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-17T05-32-24,11373,CVS Store #16683,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11373,Stop and Shop Store # 509,NLP,NLP,NLP,18,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-18T05-31-10,11373,CVS Store #16683,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-18T05-31-10,11373,Stop and Shop Store # 509,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11373,Stop and Shop Store # 509,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-19T05-39-24,11373,CVS Store #16683,NLP,NLP,NLP,14,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11373,Stop and Shop Store # 509,NLP,NLP,NLP,11,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11373,CVS Store #16683,NLP,NLP,NLP,14,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-04-21T05-29-54,11373,Stop and Shop Store # 509,NLP,NLP,NLP,9,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11373,NYC HEALTH + HOSPITALS/ELMHURST,NLP,NLP,NLP,100,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11373,CVS Store #16683,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
