2022-03-08T14-40-56,14214,SISTERS OF CHARITY HOSPITAL OF BUFF,03/03/2022 12:00:00 AM,03/05/2022 12:00:00 AM,40,,
2022-04-13T09-20-57,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-13T11-55-39,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-14T09-18-06,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-15T06-03-51,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-16T05-33-42,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-17T05-32-24,14214,Rite Aid 10827,NLP,NLP,NLP,19,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-17T05-32-24,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,14214,Rite Aid 10827,NLP,NLP,NLP,18,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-18T05-31-10,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,14214,Walgreens Store #03857,NLP,NLP,NLP,13,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,14214,Rite Aid 10827,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-20T05-27-37,14214,Rite Aid 10827,NLP,NLP,NLP,17,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,14214,Walgreens Store #03857,NLP,NLP,NLP,13,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-21T05-29-54,14214,Walgreens Store #03857,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,14214,Rite Aid 10827,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-22T05-26-18,14214,Walgreens Store #03857,NLP,NLP,NLP,13,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-22T05-26-18,14214,Rite Aid 10827,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,14214,Walgreens Store #03857,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,14214,Rite Aid 10827,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-24T05-22-24,14214,Rite Aid 10827,NLP,NLP,NLP,15,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-24T05-22-24,14214,Walgreens Store #03857,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,14214,Rite Aid 10827,NLP,NLP,NLP,15,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,14214,Walgreens Store #03857,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-26T05-20-54,14214,Rite Aid 10827,NLP,NLP,NLP,15,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-26T05-20-54,14214,Walgreens Store #03857,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,14214,Rite Aid 10827,NLP,NLP,NLP,14,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-27T05-23-49,14214,Walgreens Store #03857,NLP,NLP,NLP,9,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,14214,Rite Aid 10827,NLP,NLP,NLP,12,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-28T09-22-45,14214,Walgreens Store #03857,NLP,NLP,NLP,8,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,14214,Rite Aid 10827,NLP,NLP,NLP,12,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,14214,Walgreens Store #03857,NLP,NLP,NLP,8,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-30T05-15-55,14214,Rite Aid 10827,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-05-01T05-13-51,14214,Rite Aid 10827,NLP,NLP,NLP,7,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-05-02T06-02-50,14214,Rite Aid 10827,NLP,NLP,NLP,7,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-05-03T06-05-23,14214,Rite Aid 10827,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-05-04T05-12-02,14214,Rite Aid 10827,NLP,NLP,NLP,7,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,14214,Rite Aid 10827,NLP,NLP,NLP,5,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,14214,CHC BUFFALO - BENWOOD,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,14214,Rite Aid 10827,NLP,NLP,NLP,3,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,14214,CHC BUFFALO - BENWOOD,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
