2022-02-24T09-51-18,42633,MONTICELLO MEDICAL ASSOCIATES RH24,02/22/2022 12:00:00 AM,,40,,
2022-03-27T06-25-27,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,42633,Walgreens Store #17172,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-21T05-29-54,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-22T05-26-18,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-23T05-25-10,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-24T05-22-24,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/13/2022 12:00:00 AM
2022-04-26T05-20-54,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,42633,Walmart Pharmacy #1234,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,42633,Walgreens Store #17172,NLP,NLP,NLP,40,04/28/2022 12:00:00 AM
