2022-03-08T14-40-56,11714,My CHS Rx Pharmacy Inc.,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,100,,
2022-03-30T09-27-07,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-31T08-53-07,11714,CVS Store #06275,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,11714,CVS Store #06275,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-04-01T06-54-45,11714,CVS Store #06275,NLP,NLP,NLP,17,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,79,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,11714,CVS Store #06275,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11714,CVS Store #06275,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,11714,CVS Store #06275,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11714,CVS Store #06275,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11714,CVS Store #06275,NLP,NLP,NLP,8,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,76,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11714,CVS Store #06275,NLP,NLP,NLP,8,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,73,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11714,CVS Store #06275,NLP,NLP,NLP,7,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11714,CVS Store #06275,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,73,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,73,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,11714,CVS Store #06275,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,73,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,11714,CVS Store #06275,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,33,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11714,CVS Store #06275,NLP,NLP,NLP,3,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11714,Rite Aid 10630,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,33,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,32,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,11714,Rite Aid 10630,NLP,NLP,NLP,17,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11714,Rite Aid 10630,NLP,NLP,NLP,17,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11714,CVS Store #06275,NLP,NLP,NLP,37,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,32,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,11714,Rite Aid 10630,NLP,NLP,NLP,15,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11714,CVS Store #06275,NLP,NLP,NLP,33,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11714,Rite Aid 10630,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11714,CVS Store #06275,NLP,NLP,NLP,31,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11714,CVS Store #06275,NLP,NLP,NLP,31,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,11714,Rite Aid 10630,NLP,NLP,NLP,14,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,11714,CVS Store #06275,NLP,NLP,NLP,31,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11714,Rite Aid 10630,NLP,NLP,NLP,14,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,11714,Rite Aid 10630,NLP,NLP,NLP,14,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,11714,CVS Store #06275,NLP,NLP,NLP,23,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,200,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11714,Rite Aid 10630,NLP,NLP,NLP,13,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11714,CVS Store #06275,NLP,NLP,NLP,19,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,200,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11714,CVS Store #06275,NLP,NLP,NLP,35,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11714,Rite Aid 10630,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,200,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,11714,Rite Aid 10630,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11714,CVS Store #06275,NLP,NLP,NLP,31,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,198,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11714,CVS Store #06275,NLP,NLP,NLP,27,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11714,Rite Aid 10630,NLP,NLP,NLP,9,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,198,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11714,Rite Aid 10630,NLP,NLP,NLP,9,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,11714,CVS Store #06275,NLP,NLP,NLP,27,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,198,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,11714,CVS Store #06275,NLP,NLP,NLP,27,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,11714,Rite Aid 10630,NLP,NLP,NLP,9,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,198,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11714,CVS Store #06275,NLP,NLP,NLP,19,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11714,Rite Aid 10630,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,194,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,11714,CVS Store #06275,NLP,NLP,NLP,50,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,11714,Rite Aid 10630,NLP,NLP,NLP,9,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,188,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,11714,CVS Store #06275,NLP,NLP,NLP,50,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11714,Rite Aid 10630,NLP,NLP,NLP,8,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,188,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11714,Rite Aid 10630,NLP,NLP,NLP,8,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11714,CVS Store #06275,NLP,NLP,NLP,43,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,188,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11714,Rite Aid 10630,NLP,NLP,NLP,6,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11714,CVS Store #06275,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11714,CVS Store #00555,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,188,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11714,Rite Aid 10630,NLP,NLP,NLP,5,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,11714,CVS Store #00555,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11714,CVS Store #06275,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,188,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11714,Rite Aid 10630,NLP,NLP,NLP,4,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,11714,CVS Store #06275,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11714,CVS Store #00555,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11714,CVS Store #06275,NLP,NLP,NLP,23,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11714,CVS Store #00555,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11714,CVS Store #06275,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11714,CVS Store #00555,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11714,CVS Store #06275,NLP,NLP,NLP,55,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11714,CVS Store #00555,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11714,CVS Store #06275,NLP,NLP,NLP,52,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11714,CVS Store #00555,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11714,Rite Aid 10630,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11714,CVS Store #06275,NLP,NLP,NLP,130,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11714,CVS Store #00555,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11714,Rite Aid 10630,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,11714,CVS Store #06275,NLP,NLP,NLP,130,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11714,CVS Store #00555,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11714,CVS Store #06275,NLP,NLP,NLP,130,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11714,Rite Aid 10630,NLP,NLP,NLP,19,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,11714,CVS Store #00555,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,11714,Rite Aid 10630,NLP,NLP,NLP,16,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11714,CVS Store #06275,NLP,NLP,NLP,119,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11714,CVS Store #00555,NLP,NLP,NLP,9,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,176,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11714,Rite Aid 10630,NLP,NLP,NLP,16,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11714,CVS Store #00555,NLP,NLP,NLP,7,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11714,CVS Store #06275,NLP,NLP,NLP,119,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,170,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11714,Rite Aid 10630,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11714,CVS Store #06275,NLP,NLP,NLP,116,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11714,CVS Store #00555,NLP,NLP,NLP,5,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,170,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11714,Rite Aid 10630,NLP,NLP,NLP,16,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11714,CVS Store #06275,NLP,NLP,NLP,112,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11714,CVS Store #00555,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11714,Rite Aid 10630,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,87,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11714,CVS Store #06275,NLP,NLP,NLP,109,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11714,CVS Store #00555,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11714,Rite Aid 10630,NLP,NLP,NLP,14,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,11714,CVS Store #06275,NLP,NLP,NLP,109,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11714,CVS Store #00555,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,87,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11714,Rite Aid 10630,NLP,NLP,NLP,14,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,11714,CVS Store #00555,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,87,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11714,CVS Store #06275,NLP,NLP,NLP,109,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11714,Rite Aid 10630,NLP,NLP,NLP,13,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,87,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11714,CVS Store #00555,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11714,CVS Store #06275,NLP,NLP,NLP,109,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,11714,Rite Aid 10630,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11714,CVS Store #00555,NLP,NLP,NLP,75,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11714,CVS Store #06275,NLP,NLP,NLP,98,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,287,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11714,Rite Aid 10630,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11714,CVS Store #00555,NLP,NLP,NLP,72,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,287,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11714,CVS Store #06275,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11714,Rite Aid 10630,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11714,CVS Store #00555,NLP,NLP,NLP,72,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,287,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11714,CVS Store #06275,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11714,Rite Aid 10630,NLP,NLP,NLP,9,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11714,Rite Aid 10630,NLP,NLP,NLP,8,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
