2022-03-08T14-40-56,61085,HARTIG DRUG #11,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-05-25T05-39-27,61085,HARTIG DRUG #11,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,61085,HARTIG DRUG #11,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,61085,HARTIG DRUG #11,NLP,NLP,NLP,18,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,61085,HARTIG DRUG #11,NLP,NLP,NLP,18,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,61085,HARTIG DRUG #11,NLP,NLP,NLP,18,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,61085,HARTIG DRUG #11,NLP,NLP,NLP,17,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,61085,HARTIG DRUG #11,NLP,NLP,NLP,17,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,61085,HARTIG DRUG #11,NLP,NLP,NLP,17,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,61085,HARTIG DRUG #11,NLP,NLP,NLP,17,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,61085,HARTIG DRUG #11,NLP,NLP,NLP,17,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,61085,HARTIG DRUG #11,NLP,NLP,NLP,16,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,61085,HARTIG DRUG #11,NLP,NLP,NLP,14,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,61085,HARTIG DRUG #11,NLP,NLP,NLP,14,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,61085,HARTIG DRUG #11,NLP,NLP,NLP,14,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,61085,HARTIG DRUG #11,NLP,NLP,NLP,12,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-15T04-15-27,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-16T04-15-45,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-17T04-15-27,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-18T04-15-18,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-19T04-15-29,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-20T04-15-58,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-21T04-15-35,61085,HARTIG DRUG #11,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-07-19T04-15-25,61085,HARTIG DRUG #11,NLP,NLP,NLP,9,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,61085,HARTIG DRUG #11,NLP,NLP,NLP,9,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,61085,HARTIG DRUG #11,NLP,NLP,NLP,9,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,61085,HARTIG DRUG #11,NLP,NLP,NLP,8,07/21/2022 12:00:00 AM
2022-07-23T04-15-20,61085,HARTIG DRUG #11,NLP,NLP,NLP,8,07/21/2022 12:00:00 AM
2022-07-24T04-15-21,61085,HARTIG DRUG #11,NLP,NLP,NLP,8,07/21/2022 12:00:00 AM
