2022-03-08T14-40-56,83619,THE PRESCRIPTION PAD,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,19,06/03/2022 12:00:00 AM
