2022-03-08T14-40-56,11206,NYC HEALTH + HOSPITALS / WOODHULL,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,V AND A PHARMACY,NLP,NLP,NLP,14,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,V AND A PHARMACY,NLP,NLP,NLP,14,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,V AND A PHARMACY,NLP,NLP,NLP,14,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,V AND A PHARMACY,NLP,NLP,NLP,14,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,WALGREENS STORE #14410,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11206,V AND A PHARMACY,NLP,NLP,NLP,14,05/24/2022 12:00:00 AM
