2022-02-10T21-04-53,74820,CHICKASAW NATION MEDICAL CNTR,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,47,02/09/2022 12:00:00 AM
2022-03-18T15-22-50,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-07T05-34-07,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-08T05-48-29,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-10T09-31-27,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,74820,CNTRL OK FMC - KONAWA,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,74820,Walmart Pharmacy #231,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
