2022-03-08T14-40-56,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-29T08-50-48,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,11235,CVS Store #02700,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,11235,CVS Store #02700,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11235,CVS Store #02700,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,11235,CVS Store #02700,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11235,CVS Store #02700,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11235,CVS Store #02700,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,11235,CVS Store #02700,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,11235,CVS Store #02700,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,11235,CVS Store #02700,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11235,CVS Store #02700,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11235,CVS Store #02700,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11235,Rite Aid 04876,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11235,Rite Aid 10586,NLP,NLP,NLP,17,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11235,CVS Store #02700,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11235,CVS Store #02700,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11235,Rite Aid 10586,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11235,Rite Aid 04876,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11235,CVS Store #02700,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11235,Rite Aid 10586,NLP,NLP,NLP,17,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11235,CVS Store #02700,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11235,Rite Aid 10586,NLP,NLP,NLP,16,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,11235,CVS Store #02700,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11235,Rite Aid 10586,NLP,NLP,NLP,15,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11235,CVS Store #02700,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,11235,Rite Aid 10586,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11235,Rite Aid 10586,NLP,NLP,NLP,14,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,11235,CVS Store #02700,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,11235,Rite Aid 10586,NLP,NLP,NLP,14,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11235,CVS Store #02700,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,11235,Rite Aid 10586,NLP,NLP,NLP,13,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11235,CVS Store #02700,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11235,CVS Store #02700,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11235,Rite Aid 10586,NLP,NLP,NLP,13,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11235,CVS Store #02700,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11235,Rite Aid 10586,NLP,NLP,NLP,13,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,11235,CVS Store #02700,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11235,Rite Aid 10586,NLP,NLP,NLP,13,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11235,CVS Store #02700,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11235,Rite Aid 10586,NLP,NLP,NLP,13,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11235,CVS Store #02700,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,11235,Rite Aid 10586,NLP,NLP,NLP,12,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,11235,Rite Aid 04876,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11235,Rite Aid 10586,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11235,Rite Aid 10586,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11235,Rite Aid 04876,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,11235,Rite Aid 10586,NLP,NLP,NLP,12,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11235,Rite Aid 04876,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11235,Rite Aid 10586,NLP,NLP,NLP,11,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,11235,Rite Aid 04876,NLP,NLP,NLP,17,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,11235,Rite Aid 04876,NLP,NLP,NLP,17,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,11235,Rite Aid 10586,NLP,NLP,NLP,11,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,11235,CVS Store #02700,NLP,NLP,NLP,36,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11235,Rite Aid 10586,NLP,NLP,NLP,11,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,11235,Rite Aid 04876,NLP,NLP,NLP,17,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11235,Rite Aid 04876,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,11235,CVS Store #02700,NLP,NLP,NLP,75,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,11235,Rite Aid 10586,NLP,NLP,NLP,9,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11235,Rite Aid 04876,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,11235,CVS Store #02700,NLP,NLP,NLP,75,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,11235,Rite Aid 04876,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11235,CVS Store #02700,NLP,NLP,NLP,67,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11235,Rite Aid 04876,NLP,NLP,NLP,14,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11235,CVS Store #02700,NLP,NLP,NLP,59,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11235,Rite Aid 04876,NLP,NLP,NLP,12,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,11235,CVS Store #02700,NLP,NLP,NLP,59,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,11235,Rite Aid 04876,NLP,NLP,NLP,11,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,11235,CVS Store #02700,NLP,NLP,NLP,59,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,11235,CVS Store #02700,NLP,NLP,NLP,54,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11235,Rite Aid 04876,NLP,NLP,NLP,10,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,11235,CVS Store #02700,NLP,NLP,NLP,47,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11235,Rite Aid 04876,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,11235,CVS Store #02700,NLP,NLP,NLP,41,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11235,Rite Aid 04876,NLP,NLP,NLP,16,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,99,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,11235,CVS Store #02700,NLP,NLP,NLP,38,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11235,Rite Aid 04876,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11235,Rite Aid 04876,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11235,CVS Store #02700,NLP,NLP,NLP,52,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11235,Rite Aid 10586,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11235,CVS Store #02700,NLP,NLP,NLP,52,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11235,Rite Aid 04876,NLP,NLP,NLP,15,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11235,Rite Aid 10586,NLP,NLP,NLP,11,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,11235,Rite Aid 04876,NLP,NLP,NLP,15,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,11235,CVS Store #02700,NLP,NLP,NLP,52,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11235,Rite Aid 10586,NLP,NLP,NLP,10,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,11235,Care Fast Pharmacy Inc,NLP,NLP,NLP,20,05/08/2022 12:00:00 AM
2022-05-10T06-06-54,11235,Rite Aid 04876,NLP,NLP,NLP,15,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11235,CVS Store #02700,NLP,NLP,NLP,42,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-10T06-06-54,11235,Care Fast Pharmacy Inc,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11235,Rite Aid 10586,NLP,NLP,NLP,10,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11235,Rite Aid 04876,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,CVS Store #02700,NLP,NLP,NLP,41,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,Rite Aid 10586,NLP,NLP,NLP,8,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,98,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-11T06-51-12,11235,Care Fast Pharmacy Inc,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11235,Rite Aid 04876,NLP,NLP,NLP,14,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,CVS Store #02700,NLP,NLP,NLP,53,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,Rite Aid 10586,NLP,NLP,NLP,5,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-12T07-16-49,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,11235,CVS Store #02700,NLP,NLP,NLP,50,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,Rite Aid 04876,NLP,NLP,NLP,11,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,Rite Aid 10586,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11235,BOARDWALK RX CORP,NLP,NLP,NLP,19,05/07/2022 12:00:00 AM
2022-05-13T06-07-31,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11235,CVS Store #02700,NLP,NLP,NLP,79,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,Rite Aid 04876,NLP,NLP,NLP,11,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,Rite Aid 10586,NLP,NLP,NLP,21,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,BOARDWALK RX CORP,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,11235,CVS Store #02700,NLP,NLP,NLP,79,05/13/2022 12:00:00 AM
