2022-03-08T14-40-56,98498,DSHS BHA - WASHINGTON STATE HOSPITA,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-28T06-21-17,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-12T07-06-55,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-13T09-20-57,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,17,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,17,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,98498,SAV-ON PHARMACY,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-29T05-13-54,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,98498,SAV-ON PHARMACY,NLP,NLP,NLP,18,05/01/2022 12:00:00 AM
2022-05-01T05-13-51,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,98498,SAV-ON PHARMACY,NLP,NLP,NLP,17,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,98498,SAV-ON PHARMACY,NLP,NLP,NLP,17,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,98498,SAV-ON PHARMACY,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,98498,SAV-ON PHARMACY,NLP,NLP,NLP,17,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,98498,SAV-ON PHARMACY,NLP,NLP,NLP,17,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-07T05-45-31,98498,SAV-ON PHARMACY,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-08T10-02-59,98498,SAV-ON PHARMACY,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-09T05-08-14,98498,SAV-ON PHARMACY,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-10T06-06-54,98498,SAV-ON PHARMACY,NLP,NLP,NLP,16,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-11T06-51-12,98498,Walgreens Store #04064,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/14/2022 12:00:00 AM
2022-05-14T08-49-14,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/14/2022 12:00:00 AM
2022-05-16T05-54-24,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,98498,SAV-ON PHARMACY,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/14/2022 12:00:00 AM
2022-05-17T05-27-38,98498,Walgreens Store #04064,NLP,NLP,NLP,38,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/14/2022 12:00:00 AM
2022-05-17T05-27-38,98498,SAV-ON PHARMACY,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,98498,SAV-ON PHARMACY,NLP,NLP,NLP,13,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/19/2022 12:00:00 AM
2022-05-19T05-25-31,98498,SAV-ON PHARMACY,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/19/2022 12:00:00 AM
2022-05-20T05-59-40,98498,SAV-ON PHARMACY,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,98498,SAV-ON PHARMACY,NLP,NLP,NLP,12,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,98498,WALGREENS STORE #04064,NLP,NLP,NLP,38,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,98498,SAV-ON PHARMACY,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,WALGREENS STORE #04064,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
