2022-03-08T14-40-56,11021,NORTH SHORE UNIV HOSP,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-25T08-10-53,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,409,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,11021,Rite Aid 04861,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,11021,Rite Aid 04861,NLP,NLP,NLP,17,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11021,Rite Aid 04861,NLP,NLP,NLP,15,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,11021,Rite Aid 04861,NLP,NLP,NLP,13,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,11021,Rite Aid 04861,NLP,NLP,NLP,13,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-07T05-34-07,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,408,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,11021,Rite Aid 04861,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-08T05-48-29,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,428,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,11021,Rite Aid 04861,NLP,NLP,NLP,4,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-09T05-41-09,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,420,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,11021,Rite Aid 04861,NLP,NLP,NLP,2,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-10T09-31-27,11021,Rite Aid 04861,NLP,NLP,NLP,2,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,420,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-11T07-06-23,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,420,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11021,Rite Aid 04861,NLP,NLP,NLP,2,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-12T07-06-55,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,418,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,11021,Rite Aid 04861,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-13T09-20-57,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,418,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-13T11-55-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,418,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-14T09-18-06,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,416,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-15T06-03-51,11021,Rite Aid 04861,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,416,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-16T05-33-42,11021,Rite Aid 04861,NLP,NLP,NLP,2,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-17T05-32-24,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-18T05-31-10,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-19T05-39-24,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,404,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-20T05-27-37,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,603,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-21T05-29-54,11021,Rite Aid 04861,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,603,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-22T05-26-18,11021,Rite Aid 04861,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,597,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-23T05-25-10,11021,Rite Aid 04861,NLP,NLP,NLP,8,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,594,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-24T05-22-24,11021,Rite Aid 04861,NLP,NLP,NLP,5,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,594,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-25T05-22-33,11021,Rite Aid 04861,NLP,NLP,NLP,5,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,594,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-26T05-20-54,11021,Rite Aid 04861,NLP,NLP,NLP,4,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,589,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-27T05-23-49,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,588,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-28T09-22-45,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,583,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-29T05-13-54,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,583,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-04-30T05-15-55,11021,CVS Store #01934,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11021,Rite Aid 04861,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,574,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-01T05-13-51,11021,CVS Store #01934,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11021,Rite Aid 04861,NLP,NLP,NLP,11,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,574,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11021,CVS Store #01934,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-02T06-02-50,11021,Rite Aid 04861,NLP,NLP,NLP,3,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,574,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-03T06-05-23,11021,CVS Store #01934,NLP,NLP,NLP,16,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11021,Rite Aid 04861,NLP,NLP,NLP,1,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,567,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-04T05-12-02,11021,CVS Store #01934,NLP,NLP,NLP,15,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,563,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-05T09-49-47,11021,CVS Store #01934,NLP,NLP,NLP,11,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11021,Rite Aid 04861,NLP,NLP,NLP,1,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,558,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11021,CVS Store #01934,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-06T06-12-41,11021,Rite Aid 04861,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,552,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-07T05-45-31,11021,Rite Aid 04861,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,552,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-08T10-02-59,11021,Rite Aid 04861,NLP,NLP,NLP,11,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,552,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-09T05-08-14,11021,Rite Aid 04861,NLP,NLP,NLP,5,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,552,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-10T06-06-54,11021,Rite Aid 04861,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,549,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-11T06-51-12,11021,Rite Aid 04861,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11021,CVS Store #01934,NLP,NLP,NLP,16,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,536,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-12T07-16-49,11021,CVS Store #01934,NLP,NLP,NLP,32,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,533,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-13T06-07-31,11021,CVS Store #01934,NLP,NLP,NLP,28,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11021,Rite Aid 04861,NLP,NLP,NLP,36,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,527,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-14T08-49-14,11021,Rite Aid 04861,NLP,NLP,NLP,34,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11021,CVS Store #01934,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,523,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-15T05-54-13,11021,CVS Store #01934,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11021,Rite Aid 04861,NLP,NLP,NLP,30,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,523,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-05-16T05-54-24,11021,Rite Aid 04861,NLP,NLP,NLP,27,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,11021,CVS Store #01934,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,523,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11021,Rite Aid 04861,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11021,CVS Store #01934,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,516,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-18T05-40-23,11021,Rite Aid 04861,NLP,NLP,NLP,10,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11021,CVS Store #01934,NLP,NLP,NLP,205,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,513,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-19T05-25-31,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,505,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11021,CVS Store #01934,NLP,NLP,NLP,200,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11021,Rite Aid 04861,NLP,NLP,NLP,8,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-20T05-59-40,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,505,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11021,CVS Store #01934,NLP,NLP,NLP,200,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11021,Rite Aid 04861,NLP,NLP,NLP,8,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-21T05-54-21,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-22T09-07-10,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,Rite Aid 04861,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,Rite Aid 04861,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,Rite Aid 04861,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,Rite Aid 04861,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,498,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,CVS Store #01934,NLP,NLP,NLP,188,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11021,Rite Aid 04861,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11021,TAYLORS PHARMACY,NLP,NLP,NLP,0,02/22/2022 12:00:00 AM
