2022-03-08T14-40-56,96743,Queens North Hawaii COVID,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,50,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96743,CVS Store #02406,NLP,NLP,NLP,22,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,88,05/26/2022 12:00:00 AM
2022-05-26T07-59-29,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,88,05/26/2022 12:00:00 AM
2022-05-26T07-59-29,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,88,05/26/2022 12:00:00 AM
2022-05-26T07-59-29,96743,CVS Store #02406,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,86,05/27/2022 12:00:00 AM
2022-05-27T05-48-57,96743,CVS Store #02406,NLP,NLP,NLP,14,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-28T05-34-18,96743,CVS Store #02406,NLP,NLP,NLP,13,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-29T05-31-58,96743,CVS Store #02406,NLP,NLP,NLP,13,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,96743,CVS Store #02406,NLP,NLP,NLP,13,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-31T08-56-01,96743,CVS Store #02406,NLP,NLP,NLP,13,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,81,06/01/2022 12:00:00 AM
2022-06-01T05-37-50,96743,CVS Store #02406,NLP,NLP,NLP,46,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,80,06/02/2022 12:00:00 AM
2022-06-02T07-54-10,96743,CVS Store #02406,NLP,NLP,NLP,46,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,80,06/02/2022 12:00:00 AM
2022-06-03T08-50-11,96743,CVS Store #02406,NLP,NLP,NLP,46,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,96743,CVS Store #02406,NLP,NLP,NLP,35,06/03/2022 12:00:00 AM
2022-06-04T19-11-08,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,76,06/04/2022 12:00:00 AM
2022-06-05T08-48-25,96743,CVS Store #02406,NLP,NLP,NLP,35,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,76,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,96743,CVS Store #02406,NLP,NLP,NLP,35,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,76,06/04/2022 12:00:00 AM
2022-06-07T05-36-41,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,72,06/07/2022 12:00:00 AM
2022-06-07T05-36-41,96743,CVS Store #02406,NLP,NLP,NLP,51,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,72,06/08/2022 12:00:00 AM
2022-06-08T05-42-02,96743,CVS Store #02406,NLP,NLP,NLP,48,06/07/2022 12:00:00 AM
