2022-03-08T14-40-56,10011,LENOX HEALTH GREENWICH VILLAGE,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,20,03/07/2022 12:00:00 AM
2022-03-27T06-25-27,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,10011,CVS Store #01618,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10011,CVS Store #01618,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,10011,CVS Store #01618,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,10011,CVS Store #01618,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,10011,CVS Store #01618,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,10011,CVS Store #01618,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,10011,CVS Store #01618,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,10011,CVS Store #01618,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,10011,CVS Store #01618,NLP,NLP,NLP,16,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,10011,CVS Store #01618,NLP,NLP,NLP,13,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,10011,CVS Store #01618,NLP,NLP,NLP,11,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,10011,CVS Store #01618,NLP,NLP,NLP,11,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,10011,CVS Store #01618,NLP,NLP,NLP,11,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
