2022-03-08T14-40-56,32164,One Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-21T16-35-27,32164,One Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,32164,CVS Store #17428,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,32164,CVS Store #17428,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,32164,One Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,32164,CVS Store #17428,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,32164,One Pharmacy,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,32164,CVS Store #17428,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,32164,One Pharmacy,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,32164,CVS Store #17428,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,32164,One Pharmacy,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,32164,One Pharmacy,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,32164,CVS Store #17428,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,32164,CVS Store #17428,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,32164,One Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,32164,CVS Store #17428,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,32164,One Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,32164,CVS Store #17428,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,32164,One Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,32164,CVS Store #17428,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,32164,One Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,32164,CVS Store #17428,NLP,NLP,NLP,38,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,32164,One Pharmacy,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,32164,CVS Store #17428,NLP,NLP,NLP,38,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,32164,One Pharmacy,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,32164,One Pharmacy,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,32164,CVS Store #17428,NLP,NLP,NLP,38,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,32164,One Pharmacy,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,32164,CVS Store #17428,NLP,NLP,NLP,38,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,32164,CVS Store #17428,NLP,NLP,NLP,38,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,32164,One Pharmacy,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,32164,One Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,32164,CVS Store #17428,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,32164,One Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,32164,CVS Store #17428,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,32164,CVS Store #17428,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,32164,One Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,32164,CVS Store #17428,NLP,NLP,NLP,37,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,32164,One Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,32164,CVS Store #17428,NLP,NLP,NLP,37,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,32164,One Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,32164,CVS Store #17428,NLP,NLP,NLP,37,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,32164,One Pharmacy,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,32164,One Pharmacy,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,32164,CVS Store #17428,NLP,NLP,NLP,37,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,32164,CVS Store #17428,NLP,NLP,NLP,37,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,32164,One Pharmacy,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32164,CVS Store #17428,NLP,NLP,NLP,37,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32164,One Pharmacy,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
