2022-03-08T14-40-56,91010,PAX,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-04-08T05-48-29,91010,CVS Store #16100,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,91010,CVS Store #09788,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,91010,CVS Store #16100,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,91010,CVS Store #09788,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,91010,CVS Store #09788,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,91010,CVS Store #16100,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,91010,CVS Store #16100,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,91010,CVS Store #09788,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-12T07-06-55,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,91010,CVS Store #16100,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,91010,CVS Store #09788,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91010,CVS Store #16100,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91010,CVS Store #09788,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91010,CVS Store #16100,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91010,CVS Store #09788,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,91010,CVS Store #16100,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,91010,CVS Store #09788,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,91010,CVS Store #16100,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,91010,CVS Store #09788,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,91010,CVS Store #09788,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,91010,CVS Store #16100,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,91010,CVS Store #16100,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91010,CVS Store #09788,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,91010,CVS Store #16100,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91010,CVS Store #09788,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,91010,CVS Store #16100,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,91010,PAX,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,91010,CVS Store #09788,NLP,NLP,NLP,15,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91010,CVS Store #16100,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91010,CVS Store #09788,NLP,NLP,NLP,14,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,91010,CVS Store #16100,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,91010,CVS Store #09788,NLP,NLP,NLP,14,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,91010,CVS Store #09788,NLP,NLP,NLP,12,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,91010,CVS Store #09788,NLP,NLP,NLP,12,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,91010,CVS Store #09788,NLP,NLP,NLP,12,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,91010,CVS Store #09788,NLP,NLP,NLP,12,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-26T05-20-54,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,91010,CVS Store #09788,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-27T05-23-49,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,91010,CVS Store #09788,NLP,NLP,NLP,29,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,91010,PAX,NLP,NLP,NLP,49,04/19/2022 12:00:00 AM
2022-04-28T09-22-45,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,91010,CVS Store #09788,NLP,NLP,NLP,29,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91010,CVS Store #09788,NLP,NLP,NLP,29,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,91010,CVS Store #09788,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,91010,CVS Store #16100,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,91010,CVS Store #09788,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,91010,CVS Store #16100,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,91010,CVS Store #09788,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,91010,CVS Store #16100,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,91010,CVS Store #09788,NLP,NLP,NLP,28,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,91010,CVS Store #16100,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,91010,CVS Store #09788,NLP,NLP,NLP,28,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,91010,CVS Store #16100,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,91010,CVS Store #09788,NLP,NLP,NLP,28,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,91010,CVS Store #16100,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,91010,CVS Store #09788,NLP,NLP,NLP,28,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91010,CVS Store #16100,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-07T05-45-31,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91010,CVS Store #16100,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91010,CVS Store #09788,NLP,NLP,NLP,27,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-08T10-02-59,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91010,CVS Store #16100,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91010,CVS Store #09788,NLP,NLP,NLP,27,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-09T05-08-14,91010,CVS Store #09788,NLP,NLP,NLP,27,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91010,CVS Store #16100,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-10T06-06-54,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91010,CVS Store #16100,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91010,CVS Store #09788,NLP,NLP,NLP,25,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-11T06-51-12,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91010,CVS Store #16100,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91010,CVS Store #09788,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-12T07-16-49,91010,CVS Store #16100,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91010,CVS Store #09788,NLP,NLP,NLP,25,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-13T06-07-31,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91010,CVS Store #09788,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91010,CVS Store #16100,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-14T08-49-14,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,91010,CVS Store #09788,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,91010,CVS Store #16100,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-15T05-54-13,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91010,CVS Store #16100,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91010,CVS Store #09788,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-16T05-54-24,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,91010,CVS Store #09788,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,91010,CVS Store #16100,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-17T05-27-38,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,91010,CVS Store #09788,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,91010,CVS Store #16100,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-18T05-40-23,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,16,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91010,CVS Store #16100,NLP,NLP,NLP,18,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91010,CVS Store #09788,NLP,NLP,NLP,18,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-19T05-25-31,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,16,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,91010,CVS Store #16100,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,91010,CVS Store #09788,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-20T05-59-40,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,16,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,91010,CVS Store #16100,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91010,CVS Store #09788,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,196,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,91010,PAX,NLP,NLP,NLP,49,04/28/2022 12:00:00 AM
2022-05-21T05-54-21,91010,Walmart Pharmacy #2401,NLP,NLP,NLP,14,05/20/2022 12:00:00 AM
