2022-03-08T14-40-56,33176,Village Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-04-16T05-33-42,33176,CVS Store #03421,NLP,NLP,NLP,24,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33176,Village Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,55,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33176,Village Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33176,CVS Store #03421,NLP,NLP,NLP,24,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,55,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33176,CVS Store #03421,NLP,NLP,NLP,24,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33176,Village Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,34,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33176,CVS Store #03421,NLP,NLP,NLP,23,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,7,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33176,Village Pharmacy,NLP,NLP,NLP,78,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,34,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,15,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,33176,Village Pharmacy,NLP,NLP,NLP,78,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33176,CVS Store #03421,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
