2022-02-02T09-09-05,60018,MAC RX LLC,02/01/2022 12:00:00 AM,,60,,
2022-03-21T06-11-50,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,23,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,17,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,10,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,60018,CVS Store #16682,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,60018,CVS Store #16682,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,9,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,60018,CVS Store #16682,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,60018,CVS Store #16682,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,60018,CVS Store #16682,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,60018,CVS Store #16682,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,60018,CVS Store #16682,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,7,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,60018,CVS Store #16682,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-29T05-13-54,60018,CVS Store #16682,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-30T05-15-55,60018,CVS Store #16682,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-05-01T05-13-51,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,60018,CVS Store #16682,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-05-02T06-02-50,60018,CVS Store #16682,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-05-03T06-05-23,60018,CVS Store #16682,NLP,NLP,NLP,16,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,127,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,60018,CVS Store #16682,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,126,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,60018,CVS Store #16682,NLP,NLP,NLP,15,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,60018,Sams Pharmacy #6464,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,126,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,60018,CVS Store #16682,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,60018,Sams Pharmacy #6464,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,125,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,60018,CVS Store #16682,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,60018,Sams Pharmacy #6464,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,125,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,60018,CVS Store #16682,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,60018,Sams Pharmacy #6464,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,60018,OMNICARE OF NORTHERN ILLINOIS,NLP,NLP,NLP,126,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,60018,CVS Store #16682,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,125,05/06/2022 12:00:00 AM
