2022-03-03T09-56-49,39056,KROGER PHARMACY 02500474,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-04-17T05-32-24,39056,CVS Store #10020,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,39056,CVS Store #10020,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,39056,CVS Store #10020,NLP,NLP,NLP,19,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,39056,CVS Store #10020,NLP,NLP,NLP,19,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,39056,CVS Store #10020,NLP,NLP,NLP,39,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,39056,CVS Store #10020,NLP,NLP,NLP,39,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,39056,CVS Store #10020,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,39056,CVS Store #10020,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,39056,CVS Store #10020,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,39056,CVS Store #10020,NLP,NLP,NLP,39,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,39056,CVS Store #10020,NLP,NLP,NLP,39,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,9,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,8,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,39056,CVS Store #10020,NLP,NLP,NLP,39,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,8,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,39056,CVS Store #10020,NLP,NLP,NLP,39,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,39056,CVS Store #10020,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,8,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,8,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,39056,CVS Store #10020,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,8,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,39056,CVS Store #10020,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,39056,KROGER PHARMACY 02500474,NLP,NLP,NLP,7,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,39056,CVS Store #10020,NLP,NLP,NLP,39,05/02/2022 12:00:00 AM
