2022-03-08T14-40-56,80517,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-03-26T06-57-27,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,39,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,39,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,39,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,38,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,37,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,37,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,36,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,36,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,35,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,35,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,34,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,33,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,33,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,33,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,32,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,31,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,27,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,27,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,25,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,25,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80517,SAFEWAY PHARMACY,NLP,NLP,NLP,16,05/21/2022 12:00:00 AM
