2022-03-08T14-40-56,68632,BUTLER COUNTY HEALTH CARE CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,32,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/24/2022 12:00:00 AM
2022-05-28T05-34-18,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,31,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,30,05/29/2022 12:00:00 AM
2022-05-31T08-56-01,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,30,05/29/2022 12:00:00 AM
2022-06-01T05-37-50,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,30,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,29,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,29,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,29,06/02/2022 12:00:00 AM
