2022-03-08T14-40-56,12180,SAMARITAN HOSP PURCHASING,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-03-29T08-50-48,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,12180,Rite Aid 10687,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,12180,Rite Aid 10687,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,12180,CVS Store #00344,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,12180,CVS Store #00344,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,12180,Rite Aid 10687,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,12180,CVS Store #00344,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,12180,Rite Aid 10687,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,12180,CVS Store #00344,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,12180,CVS Store #00344,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,12180,CVS Store #00344,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,12180,CVS Store #00344,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,12180,CVS Store #00344,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,12180,Rite Aid 01561,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,12180,Rite Aid 10687,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,12180,CVS Store #00344,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,12180,Walgreens Store #10548,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,12180,Rite Aid 01561,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,12180,CVS Store #00344,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,12180,Walgreens Store #10548,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,12180,Rite Aid 01561,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,12180,CVS Store #00344,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,12180,Walgreens Store #10548,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,12180,Rite Aid 01561,NLP,NLP,NLP,19,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,12180,CVS Store #00344,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,12180,Walgreens Store #10548,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,12180,Rite Aid 01561,NLP,NLP,NLP,19,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,12180,CVS Store #00344,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,12180,Walgreens Store #10548,NLP,NLP,NLP,13,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,12180,Rite Aid 01561,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,12180,CVS Store #00344,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,12180,Rite Aid 01561,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,12180,CVS Store #00344,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,12180,Walgreens Store #10548,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,12180,Rite Aid 01561,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,12180,CVS Store #00344,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,12180,Walgreens Store #10548,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,12180,Walgreens Store #10548,NLP,NLP,NLP,13,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,12180,Rite Aid 01561,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,12180,CVS Store #00344,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,12180,Rite Aid 01561,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,12180,Walgreens Store #10548,NLP,NLP,NLP,13,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,12180,CVS Store #00344,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,12180,Rite Aid 01561,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,12180,Walgreens Store #10548,NLP,NLP,NLP,11,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,12180,CVS Store #00344,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,12180,Rite Aid 01561,NLP,NLP,NLP,17,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,12180,Walgreens Store #10548,NLP,NLP,NLP,11,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,12180,CVS Store #00344,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,12180,Rite Aid 01561,NLP,NLP,NLP,17,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,12180,CVS Store #00344,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,12180,Walgreens Store #10548,NLP,NLP,NLP,11,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,12180,Rite Aid 01561,NLP,NLP,NLP,17,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,12180,Walgreens Store #10548,NLP,NLP,NLP,9,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,15,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,12180,CVS Store #00344,NLP,NLP,NLP,19,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,12180,Rite Aid 01561,NLP,NLP,NLP,16,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,12180,Walgreens Store #10548,NLP,NLP,NLP,9,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,12180,CVS Store #00344,NLP,NLP,NLP,19,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,15,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-21T05-29-54,12180,Rite Aid 01561,NLP,NLP,NLP,16,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,12180,Walgreens Store #10548,NLP,NLP,NLP,6,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-21T05-29-54,12180,CVS Store #00344,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,15,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,12180,Rite Aid 01561,NLP,NLP,NLP,16,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,12180,Walgreens Store #10548,NLP,NLP,NLP,6,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,12180,CVS Store #00344,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,15,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,12180,Rite Aid 01561,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,12180,CVS Store #00344,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,12180,Walgreens Store #10548,NLP,NLP,NLP,2,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,12180,Rite Aid 01561,NLP,NLP,NLP,15,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,12180,CVS Store #00344,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,12180,Walgreens Store #10548,NLP,NLP,NLP,2,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,12180,Rite Aid 01561,NLP,NLP,NLP,15,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,12180,Walgreens Store #10548,NLP,NLP,NLP,2,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,12180,Rite Aid 10687,NLP,NLP,NLP,20,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,12180,CVS Store #00344,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,12180,Rite Aid 01561,NLP,NLP,NLP,15,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,12180,Rite Aid 10687,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,12180,Walgreens Store #10548,NLP,NLP,NLP,1,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,12180,CVS Store #00344,NLP,NLP,NLP,19,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,14,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,12180,CVS Store #00344,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,12180,Rite Aid 01561,NLP,NLP,NLP,15,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,12180,Rite Aid 10687,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,14,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,12180,Walgreens Store #10548,NLP,NLP,NLP,1,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,12180,Rite Aid 01561,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,12180,CVS Store #00344,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-28T09-22-45,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,12,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,12180,Rite Aid 01561,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-29T05-13-54,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,12,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,12180,CVS Store #00344,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,12180,Rite Aid 01561,NLP,NLP,NLP,9,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,12180,CVS Store #05032,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-04-30T05-15-55,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,12180,CVS Store #00344,NLP,NLP,NLP,14,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,12180,Rite Aid 01561,NLP,NLP,NLP,9,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,12180,CVS Store #05032,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,12180,Rite Aid 10687,NLP,NLP,NLP,17,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-05-01T05-13-51,12180,CVS Store #00344,NLP,NLP,NLP,14,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,12180,Rite Aid 01561,NLP,NLP,NLP,8,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,12180,CVS Store #05032,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,12180,Rite Aid 10687,NLP,NLP,NLP,17,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-05-02T06-02-50,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,12180,CVS Store #00344,NLP,NLP,NLP,14,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,12180,Rite Aid 01561,NLP,NLP,NLP,7,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,12180,CVS Store #05032,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-05-03T06-05-23,12180,Rite Aid 10687,NLP,NLP,NLP,17,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,9,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,12180,CVS Store #00344,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,12180,Rite Aid 01561,NLP,NLP,NLP,7,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,12180,CVS Store #05032,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
2022-05-04T05-12-02,12180,Rite Aid 10687,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,8,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,12180,CVS Store #00344,NLP,NLP,NLP,6,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,12180,Rite Aid 01561,NLP,NLP,NLP,4,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,12180,CVS Store #05032,NLP,NLP,NLP,17,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,60,04/21/2022 12:00:00 AM
