2022-03-08T14-40-56,33408,Winships Prescription Center,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-04-28T09-22-45,33408,Winships Prescription Center,NLP,NLP,NLP,70,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-04-29T05-13-54,33408,Winships Prescription Center,NLP,NLP,NLP,70,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-04-30T05-15-55,33408,CVS Store #05109,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33408,Winships Prescription Center,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33408,CVS Store #03866,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-04-30T05-15-55,33408,CVS Store #05080,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33408,CVS Store #03866,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33408,CVS Store #05109,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33408,Winships Prescription Center,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33408,CVS Store #05080,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-02T06-02-50,33408,CVS Store #05109,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33408,Winships Prescription Center,NLP,NLP,NLP,70,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33408,CVS Store #03866,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33408,CVS Store #05080,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-03T06-05-23,33408,CVS Store #05080,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33408,Winships Prescription Center,NLP,NLP,NLP,70,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-03T06-05-23,33408,CVS Store #05109,NLP,NLP,NLP,17,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,33408,CVS Store #03866,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-04T05-12-02,33408,CVS Store #03866,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33408,CVS Store #05109,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,33408,Winships Prescription Center,NLP,NLP,NLP,69,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,69,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33408,CVS Store #03866,NLP,NLP,NLP,18,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,33408,CVS Store #05109,NLP,NLP,NLP,12,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-06T06-12-41,33408,CVS Store #05109,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-06T06-12-41,33408,CVS Store #03866,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,68,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-07T05-45-31,33408,CVS Store #05109,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33408,CVS Store #03866,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33408,CVS Store #05109,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33408,CVS Store #03866,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-09T05-08-14,33408,CVS Store #05109,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-09T05-08-14,33408,CVS Store #03866,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,33408,CVS Store #03866,NLP,NLP,NLP,11,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,66,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,33408,CVS Store #05109,NLP,NLP,NLP,28,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-10T06-06-54,33408,CVS Store #05080,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,33408,Walgreens Store #05254,NLP,NLP,NLP,16,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33408,CVS Store #05080,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,66,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33408,CVS Store #03866,NLP,NLP,NLP,8,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33408,CVS Store #05109,NLP,NLP,NLP,27,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,,
2022-05-12T07-16-49,33408,Walgreens Store #05254,NLP,NLP,NLP,15,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,99,05/12/2022 12:00:00 AM
2022-05-12T07-16-49,33408,CVS Store #03866,NLP,NLP,NLP,8,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,66,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33408,CVS Store #05080,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33408,CVS Store #05109,NLP,NLP,NLP,26,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33408,Walgreens Store #05254,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,99,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,66,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33408,CVS Store #03866,NLP,NLP,NLP,3,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,33408,CVS Store #05109,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,33408,CVS Store #05080,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,33408,CVS Store #05109,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33408,Walgreens Store #05254,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,95,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33408,CVS Store #05080,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,64,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33408,CVS Store #03866,NLP,NLP,NLP,22,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33408,Walgreens Store #05254,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,94,05/14/2022 12:00:00 AM
2022-05-15T05-54-13,33408,CVS Store #03866,NLP,NLP,NLP,22,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33408,CVS Store #05080,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,64,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33408,CVS Store #05109,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33408,Walgreens Store #05254,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,94,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,33408,CVS Store #05080,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33408,CVS Store #05109,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33408,CVS Store #03866,NLP,NLP,NLP,22,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,64,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,33408,Walgreens Store #05254,NLP,NLP,NLP,13,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,93,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33408,CVS Store #03866,NLP,NLP,NLP,22,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,33408,Winships Prescription Center,NLP,NLP,NLP,64,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33408,CVS Store #05109,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,33408,CVS Store #05080,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,87,05/18/2022 12:00:00 AM
2022-05-18T05-40-23,33408,CVS Store #05080,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33408,Winships Prescription Center,NLP,NLP,NLP,63,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33408,CVS Store #05109,NLP,NLP,NLP,22,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33408,CVS Store #03866,NLP,NLP,NLP,38,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,87,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33408,CVS Store #05109,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33408,CVS Store #05080,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33408,CVS Store #03866,NLP,NLP,NLP,35,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,87,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,CVS Store #05109,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,CVS Store #05080,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,CVS Store #03866,NLP,NLP,NLP,35,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,79,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,75,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,URGENT CARE OF THE PALM BEACHES,NLP,NLP,NLP,73,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05109,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #03866,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,CVS Store #05080,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WALGREENS STORE #05254,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,33408,WINSHIPS PRESCRIPTION CENTER,NLP,NLP,NLP,62,05/20/2022 12:00:00 AM
