2022-02-09T09-41-46,01772,PROCARE LTC OF MA,02/03/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,01772,PROCARE LTC OF MA,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,31,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,01772,PROCARE LTC OF MA,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,01772,PROCARE LTC OF MA,NLP,NLP,NLP,29,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,01772,Walgreens Store #10318,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,01772,Walgreens Store #10318,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,01772,PROCARE LTC OF MA,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,01772,Walgreens Store #10318,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,01772,PROCARE LTC OF MA,NLP,NLP,NLP,28,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,01772,Walgreens Store #10318,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,01772,Walgreens Store #10318,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,01772,Walgreens Store #10318,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,01772,Walgreens Store #10318,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,01772,Walgreens Store #10318,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,01772,PROCARE LTC OF MA,NLP,NLP,NLP,27,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,01772,Walgreens Store #10318,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,01772,PROCARE LTC OF MA,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,01772,PROCARE LTC OF MA,NLP,NLP,NLP,22,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,01772,PROCARE LTC OF MA,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,01772,PROCARE LTC OF MA,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,01772,PROCARE LTC OF MA,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,01772,PROCARE LTC OF MA,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,01772,PROCARE LTC OF MA,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,01772,PROCARE LTC OF MA,NLP,NLP,NLP,12,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,01772,PROCARE LTC OF MA,NLP,NLP,NLP,10,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,01772,Walgreens Store #10318,NLP,NLP,NLP,55,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,10,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,01772,Walgreens Store #10318,NLP,NLP,NLP,52,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,01772,PROCARE LTC OF MA,NLP,NLP,NLP,8,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,01772,Walgreens Store #10318,NLP,NLP,NLP,52,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,01772,Walgreens Store #10318,NLP,NLP,NLP,52,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,01772,Walgreens Store #10318,NLP,NLP,NLP,52,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,01772,Walgreens Store #10318,NLP,NLP,NLP,52,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,01772,Walgreens Store #10318,NLP,NLP,NLP,48,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/14/2022 12:00:00 AM
2022-04-20T05-27-37,01772,Walgreens Store #10318,NLP,NLP,NLP,48,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,01772,PROCARE LTC OF MA,NLP,NLP,NLP,24,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,01772,Walgreens Store #10318,NLP,NLP,NLP,44,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,01772,PROCARE LTC OF MA,NLP,NLP,NLP,22,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,01772,Walgreens Store #10318,NLP,NLP,NLP,44,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,01772,PROCARE LTC OF MA,NLP,NLP,NLP,21,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,01772,Walgreens Store #10318,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,01772,PROCARE LTC OF MA,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,01772,Walgreens Store #10318,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,01772,PROCARE LTC OF MA,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,01772,Walgreens Store #10318,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,01772,PROCARE LTC OF MA,NLP,NLP,NLP,14,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,01772,PROCARE LTC OF MA,NLP,NLP,NLP,6,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,01772,Walgreens Store #10318,NLP,NLP,NLP,54,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,01772,PROCARE LTC OF MA,NLP,NLP,NLP,38,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,01772,Walgreens Store #10318,NLP,NLP,NLP,54,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,01772,Walgreens Store #10318,NLP,NLP,NLP,47,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,01772,PROCARE LTC OF MA,NLP,NLP,NLP,34,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,01772,Walgreens Store #10318,NLP,NLP,NLP,44,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,01772,PROCARE LTC OF MA,NLP,NLP,NLP,23,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,01772,PROCARE LTC OF MA,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,01772,PROCARE LTC OF MA,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,01772,PROCARE LTC OF MA,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,01772,PROCARE LTC OF MA,NLP,NLP,NLP,26,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,01772,PROCARE LTC OF MA,NLP,NLP,NLP,17,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,01772,Walgreens Store #10318,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,01772,Walgreens Store #10318,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,01772,PROCARE LTC OF MA,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,01772,Walgreens Store #10318,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,01772,Walgreens Store #10318,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,01772,Walgreens Store #10318,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,01772,Walgreens Store #10318,NLP,NLP,NLP,1,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,01772,PROCARE LTC OF MA,NLP,NLP,NLP,102,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,01772,PROCARE LTC OF MA,NLP,NLP,NLP,88,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,01772,PROCARE LTC OF MA,NLP,NLP,NLP,74,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,01772,PROCARE LTC OF MA,NLP,NLP,NLP,69,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,01772,PROCARE LTC OF MA,NLP,NLP,NLP,61,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,01772,PROCARE LTC OF MA,NLP,NLP,NLP,61,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,01772,PROCARE LTC OF MA,NLP,NLP,NLP,61,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,01772,PROCARE LTC OF MA,NLP,NLP,NLP,76,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,01772,WALGREENS STORE #10318,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,01772,PROCARE LTC OF MA,NLP,NLP,NLP,63,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,01772,PROCARE LTC OF MA,NLP,NLP,NLP,53,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,01772,PROCARE LTC OF MA,NLP,NLP,NLP,53,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,WALGREENS STORE #10318,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,01772,PROCARE LTC OF MA,NLP,NLP,NLP,55,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
