2022-02-16T08-23-53,91901,SOUTHERN INDIAN HEALTH COUNCIL,,,0,5,02/15/2022 12:00:00 AM
2022-03-26T12-42-50,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,91901,CVS Store #03025,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,91901,CVS Store #03025,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,91901,CVS Store #03025,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,91901,CVS Store #03025,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,91901,CVS Store #03025,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,91901,CVS Store #03025,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,91901,CVS Store #03025,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,91901,CVS Store #03025,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,91901,CVS Store #03025,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,91901,CVS Store #03025,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,91901,CVS Store #03025,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,91901,CVS Store #03025,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,91901,CVS Store #03025,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,91901,CVS Store #03025,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-08T05-48-29,91901,CVS Store #03025,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,91901,CVS Store #03025,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,91901,CVS Store #03025,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,91901,CVS Store #03025,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,91901,CVS Store #03025,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91901,CVS Store #03025,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91901,CVS Store #03025,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,91901,CVS Store #03025,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,91901,CVS Store #03025,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,91901,CVS Store #03025,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91901,CVS Store #03025,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91901,CVS Store #03025,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,91901,CVS Store #03025,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91901,CVS Store #03025,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,91901,CVS Store #03025,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,91901,CVS Store #03025,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,91901,CVS Store #03025,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91901,CVS Store #03025,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91901,CVS Store #03025,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,91901,CVS Store #03025,NLP,NLP,NLP,17,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,91901,CVS Store #03025,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,91901,CVS Store #03025,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91901,CVS Store #03025,NLP,NLP,NLP,16,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,91901,CVS Store #03025,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/01/2022 12:00:00 AM
2022-05-01T05-13-51,91901,Rite Aid 06225,NLP,NLP,NLP,18,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,91901,CVS Store #03025,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,91901,Rite Aid 06225,NLP,NLP,NLP,18,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,91901,CVS Store #03025,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,91901,Rite Aid 06225,NLP,NLP,NLP,18,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,91901,CVS Store #03025,NLP,NLP,NLP,16,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,91901,CVS Store #03025,NLP,NLP,NLP,15,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,91901,Rite Aid 06225,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,91901,Rite Aid 06225,NLP,NLP,NLP,16,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,91901,CVS Store #03025,NLP,NLP,NLP,14,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91901,Rite Aid 06225,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91901,CVS Store #03025,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91901,CVS Store #03025,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91901,Rite Aid 06225,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91901,CVS Store #03025,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91901,Rite Aid 06225,NLP,NLP,NLP,13,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91901,CVS Store #03025,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91901,Rite Aid 06225,NLP,NLP,NLP,13,05/08/2022 12:00:00 AM
2022-05-10T06-06-54,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91901,Rite Aid 06225,NLP,NLP,NLP,13,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91901,CVS Store #03025,NLP,NLP,NLP,13,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91901,CVS Store #03025,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91901,Rite Aid 06225,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91901,Rite Aid 06225,NLP,NLP,NLP,12,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91901,CVS Store #03025,NLP,NLP,NLP,13,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91901,Rite Aid 06225,NLP,NLP,NLP,11,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91901,CVS Store #03025,NLP,NLP,NLP,13,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-14T08-49-14,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,91901,Rite Aid 06225,NLP,NLP,NLP,11,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-14T08-49-14,91901,CVS Store #03025,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,91901,Rite Aid 06225,NLP,NLP,NLP,10,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,91901,CVS Store #03025,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-16T05-54-24,91901,SAV-ON PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,91901,Rite Aid 06225,NLP,NLP,NLP,9,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,91901,CVS Store #03025,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-17T05-27-38,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,91901,Rite Aid 06225,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,91901,CVS Store #03025,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-18T05-40-23,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91901,CVS Store #03025,NLP,NLP,NLP,9,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91901,Rite Aid 06225,NLP,NLP,NLP,8,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-19T05-25-31,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,91901,Rite Aid 06225,NLP,NLP,NLP,8,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,91901,CVS Store #03025,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-20T05-59-40,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91901,Rite Aid 06225,NLP,NLP,NLP,8,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91901,CVS Store #03025,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-21T05-54-21,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-22T09-07-10,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-22T09-07-10,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SAV-ON PHARMACY,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,91901,SOUTHERN INDIAN HEALTH COUNCIL,NLP,NLP,NLP,5,02/15/2022 12:00:00 AM
2022-05-23T07-42-39,91901,CVS Store #03025,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,91901,Rite Aid 06225,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
