2022-03-03T09-56-49,33024,Memorial Hospital Pembroke Pharmacy,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,40,02/28/2022 12:00:00 AM
2022-03-19T08-15-59,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,33024,CVS Store #02828,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,33024,CVS Store #01147,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33024,CVS Store #02828,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33024,CVS Store #01147,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,33024,CVS Store #01147,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,33024,CVS Store #02828,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33024,CVS Store #02828,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33024,CVS Store #01147,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,33024,CVS Store #01147,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33024,CVS Store #02828,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33024,CVS Store #02828,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33024,CVS Store #01147,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33024,CVS Store #02828,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33024,CVS Store #01147,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33024,CVS Store #02828,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33024,CVS Store #01147,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
