2022-03-08T14-40-56,37209,Walmart Pharmacy #659,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-21T06-11-50,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,37209,Walmart Pharmacy #659,NLP,NLP,NLP,29,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,37209,Walmart Pharmacy #659,NLP,NLP,NLP,29,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,37209,Walmart Pharmacy #659,NLP,NLP,NLP,29,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,37209,Walmart Pharmacy #659,NLP,NLP,NLP,29,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,37209,Walmart Pharmacy #659,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,37209,Walmart Pharmacy #659,NLP,NLP,NLP,23,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,37209,Walmart Pharmacy #659,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,37209,Walmart Pharmacy #659,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,37209,Walmart Pharmacy #659,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,37209,Walmart Pharmacy #659,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,37209,Walmart Pharmacy #659,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,37209,Walmart Pharmacy #659,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,37209,Walmart Pharmacy #659,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,37209,Walmart Pharmacy #659,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,37209,Walmart Pharmacy #659,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,37209,Walmart Pharmacy #659,NLP,NLP,NLP,9,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,37209,Walmart Pharmacy #659,NLP,NLP,NLP,9,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,37209,Walmart Pharmacy #659,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
