State Date       Time   Providers Details
AK    2022-03-08 14-40  +2        ['AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Yakutat,99689,Yakutat Community Health Center']
AK    2022-03-16 18-51  -4        ['AK,Anchorage,99508,Weka Covid Treatment Center', 'AK,Fairbanks,99701,Alcan Medical Group', 'AK,Glennallen,99588,Copper River Native Assoc. Pharmacy', 'AK,Petersburg,99833,Petersburg Medical Center Hospital']
AK    2022-03-18 09-58  +1        ['AK,Seward,,North Star Health Clinic Pharmacy']
AK    2022-03-18 09-58  -2        ['AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  +3        ['AK,Anchorage,99508,Alaska Psychiatric Institute', 'AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  -1        ['AK,Seward,,North Star Health Clinic Pharmacy']
AS    2022-02-22 09-09  -1        ['AS,Pago Pago,96799,Lbj Tropical Medical Center']
AS    2022-03-16 18-51  -2        ['AS,Pago Pago,96799,American Samoa Dept Of Health', 'AS,Pago Pago,96799,Lbj Tropical Medical Center']
AZ    2022-02-22 09-09  -16       ['AZ,Apache Junction,85120,Premier Care Medical Services', 'AZ,Cottonwood,86326,Verde Valley Medical Center', 'AZ,Flagstaff,86001,Flagstaff Medical Center', 'AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Fountain Hills,85268,Fountain Hills Medical Center', 'AZ,Laveen,85339,Arizona General Hospital - Laveen', 'AZ,Maricopa,85139,Exceptional Hospital - Maricopa', 'AZ,Mesa,85212,Arizona General Hospital - Mesa', 'AZ,Phoenix,85013,St Josephs Hospital And Medical Ctr', 'AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West', 'AZ,Sacaton,85147,Hu Hu Kam Memorial Hospital', 'AZ,Scottsdale,85259,Mayo Clinic Phoenix', 'AZ,Tempe,85281,Soleo Health', 'AZ,Tucson,85714,Banner Abrams Family Medicine', 'AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-03-08 14-40  +2        ['AZ,Benson,85602,Benson Hospital', 'AZ,Phoenix,85016,Amber Specialty Pharmacy Phoenix']
AZ    2022-03-16 18-51  +3        ['AZ,Mesa,85205,Get Well Now', 'AZ,Mesa,85210,Arizona Clinical Trials', 'AZ,Tucson,85712,Arizona Liver Health Tucson']
AZ    2022-03-16 18-51  -11       ['AZ,Apache Junction,85120,Premier Care Medical Services', 'AZ,Benson,85602,Benson Hospital', 'AZ,Cottonwood,86326,Verde Valley Medical Center', 'AZ,Flagstaff,86001,Flagstaff Medical Center', 'AZ,Fountain Hills,85268,Fountain Hills Medical Center', 'AZ,Laveen,85339,Arizona General Hospital - Laveen', 'AZ,Mesa,85212,Arizona General Hospital - Mesa', 'AZ,Payson,85541,Ponderosa Family Care Llc', 'AZ,Phoenix,85008,Valleywise Health Medical Center', 'AZ,Phoenix,85013,St Josephs Hospital And Medical Ctr', 'AZ,Tucson,85714,Banner Abrams Family Medicine']
AZ    2022-03-18 09-58  -1        ['AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-03-18 11-17  +1        ['AZ,Gilbert,85297,Stat Care Medical Services']
AZ    2022-03-18 11-17  -4        ['AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West', 'AZ,Tucson,85712,Arizona Liver Health Tucson']
AZ    2022-03-19 08-15  +2        ['AZ,Prescott Valley,86314,Yavapai Regional Medical Ctr East', 'AZ,Prescott,86301,Yavapai Regional Med Center West']
AR    2022-02-22 09-09  -36       ['AR,Arkadelphia,71923,Baptist Medical Center Arkadelphia', 'AR,Benton,72015,Saline Memorial - Eh', 'AR,Berryville,72616,Mercy Hospital Berryville', 'AR,Blytheville,72315,Great River Medical Center Main/Er', 'AR,Cabot,72023,Cabot Emergency Hospital', 'AR,Clarksville,72830,Johnson Regional Medical Center', 'AR,Clinton,72031,Ozark Health Medical Center', 'AR,Dardanelle,72834,Dardanelle Medreg Cv19-1', 'AR,De Queen,71832,De Queen Health And Wellness', 'AR,De Witt,72042,Dewitt Hosp And Nur Clinic', 'AR,El Dorado,71730,Medical Center Of South Arkansas', 'AR,Fayetteville,72703,Delta Medical Infusion Llc', 'AR,Glenwood,71943,Glenwood Family Medicine', 'AR,Harrison,72601,North Arkansas Medical Center', 'AR,Heber Springs,72543,Baptist Hlth Med Cen Eh - Heber Spr', 'AR,Hope,71801,Pafford Health Systems Inc', 'AR,Hot Springs National Park,71913,Hamilton West Family Medicine', 'AR,Hot Springs,71901,Fountain Lake Family Medicine', 'AR,Hot Springs,71901,Lakeside Family Medicine', 'AR,Jonesboro,72401,Nea Baptist Memorial Hosp Pharmacy', 'AR,Lake Village,71653,Chicot Memorial Hospital', 'AR,Little Rock,72205,Baptist Health Medical Center - Lr', 'AR,Little Rock,72205,Chi St. Vincent Infirmary', 'AR,Little Rock,72205,Uams', 'AR,Little Rock,72211,Arkansas Heart Hospital', 'AR,Malvern,72104,Baptist Med Cen-Hot Springs County', 'AR,Mena,71953,First Care Family Medicine Mena', 'AR,Monticello,71655,Drew Co Memorial Hospital', 'AR,Mountain View,72560,Stone County Medical Center', 'AR,Newport,72112,Unity Health Newport', 'AR,Piggott,72454,Piggott Community Hospital', 'AR,Russellville,72801,Saint Marys Medical Center', 'AR,Searcy,72143,Advanced Care Hospital', 'AR,Springdale,72762,Premier Pharmacy - Springdale', 'AR,Texarkana,71854,Total Access Health And Wellness', 'AR,Wynne,72396,Crossridge Community Hospital']
AR    2022-03-03 10-04  +3        ['AR,Mountain Home,72653,Baxter Regional Medical Center', 'AR,Newport,72112,Unity Health Newport', 'AR,Paragould,72450,Hyde Pharmacy']
AR    2022-03-08 14-40  +5        ['AR,Gravette,72736,Ozarks Community Hospital Gravette', 'AR,Hot Springs,71901,National Park Med Ctr', 'AR,Lake Village,71653,Chicot Memorial Hospital - Eh', 'AR,Magnolia,71753,Magnolia Regional Medical Center', 'AR,Pocahontas,72455,Five Rivers Med Center']
AR    2022-03-16 18-51  +4        ['AR,Conway,72034,Conway Regional Medical Center', 'AR,De Queen,71832,De Queen Health And Wellness Pharma', 'AR,North Little Rock,72116,Pharmerica', 'AR,Paragould,72450,Hyde Pharmacy Inc']
AR    2022-03-16 18-51  -19       ['AR,Arkadelphia,71923,Baptist Medical Center Arkadelphia', 'AR,Benton,72015,Saline Memorial - Eh', 'AR,Blytheville,72315,Great River Medical Center Main/Er', 'AR,Clarksville,72830,Johnson Regional Medical Center', 'AR,Dardanelle,72834,Dardanelle Medreg Cv19-1', 'AR,De Queen,71832,De Queen Health And Wellness', 'AR,Gravette,72736,Ozarks Community Hospital Gravette', 'AR,Heber Springs,72543,Baptist Hlth Med Cen Eh - Heber Spr', 'AR,Hope,71801,Pafford Health Systems Inc', 'AR,Hot Springs,71901,National Park Med Ctr', 'AR,Lake Village,71653,Chicot Memorial Hospital', 'AR,Little Rock,72205,Chi St. Vincent Infirmary', 'AR,Little Rock,72211,Arkansas Heart Hospital', 'AR,Malvern,72104,Baptist Med Cen-Hot Springs County', 'AR,Monticello,71655,Drew Co Memorial Hospital', 'AR,Paragould,72450,Arkansas Methodist Medical Center', 'AR,Paragould,72450,Hyde Pharmacy', 'AR,Piggott,72454,Piggott Community Hospital', 'AR,Rogers,72758,Mercy Hospital Rogers']
AR    2022-03-18 09-58  +2        ['AR,Springdale,72762,Collier Drug Store Willow Creek', 'AR,Walnut Ridge,72476,Lawrence Memorial Hosp']
AR    2022-03-18 09-58  -3        ['AR,Conway,72034,Conway Regional Medical Center', 'AR,Mountain View,72560,Dr. Andys Family Practice', 'AR,Newport,72112,Unity Health Newport']
AR    2022-03-18 11-17  -1        ['AR,Magnolia,71753,Magnolia Regional Medical Center']
CA    2022-03-03 10-04  +4        ['CA,Bakersfield,93301,William N Bichai Md Inc', 'CA,El Centro,92243,El Centro Regional Medical Center', 'CA,San Francisco,94115,Kp Sf Medical Center', 'CA,Santa Cruz,95065,Dominican Hospital']
CA    2022-03-08 14-40  +16       ['CA,Bakersfield,93301,Adventist Health Bakersfield', 'CA,Banning,92220,First Americans Medical Group', 'CA,Brawley,92227,Pioneers Memorial Healthcare Distri', 'CA,Coronado,92118,Sharp Coronado Hospital', 'CA,Delano,93215,Delano Regional Med Ctr', 'CA,Hanford,93230,Baum 5 Star Healthcare', 'CA,Hanford,93230,Total Care Group', 'CA,La Jolla,92037,Uc San Diego Health La Jolla - Jaco', 'CA,Los Gatos,95032,El Camino Hosp Los Gatos Inp Phcy', 'CA,Mountain View,94040,El Camino Health', 'CA,Redwood City,94062,Sequoia Hospital', 'CA,Rocklin,95765,Best Life Medical Center', 'CA,Sacramento,95819,Mercy General Hospital', 'CA,San Diego,92113,Logan Heights Pharmacy', 'CA,San Francisco,94110,Zuckerberg San Francisco General Ho', 'CA,Tehachapi,93561,Adventist Hlth Tehachapi Valley']
CA    2022-03-16 18-51  +13       ['CA,Bakersfield,93301,Physicians Plaza Pharmacy', 'CA,Fall River Mills,96028,Mayers Memorial Hospital District', 'CA,Fullerton,92835,Providence St Jude Med Center Chs', 'CA,Lancaster,93535,High Desert Regional Health Center', 'CA,Newport Beach,92663,Hoag Mem Hosp Pnb', 'CA,Oakland,94611,Kaiser Foundation Hospital - Oaklan', 'CA,Orange,92868,Providence St. Joseph Hospital Oran', 'CA,Palm Springs,92262,Desert Oasis Healthcare Medical Gro', 'CA,Pleasanton,94588,Stanford Health Care Valleycare', 'CA,Roseville,95661,Kaiser Nc - Roseville Onc/Inf Pharm', 'CA,San Diego,92103,Uc San Diego Health - Hillcrest', 'CA,Santa Barbara,93105,Santa Barbara Cottage Hospital', 'CA,Truckee,96160,Tahoe Forest Health Clinic']
CA    2022-03-16 18-51  -74       ['CA,Alturas,96101,Modoc Medical Center', 'CA,Arcata,95521,Mad River Community Hospital', 'CA,Bakersfield,93301,Adventist Health Bakersfield', 'CA,Bakersfield,93301,William N Bichai Md Inc', 'CA,Bakersfield,93308,Rx Pharmacy', 'CA,Banning,92220,First Americans Medical Group', 'CA,Brawley,92227,Pioneers Memorial Healthcare Distri', 'CA,Calexico,92231,Easyaccess Medical Group', 'CA,Chico,95926,Enloe Medical Center', 'CA,Chino,91710,Chino Valley Medical Center', 'CA,Colusa,95932,Colusa Medical Center', 'CA,Coronado,92118,Sharp Coronado Hospital', 'CA,Crescent City,95531,Sutter Coast Hospital', 'CA,Delano,93215,Delano Regional Med Ctr', 'CA,Escondido,92029,Palomar Medical Center Escondido', 'CA,Eureka,95501,St. Joseph Hospital', 'CA,Fort Irwin,92310,Weed Army Community Hospital', 'CA,Fremont,94538,Washington Hospital Healthcare Syst', 'CA,Fullerton,92835,Ascada Health', 'CA,Grass Valley,95945,Grass Valley Clinic', 'CA,Grass Valley,95945,Sierra Nevada Memorial Hospital', 'CA,Greenbrae,94904,Marin General Hospital - Marinhealt', 'CA,Hanford,93230,Baum 5 Star Healthcare', 'CA,Hanford,93230,Baz Allergy Hanford', 'CA,Hanford,93230,Total Care Group', 'CA,Los Angeles,90095,Ronald Reagan Ucla Medical Center', 'CA,Manteca,95337,Kaiser Found Hospital Manteca', 'CA,Martinez,94553,Contra Costa Reg Med Center', 'CA,Modesto,95350,Elite Urgent Care', 'CA,Montclair,91763,Montclair Hospital Medical Center', 'CA,Monterey,93940,Community Hospital Of The Monterey', 'CA,Napa,94558,Eric J. Grigsby, Md, Mba', 'CA,National City,91950,Paradise Valley Hospital', 'CA,Novato,94945,Novato Community Hospital', 'CA,Oakland,94605,Total Infusion, Inc.', 'CA,Oroville,95966,Oroville Hospital', 'CA,Pleasanton,94588,Valleycare Medical Foundation', 'CA,Redding,96001,Shasta Regional Medical Center', 'CA,Redwood City,94062,Sequoia Hospital', 'CA,Redwood City,94063,Kaiser Foundation Hosp Phcy 37B/378', 'CA,Rocklin,95677,Pacific West Phcy, Inc', 'CA,Rocklin,95765,Best Life Medical Center', 'CA,Roseville,95661,Kaiser Nc - Discharge Pharmacy', 'CA,Roseville,95661,Sutter Roseville Medical Center', 'CA,Sacramento,95816,Sutter Med Center Sac', 'CA,Sacramento,95819,Mercy General Hospital', 'CA,Sacramento,95823,Methodist Hospital Of Sacramento', 'CA,Sacramento,95825,Kaiser Nc - Inpatient Pharmacy', 'CA,Salinas,93901,Salinas Valley Memorial Healthcare', 'CA,Salinas,93906,Natividad Medical Center', 'CA,San Diego,92113,Logan Heights Pharmacy', 'CA,San Diego,92121,Curestat Rx Home Inf Spec Pharm', 'CA,San Diego,92123,Donald N Sharp Memorial Pharmacy', 'CA,San Diego,92134,Nmc San Diego Ca', 'CA,San Jose,95124,Good Samaritan Hospital-Mission Oak', 'CA,San Jose,95128,Oconnor Hospital', 'CA,San Leandro,94577,Kaiser Fdn Hospital - San Leandro', 'CA,San Mateo,94403,San Mateo Medical Center', 'CA,Santa Barbara,93110,Santa Barbara County Public Health', 'CA,Santa Clara,95051,Kaiser Perm Santa Clara Homestead', 'CA,Simi Valley,93065,Simi Vlly Hsp And Hlth Cr Svcs Phy', 'CA,South Lake Tahoe,96150,Barton Memorial Hospital', 'CA,South San Francisco,94080,Kaiser South Sf Inpatient Phcy', 'CA,St Helena,94574,Adventist Health St Helena Hospital', 'CA,Stanford,94305,Stanford Health Care - 300P', 'CA,Tehachapi,93561,Adventist Hlth Tehachapi Valley', 'CA,Truckee,96161,Tahoe Forest Health Clinic', 'CA,Vacaville,95688,Consonus Pharmacy', 'CA,Vacaville,95688,Kaiser Perm Vacaville Medical Ctr', 'CA,Vallejo,94589,Sutter Solano Medical Center', 'CA,Walnut Creek,94598,Infectious Disease Doctors Medical', 'CA,Walnut Creek,94598,John Muir Medical Center Walnut Cre', 'CA,Watsonville,95076,Watsonville Community Hospital', 'CA,Weaverville,96093,Trinity Hospital']
CA    2022-03-18 09-58  +7        ['CA,Bakersfield,93301,Adventist Health Bakersfield', 'CA,Delano,93215,Delano Regional Med Ctr', 'CA,Los Angeles,90095,Ronald Reagan Ucla Medical Center', 'CA,Oakland,94605,Total Infusion, Inc.', 'CA,Quincy,95971,Plumas County Public Health Agency', 'CA,San Mateo,94403,San Mateo Medical Center', 'CA,Tehachapi,93561,Adventist Hlth Tehachapi Valley']
CA    2022-03-18 09-58  -1        ['CA,Sacramento,95823,Kaiser Foundation Hosp Inp Phy 60A']
CA    2022-03-18 11-17  +3        ['CA,Los Angeles,90059,Martin Luther King Jr. Community Ho', 'CA,Murrieta,92562,Grace Family Health Inc.', 'CA,Redwood City,94062,Sequoia Hospital']
CA    2022-03-18 11-17  -3        ['CA,Los Angeles,90027,Kaiser Sc - Los Angeles Medical Cen', 'CA,Los Angeles,90034,Kaiser Permanente-West Los Angeles', 'CA,Truckee,96160,Tahoe Forest Health Clinic']
CA    2022-03-19 08-15  +1        ['CA,Los Angeles,90034,Kaiser Permanente-West Los Angeles']
CA    2022-03-19 08-15  -1        ['CA,Los Angeles,90095,Ronald Reagan Ucla Medical Center']
CA    2022-03-19 11-58  +2        ['CA,Atascadero,93422,Depart State Hospitals - Atascadero', 'CA,Torrance,90502,Lac Harbor-Ucla Medical Center']
CA    2022-03-19 11-58  -1        ['CA,Vallejo,94589,Kaiser Permanente- Vallejo Med Ctr']
CO    2022-03-16 18-51  +2        ['CO,Denver,80204,Denver Health Medical Center', 'CO,Denver,80210,Centura Hlth Porter Adventist Hosp']
CO    2022-03-16 18-51  -13       ['CO,Aurora,80015,Rely Primary Care', 'CO,Aurora,80045,Veterans Comm Living Cntr At Fitzsi', 'CO,Colorado Springs,80921,Hydration Wellness Bar Llc', 'CO,Denver,80204,Denver Health Med Cntr Phr', 'CO,Fort Collins,80525,Origin Healthcare', 'CO,Grand Junction,81501,Advanced Pharmacy Services, Llc', 'CO,Montrose,81401,Montrose Regional Health', 'CO,Naturita,81422,Basin Clinic', 'CO,Pueblo,81003,Co Dept Of Corrections Pharmacy', 'CO,Thornton,80229,City Of Thornton Fire Department', 'CO,Westminster,80234,Fitmd-Westminster', 'CO,Wheat Ridge,80033,Bloom Healthcare', 'CO,Wheat Ridge,80033,The Iv Den']
CO    2022-03-18 09-58  +4        ['CO,Fort Collins,80526,Poudre Infusion Therapy Llc', 'CO,Pueblo,81003,Co Dept Of Corrections Pharmacy', 'CO,Rangely,81648,Rangely District Hosp- Rangely Rx', 'CO,Wheat Ridge,80033,Bloom Healthcare']
CO    2022-03-18 09-58  -2        ['CO,Colorado Springs,80907,Future Innovative Treatments', 'CO,Denver,80204,Denver Health Medical Center']
CO    2022-03-18 11-17  +2        ['CO,Colorado Springs,80907,Future Innovative Treatments', 'CO,Denver,80224,Mobile Care']
CO    2022-03-19 08-15  +1        ['CO,Wheat Ridge,80033,Rtw Covid And Viral Testing Denver']
CO    2022-03-19 11-58  +1        ['CO,Englewood,80113,Mk Healthcare Pllc']
CT    2022-02-22 09-09  -6        ['CT,Derby,06418,Griffin Hospital', 'CT,Hartford,06106,Ct Childrens Med Cntr Main Hosp', 'CT,Hartford,06115,Hartford Hospital/Main Hospital', 'CT,Middletown,06457,Middlesex Hospital', 'CT,Putnam,06260,Day Kimball Hospital', 'CT,Stamford,06902,Stamford Hospital']
CT    2022-03-08 14-40  +1        ['CT,Farmington,06032,Uconn Health Center John Dempsey']
