State Date       Time   Providers Details
AL    2022-03-23 08-41  -1        ['AL,Fairhope,36532,Thomas Hospital']
AL    2022-03-24 13-46  +1        ['AL,Centreville,35042,Bibb Medical Center Pharmacy']
AL    2022-03-24 13-46  -3        ['AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Northport,35476,Northport Medical Center', 'AL,Warrior,35180,Primary And Urgent Care South']
AL    2022-03-25 08-10  +1        ['AL,Gadsden,35903,Doctors Care']
AL    2022-03-25 08-10  -5        ['AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Evergreen,36401,Evergreen Medical Center', 'AL,Florence,35630,Medplus Inc', 'AL,Florence,35630,North Alabama Medical Center', 'AL,Geraldine,35974,Geraldine Clinic']
AL    2022-03-26 06-57  +1        ['AL,Mobile,36608,Compass Providence Urgent Care']
AL    2022-03-26 06-57  -1        ['AL,Jasper,35503,Smith Lake Family Care, Llc']
AL    2022-03-28 06-21  +10       ['AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Evergreen,36401,Evergreen Medical Center', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Florence,35630,Medplus Inc', 'AL,Florence,35630,North Alabama Medical Center', 'AL,Geraldine,35974,Geraldine Clinic', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Jasper,35503,Smith Lake Family Care, Llc', 'AL,Northport,35476,Northport Medical Center', 'AL,Warrior,35180,Primary And Urgent Care South']
AL    2022-03-29 08-50  +11       ['AL,Anniston,36207,Northeast Alabama Regional Medical', 'AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Birmingham,35205,Ascension St Vincents Birmingham', 'AL,Birmingham,35243,Grandview Medical Center', 'AL,Butler,36904,Choctaw General Hospital', 'AL,Foley,36535,Immediate Care Foley', 'AL,Mobile,36609,Immediate Care Of The South', 'AL,Monroeville,36460,Monroe County Hospital', 'AL,Sylacauga,35150,Coosa Valley Medical Center', 'AL,Trussville,35173,Wellness Medical Center', 'AL,Wedowee,36278,Tanner Medical Center East Alabama']
AL    2022-03-31 08-53  +1        ['AL,Mobile,36608,Compass Urgent Care']
AL    2022-03-31 08-53  -3        ['AL,Athens,35611,Athens Limestone Hospital', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Scottsboro,35768,Highlands Medical Center']
AL    2022-04-01 06-54  +1        ['AL,Atmore,36502,Buford L Rolin Health Center']
AL    2022-04-02 06-05  +1        ['AL,Dothan,36301,Circle Pharmacy']
AL    2022-04-05 05-48  +25       ['AL,Ashland,36251,Ashland Pharmacy', 'AL,Bay Minette,36507,North Baldwin Infirmary', 'AL,Birmingham,35226,Ross Bridge Medical Practice', 'AL,Birmingham,35235,Ascension St Vincents East', 'AL,Centre,35960,Cherokee Medical Center', 'AL,Chatom,36518,Washington County Hospital', 'AL,Cullman,35058,Cullman Regional Med Center', 'AL,Dothan,36305,Flowers Hospital', 'AL,Grove Hill,36451,Grove Hill Memorial Hospital', 'AL,Huntsville,35801,Trinity Medical Center', 'AL,Killen,35645,Killen Family Clinic', 'AL,Mobile,36608,Springhill Memorial Hospital', 'AL,Montgomery,36106,Jackson Hospital', 'AL,Ozark,36360,Dale Medical Center', 'AL,Pell City,35125,Hmr Of Al Rlh Pharmacy State Vetera', 'AL,Prattville,36067,Wybenga Family Healthcare', 'AL,Rainsville,35986,Dekalb Urgent Care', 'AL,Rainsville,35986,Faith Medical Clinic', 'AL,Red Bay,35582,Red Bay Hospital', 'AL,Tuscaloosa,35401,Dch Regional Medical Center', 'AL,Tuscaloosa,35406,First Care Fusions', 'AL,Valley Head,35989,North Dekalb Primary Care', 'AL,Vinemont,35179,Patricia Diana Wilhite', 'AL,Wetumpka,36092,Elmore Community Hospital', 'AL,Winfield,35594,Med 360 Health']
AL    2022-04-05 05-48  -1        ['AL,Evergreen,36401,Evergreen Medical Center']
AL    2022-04-08 05-48  +2        ['AL,Athens,35611,Athens-Limestone Community Pharmacy', 'AL,Eufaula,36027,Medical Center Barbour']
AL    2022-04-13 09-20  +1        ['AL,Evergreen,36401,Evergreen Medical Center']
AL    2022-04-14 09-18  +1        ['AL,Scottsboro,35768,Healthpointe Primary Care']
AL    2022-04-15 06-03  +1        ['AL,Montgomery,36117,Pharmacy Care Associates']
AL    2022-04-17 05-32  -2        ['AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Centreville,35042,Bibb Medical Center Pharmacy']
AL    2022-04-19 05-39  +1        ['AL,Centreville,35042,Bibb Medical Center Pharmacy']
AL    2022-04-19 05-39  -1        ['AL,Birmingham,35235,Ascension St Vincents East']
AL    2022-04-22 05-26  -1        ['AL,Athens,35611,Athens-Limestone Community Pharmacy']
AL    2022-04-24 05-22  -3        ['AL,Geraldine,35974,Geraldine Clinic', 'AL,Prattville,36067,Wybenga Family Healthcare', 'AL,Wedowee,36278,Tanner Medical Center East Alabama']
AL    2022-04-25 05-22  -2        ['AL,Dothan,36301,Circle Pharmacy', 'AL,Wetumpka,36092,Elmore Community Hospital']
AL    2022-04-26 05-20  -3        ['AL,Ashland,36251,Ashland Pharmacy', 'AL,Birmingham,35243,Grandview Medical Center', 'AL,Grove Hill,36451,Grove Hill Memorial Hospital']
AL    2022-04-28 09-22  -1        ['AL,Northport,35476,Northport Medical Center']
AL    2022-04-29 05-13  +7        ['AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35242,Medhelp 280', 'AL,Decatur,35601,Decatur Morgan Hosp Parkway Campus', 'AL,Decatur,35601,Decatur Morgan Hospital Decatur C', 'AL,Fayette,35555,Fayette Medical Center', 'AL,Troy,36081,Troy Regional Medical Center', 'AL,Wedowee,36278,Tanner Medical Center East Alabama']
AL    2022-04-30 05-15  +4        ['AL,Clanton,35045,Ascension St Vincents Chilton', 'AL,Northport,35476,Northport Medical Center', 'AL,Pell City,35125,Ascension St Vincents St Clair', 'AL,Selma,36701,Vaughan Regional Medical Center']
AL    2022-05-01 05-13  -3        ['AL,Birmingham,35205,Ascension St Vincents Birmingham', 'AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Mobile,36608,Springhill Memorial Hospital']
AL    2022-05-03 06-05  +3        ['AL,Atmore,36502,Atmore Community Hospital', 'AL,Hamilton,35570,North Mississippi Medical Centerha', 'AL,Sheffield,35660,Helen Keller Hospital']
AL    2022-05-03 06-05  -1        ['AL,Guntersville,35976,Lakeside North Family Medicine']
AL    2022-05-04 05-12  +2        ['AL,Brewton,36426,D W Mcmillan Mem Hosp', 'AL,Mobile,36607,Mobile Infirmary Medical Center']
AL    2022-05-05 09-49  +2        ['AL,Alabaster,35007,Integracare Pharmacy', 'AL,Camden,36726,J Paul Jones Hospital']
AL    2022-05-05 09-49  -1        ['AL,Madison,35758,Flexcare Infusion Centers']
AL    2022-05-06 06-12  +5        ['AL,Birmingham,35235,Medhelp Trussville', 'AL,Fort Payne,35968,Dekalb Regional Medical Center', 'AL,Gadsden,35903,Gadsden Lung Center Pc', 'AL,Geraldine,35974,Geraldine Clinic', 'AL,Tallassee,36078,Community Hosp Inc Tallassee']
AL    2022-05-07 05-45  +3        ['AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Huntsville,35801,Huntsville Hospital Fever And Flu', 'AL,Valley,36854,Eamc Lanier']
AL    2022-05-07 05-45  -1        ['AL,Chelsea,35043,Chelsea Urgent Care']
AL    2022-05-08 10-02  -7        ['AL,Bay Minette,36507,North Baldwin Infirmary', 'AL,Chatom,36518,Washington County Hospital', 'AL,Killen,35645,Killen Family Clinic', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Pell City,35125,Hmr Of Al Rlh Pharmacy State Vetera', 'AL,Valley Head,35989,North Dekalb Primary Care', 'AL,Winfield,35594,Med 360 Health']
AL    2022-05-10 06-06  +1        ['AL,Demopolis,36732,Whitfield Regional Hospital']
AL    2022-05-11 06-51  -1        ['AL,Huntsville,35802,Synergy Wellness']
AL    2022-05-12 07-16  +2        ['AL,Enterprise,36330,Medical Center Enterprise', 'AL,Huntsville,35802,Synergy Wellness']
AL    2022-05-13 06-07  +3        ['AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Florence,35630,Shoals Primary Care', 'AL,Madison,35758,Approxie Health']
AL    2022-05-13 06-07  -1        ['AL,Wedowee,36278,Tanner Medical Center East Alabama']
AL    2022-05-14 08-49  -1        ['AL,Rainsville,35986,Dekalb Urgent Care']
AL    2022-05-17 05-27  -2        ['AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Selma,36701,Vaughan Regional Medical Center']
AL    2022-05-18 05-40  -2        ['AL,Fort Payne,35968,Dekalb Regional Medical Center', 'AL,Vinemont,35179,Patricia Diana Wilhite']
AL    2022-05-19 05-25  +2        ['AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Chelsea,35043,Chelsea Urgent Care']
AL    2022-05-19 05-25  -2        ['AL,Dothan,36305,Flowers Hospital', 'AL,Evergreen,36401,Evergreen Medical Center']
AL    2022-05-21 05-54  +2        ['AL,Bessemer,35022,Medical West Hospital', 'AL,Fort Payne,35968,Dekalb Regional Medical Center']
AL    2022-05-21 05-54  -7        ['AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35235,Medhelp Trussville', 'AL,Birmingham,35242,Medhelp 280', 'AL,Jasper,35503,Smith Lake Family Care, Llc', 'AL,Montgomery,36106,Jackson Hospital']
AL    2022-05-24 05-46  +14       ['AL,Alexander City,35010,Mainstreet Family Care Alexander', 'AL,Andalusia,36420,Mainstreet Family Care Andalusia', 'AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Arab,35016,Mainstreet Family Care Arab', 'AL,Brewton,36426,Mainstreet Family Care Brewton', 'AL,Centre,35960,Mainstreet Family Care Centre', 'AL,Dothan,36305,Flowers Hospital', 'AL,Monroeville,36460,Mainstreet Family Care Monroevill', 'AL,Montgomery,36106,Mainstreet Family Care Montgomery', 'AL,Moody,35004,Mainstreet Family Care Moody', 'AL,Oneonta,35121,Mainstreet Family Care Oneonta', 'AL,Selma,36703,Mainstreet Family Care Selma', 'AL,Sylacauga,35150,Mainstreet Family Care Sylacauga', 'AL,Talladega,35160,Mainstreet Family Care Talladega']
AL    2022-05-24 05-46  -2        ['AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Huntsville,35802,Synergy Wellness']
AL    2022-05-25 05-39  +1        ['AL,Huntsville,35802,Synergy Wellness']
AL    2022-05-25 05-39  -1        ['AL,Florence,35630,Medplus Inc']
AL    2022-05-26 07-59  +2        ['AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35242,Medhelp 280']
AL    2022-05-27 05-48  +5        ['AL,Birmingham,35235,Medhelp Trussville', 'AL,Millbrook,36054,Mainstreet Family Care Millbrook', 'AL,Mobile,36609,Mainstreet Family Care Mobile', 'AL,Pelham,35124,Mainstreet Family Care Pelham', 'AL,Valley,36854,Mainstreet Family Care Valley']
AL    2022-05-27 05-48  -1        ['AL,Birmingham,35209,Medhelp Pc']
AL    2022-05-30 05-32  -4        ['AL,Foley,36535,Immediate Care Foley', 'AL,Huntsville,35801,Trinity Medical Center', 'AL,Scottsboro,35768,Healthpointe Primary Care', 'AL,Tuscaloosa,35401,Dch Regional Medical Center']
AL    2022-06-01 05-37  +3        ['AL,Eufaula,36027,Mainstreet Family Care Eufaula', 'AL,Haleyville,35565,Family Medical Associates', 'AL,Selma,36701,Vaughan Regional Medical Center']
AL    2022-06-01 05-37  -7        ['AL,Birmingham,35235,Medhelp Trussville', 'AL,Birmingham,35242,Medhelp 280', 'AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Mobile,36608,Compass Providence Urgent Care', 'AL,Mobile,36608,Compass Urgent Care', 'AL,Moody,35004,Mainstreet Family Care Moody']
AL    2022-06-02 07-54  +1        ['AL,Foley,36535,Immediate Care Foley']
AL    2022-06-02 07-54  -1        ['AL,Dothan,36301,Pulmonary Associates Pa']
AL    2022-06-04 19-11  +6        ['AL,Birmingham,35242,Medhelp 280', 'AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Decatur,35603,Whitfield Family Practice Llc', 'AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Oneonta,35121,Ascension St Vincents Blount', 'AL,Wedowee,36278,Tanner Medical Center East Alabama']
AL    2022-06-04 19-11  -6        ['AL,Birmingham,35226,Ross Bridge Medical Practice', 'AL,Cullman,35058,Cullman Regional Med Center', 'AL,Cullman,35058,Express Meds (Tpb Llc Dba Express M', 'AL,Mobile,36609,Mainstreet Family Care Mobile', 'AL,Pell City,35125,Ascension St Vincents St Clair', 'AL,Tuscaloosa,35406,First Care Fusions']
AL    2022-06-07 05-36  +4        ['AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Killen,35645,Killen Family Clinic', 'AL,Mobile,36609,Mainstreet Family Care Mobile', 'AL,Prattville,36067,Wybenga Family Healthcare']
AL    2022-06-07 05-36  -2        ['AL,Birmingham,35242,Medhelp 280', 'AL,Geraldine,35974,Geraldine Clinic']
AL    2022-06-08 05-42  +4        ['AL,Alexander City,35010,Basel Refai Md Pc', 'AL,Birmingham,35235,Ascension St Vincents East', 'AL,Pell City,35125,Ascension St Vincents St Clair', 'AL,Winfield,35594,Med 360 Health']
AL    2022-06-08 05-42  -2        ['AL,Hoover,35244,Amber Specialty Pharmacy Birmingham', 'AL,Madison,35758,Approxie Health']
AL    2022-06-09 04-15  +9        ['AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35242,Medhelp 280', 'AL,Dothan,36301,Pulmonary Associates Pa', 'AL,Evergreen,36401,Evergreen Medical Center', 'AL,Florence,35630,Medplus Inc', 'AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Mobile,36608,Compass Providence Urgent Care', 'AL,Mobile,36608,Compass Urgent Care', 'AL,Moody,35004,Mainstreet Family Care Moody']
AL    2022-06-09 04-15  -4        ['AL,Andalusia,36420,Mainstreet Family Care Andalusia', 'AL,Killen,35645,Killen Family Clinic', 'AL,Oneonta,35121,Mainstreet Family Care Oneonta', 'AL,Pelham,35124,Mainstreet Family Care Pelham']
AL    2022-06-10 04-15  +2        ['AL,Killen,35645,Killen Family Clinic', 'AL,Oneonta,35121,Primary Care Servicesblount Llc']
AL    2022-06-10 04-15  -3        ['AL,Foley,36535,Immediate Care Foley', 'AL,Mobile,36608,Compass Urgent Care', 'AL,Mobile,36609,Immediate Care Of The South']
AL    2022-06-11 04-15  -2        ['AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35242,Medhelp 280']
AL    2022-06-14 04-15  +1        ['AL,Birmingham,35205,Ascension St Vincents Birmingham']
AL    2022-06-14 04-15  -3        ['AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Madison,35758,Quickcare', 'AL,Sheffield,35660,Helen Keller Hospital']
AL    2022-06-16 04-15  +2        ['AL,Birmingham,35226,Ross Bridge Medical Practice', 'AL,Chelsea,35043,Chelsea Urgent Care']
AL    2022-06-16 04-15  -5        ['AL,Brewton,36426,Mainstreet Family Care Brewton', 'AL,Dothan,36301,Pulmonary Associates Pa', 'AL,Dothan,36305,Flowers Hospital', 'AL,Florence,35630,Medplus Inc', 'AL,Millbrook,36054,Mainstreet Family Care Millbrook']
AL    2022-06-17 04-15  +6        ['AL,Bay Minette,36507,North Baldwin Infirmary', 'AL,Birmingham,35242,Medhelp 280', 'AL,Dothan,36305,Flowers Hospital', 'AL,Foley,36535,Immediate Care Foley', 'AL,Madison,35758,Quickcare', 'AL,Mobile,36609,Immediate Care Of The South']
AL    2022-06-17 04-15  -3        ['AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Florence,35633,Hamilton Family Urgent Care', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-06-18 04-15  +3        ['AL,Chatom,36518,Washington County Hospital', 'AL,Dadeville,36853,Lake Martin Community Hospital', 'AL,Mobile,36608,Compass Urgent Care']
AL    2022-06-18 04-15  -1        ['AL,Rainsville,35986,Faith Medical Clinic']
AL    2022-06-19 04-15  -1        ['AL,Mobile,36608,Compass Providence Urgent Care']
AL    2022-06-21 04-15  +1        ['AL,Mobile,36607,Mainstreet Family Care Mobile (Midt']
AL    2022-06-21 04-15  -4        ['AL,Atmore,36502,Atmore Community Hospital', 'AL,Birmingham,35226,Ross Bridge Medical Practice', 'AL,Birmingham,35242,Medhelp 280', 'AL,Chelsea,35043,Chelsea Urgent Care']
AL    2022-06-22 04-15  +3        ['AL,Hoover,35244,Amber Specialty Pharmacy Birmingham', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-06-22 04-15  -4        ['AL,Alexander City,35010,Basel Refai Md Pc', 'AL,Dothan,36305,Flowers Hospital', 'AL,Red Bay,35582,Red Bay Hospital', 'AL,Winfield,35594,Med 360 Health']
AL    2022-06-23 04-15  +1        ['AL,Birmingham,35243,Grandview Medical Center']
AL    2022-06-23 04-15  -3        ['AL,Birmingham,35235,Ascension St Vincents East', 'AL,Mobile,36608,Compass Urgent Care', 'AL,Warrior,35180,Primary And Urgent Care South']
