provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
URGENT CARE AT LAKE LUCILLE,185 East Parks Highway,,Wasilla,Matanuska Susitna,AK,99654,00002-7589-01,Bebtelovimab,28,POINT (-149.44754 61.58138),1275587768,2022-07-05T00:00:00.000,ACTIVE,
SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,C/O PHARMACY,Barrow,North Slope,AK,99723,00002-7589-01,Bebtelovimab,38,POINT (-156.73 71.29758),1801899257,2022-04-11T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
DAHL MEMORIAL CLINIC,350 14TH ST,,Skagway,Skagway Hoonah Angoon,AK,99840,00002-7589-01,Bebtelovimab,20,POINT (-135.306419 59.460607),1063574200,2022-07-02T00:00:00.000,ACTIVE,
CORDOVA COMMUNITY MEDICAL CENTER,"P. O. BOX 160, 602 CHASE AVE.",,Cordova,Valdez Cordova,AK,99574,00002-7589-01,Bebtelovimab,9,POINT (-145.751588 60.541585),1609395128,2022-06-30T00:00:00.000,ACTIVE,
PETERSBURG MEDICAL CENTER HOSPITAL,103 FRAM ST,c/o PHARMACY,Petersburg,Wrangell Petersburg,AK,99833,00002-7589-01,Bebtelovimab,22,POINT (-132.955565 56.812895),1972666345,2022-07-01T00:00:00.000,ACTIVE,
YAKUTAT COMMUNITY HEALTH CENTER,115 Airport,,Yakutat,Yakutat,AK,99689,00002-7589-01,Bebtelovimab,3,POINT (-139.726901 59.545526),1568468189,2022-07-01T00:00:00.000,ACTIVE,
WYBENGA FAMILY HEALTHCARE,564 N. Memorial Drive,,Prattville,Autauga,AL,36067,00002-7589-01,Bebtelovimab,0,POINT (-86.45133 32.4747),1090298755,2022-02-18T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
IMMEDIATE CARE FOLEY,1265 S MCKENZIE ST,,Foley,Baldwin,AL,36535,00002-7589-01,Bebtelovimab,5,POINT (-87.683182 30.421781),,2022-06-30T00:00:00.000,ACTIVE,
MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,Eufaula,Barbour,AL,36027,00002-7589-01,Bebtelovimab,4,POINT (-85.15618 31.88871),1730692641,2022-07-04T00:00:00.000,ACTIVE,
BIBB MEDICAL CENTER PHARMACY,208 Pierson Avenue,Attn: Pharmacy,Centreville,Bibb,AL,35042,00002-7589-01,Bebtelovimab,6,POINT (-87.14732 32.95134),1568558146,2022-06-21T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS BLOUNT,150 Gilbreath Dr,,Oneonta,Blount,AL,35121,00002-7589-01,Bebtelovimab,35,POINT (-86.49415 33.92995),1447353941,2022-06-30T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE ONEONTA,2022 2ND AVE EAST,,Oneonta,Blount,AL,35121,00002-7589-01,Bebtelovimab,2,POINT (-86.4537 33.96928),,2022-07-04T00:00:00.000,ACTIVE,
PRIMARY CARE SERVICESBLOUNT LLC,101 LEMLEY DR STE A,,Oneonta,Blount,AL,35121,00002-7589-01,Bebtelovimab,14,POINT (-86.48795 33.93875),1225108723,2022-06-28T00:00:00.000,ACTIVE,
BULLOCK COUNTY HOSPITAL,102 W CONECUH AVE,,Union Springs,Bullock,AL,36089,00002-7589-01,Bebtelovimab,5,POINT (-85.714085 32.146155),,2022-07-04T00:00:00.000,ACTIVE,
NORTHEAST ALABAMA REGIONAL MEDICAL,400 East 10th Street,,Anniston,Calhoun,AL,36207,00002-7589-01,Bebtelovimab,7,POINT (-85.82359 33.65613),1003996000,2022-07-01T00:00:00.000,ACTIVE,
STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH STREET,,Anniston,Calhoun,AL,36207,00002-7589-01,Bebtelovimab,8,POINT (-85.82468 33.66774),,2022-07-01T00:00:00.000,ACTIVE,
EAMC LANIER,4800 48th Street,,Valley,Chambers,AL,36854,00002-7589-01,Bebtelovimab,5,POINT (-85.17173 32.82553),1780235002,2022-07-01T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE VALLEY,3306 20TH AVENUE,,Valley,Chambers,AL,36854,00002-7589-01,Bebtelovimab,31,POINT (-85.15496 32.782138),,2022-07-04T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE CENTRE,1925 WEST MAIN STREET,SUITE 102,Centre,Cherokee,AL,35960,00002-7589-01,Bebtelovimab,4,POINT (-85.700723 34.157075),,2022-07-04T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS CHILTON,2030 Lay Dam Road,,Clanton,Chilton,AL,35045,00002-7589-01,Bebtelovimab,25,POINT (-86.621624 32.861753),1093171860,2022-06-23T00:00:00.000,ACTIVE,
CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR AVE,,Butler,Choctaw,AL,36904,00002-7589-01,Bebtelovimab,8,POINT (-88.20856 32.09509),,2022-07-01T00:00:00.000,ACTIVE,
CLAY COUNTY HOSPITAL AND NURSING HO,83825 HIGHWAY 9,,Ashland,Clay,AL,36251,00002-7589-01,Bebtelovimab,20,POINT (-85.822569 33.277085),1629133673,2022-07-04T00:00:00.000,ACTIVE,
MEDICAL CENTER ENTERPRISE,400 N Edwards Street,,Enterprise,Coffee,AL,36330,00002-7589-01,Bebtelovimab,6,POINT (-85.85468 31.318),1720039712,2022-06-20T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
HELEN KELLER HOSPITAL,1300 S MONTGOMERY AVE,,Sheffield,Colbert,AL,35660,00002-7589-01,Bebtelovimab,15,POINT (-87.6997 34.74818),,2022-06-23T00:00:00.000,ACTIVE,
EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVE,,Evergreen,Conecuh,AL,36401,00002-7589-01,Bebtelovimab,10,POINT (-86.94133 31.43123),,2022-06-27T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE ANDALUSIA,508 EAST THREE NOTCH STREET,,Andalusia,Covington,AL,36420,00002-7589-01,Bebtelovimab,2,POINT (-86.476528 31.308382),,2022-07-04T00:00:00.000,ACTIVE,
Express Meds (TPB LLC dba Express M,1800 AL Hwy 157,Suite 101,Cullman,Cullman,AL,35058,00002-7589-01,Bebtelovimab,10,POINT (-86.802435 34.198633),1720377419,2022-06-29T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE SELMA,1475 AL HWY 14 EAST,,Selma,Dallas,AL,36703,00002-7589-01,Bebtelovimab,22,POINT (-87.010863 32.431304),,2022-07-04T00:00:00.000,ACTIVE,
VAUGHAN REGIONAL MEDICAL CENTER,1015 MEDICAL CENTER PKWY,,Selma,Dallas,AL,36701,00002-7589-01,Bebtelovimab,5,POINT (-87.05588 32.42951),1871655993,2022-06-27T00:00:00.000,ACTIVE,
DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE SW,,Fort Payne,De Kalb,AL,35968,00002-7589-01,Bebtelovimab,2,POINT (-85.75569 34.43888),1710901178,2022-07-04T00:00:00.000,ACTIVE,
FAITH MEDICAL CLINIC,64 McCurdy Ave N,P0 Box 507,Rainsville,De Kalb,AL,35986,00002-7589-01,Bebtelovimab,19,POINT (-85.84654 34.49507),1487274650,2022-06-30T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE MILLBROOK,1401 HIGHWAY 14,,Millbrook,Elmore,AL,36054,00002-7589-01,Bebtelovimab,10,POINT (-86.40395 32.494),,2022-07-04T00:00:00.000,ACTIVE,
COMMUNITY HOSP INC TALLASSEE,805 FRIENDSHIP RD,,Tallassee,Elmore,AL,36078,00002-7589-01,Bebtelovimab,5,POINT (-85.912342 32.534155),1730120726,2022-07-04T00:00:00.000,ACTIVE,
BUFORD L ROLIN HEALTH CENTER,5811 Jack Springs Rd,,Atmore,Escambia,AL,36502,00002-7589-01,Bebtelovimab,10,POINT (-87.53541 31.08728),,2022-07-01T00:00:00.000,ACTIVE,
D W MCMILLAN MEM HOSP,1301 N BELLEVILLE AVENUE,,Brewton,Escambia,AL,36426,00002-7589-01,Bebtelovimab,27,POINT (-87.07263 31.12746),1609811538,2022-06-30T00:00:00.000,ACTIVE,
DOCTORS CARE,307 E MEIGHAN BLVD,,Gadsden,Etowah,AL,35903,00002-7589-01,Bebtelovimab,7,POINT (-85.988855 34.009225),,2022-06-30T00:00:00.000,ACTIVE,
GADSDEN LUNG CENTER PC,1026 Goodyear Ave,Suite 302,Gadsden,Etowah,AL,35903,00002-7589-01,Bebtelovimab,40,POINT (-85.963546 34.007521),1114016920,2022-06-22T00:00:00.000,ACTIVE,
FAYETTE MEDICAL CENTER,1653 TEMPLE AVE N,,Fayette,Fayette,AL,35555,00002-7589-01,Bebtelovimab,4,POINT (-87.823789 33.707616),1851323836,2022-07-05T00:00:00.000,ACTIVE,
RED BAY HOSPITAL,211 Hospital Road,,Red Bay,Franklin,AL,35582,00002-7589-01,Bebtelovimab,5,POINT (-88.14759 34.45749),,2022-06-23T00:00:00.000,ACTIVE,
FLOWERS HOSPITAL,4370 W MAIN ST,,Dothan,Houston,AL,36305,00002-7589-01,Bebtelovimab,4,POINT (-85.457115 31.2381),1801830500,2022-07-01T00:00:00.000,ACTIVE,
PULMONARY ASSOCIATES PA,1450 Ross Clark Circle Suite 400,,Dothan,Houston,AL,36301,00002-7589-01,Bebtelovimab,12,POINT (-85.370752 31.20017),1659365138,2022-06-29T00:00:00.000,ACTIVE,
MEDICAL WEST HOSPITAL,995 9TH AVENUE SW,INPATIENT PHARMACY  5TH FLOOR,Bessemer,Jefferson,AL,35022,00002-7589-01,Bebtelovimab,4,POINT (-86.99044 33.37252),,2022-06-27T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS BIRMINGHAM,810 SAINT VINCENTS DR,,Birmingham,Jefferson,AL,35205,00002-7589-01,Bebtelovimab,17,POINT (-86.78909 33.50762),,2022-07-01T00:00:00.000,ACTIVE,
GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PKWY,,Birmingham,Jefferson,AL,35243,00002-7589-01,Bebtelovimab,9,POINT (-86.71843 33.43313),1023061405,2022-06-30T00:00:00.000,ACTIVE,
ROSS BRIDGE MEDICAL PRACTICE,3635 MARKET STREET SUITE A,,Birmingham,Jefferson,AL,35226,00002-7589-01,Bebtelovimab,0,POINT (-86.88201 33.39667),,2022-06-20T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
FLEXCARE INFUSION CENTER,2409 ACTON RD,SUITE 153,Vestavia Hills,Jefferson,AL,35243,00002-7589-01,Bebtelovimab,16,POINT (-86.764015 33.410005),,2022-07-01T00:00:00.000,ACTIVE,
PRIMARY AND URGENT CARE SOUTH,143 WHITE OAK TRL,,Warrior,Jefferson,AL,35180,00002-7589-01,Bebtelovimab,9,POINT (-86.82589 33.85115),1184999773,2022-07-04T00:00:00.000,ACTIVE,
MEDPLUS INC,2908 MALL RD,,Florence,Lauderdale,AL,35630,00002-7589-01,Bebtelovimab,6,POINT (-87.6386 34.839685),,2022-06-30T00:00:00.000,ACTIVE,
NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,,Florence,Lauderdale,AL,35630,00002-7589-01,Bebtelovimab,11,POINT (-87.65074 34.805125),1477874337,2022-07-01T00:00:00.000,ACTIVE,
SHOALS PRIMARY CARE,2122 Helton Drive,,Florence,Lauderdale,AL,35630,00002-7589-01,Bebtelovimab,8,POINT (-87.66676 34.8316),,2022-06-27T00:00:00.000,ACTIVE,
EAST ALABAMA MEDICAL CENTER,2000 Pepperell Parkway,,Opelika,Lee,AL,36801,00002-7589-01,Bebtelovimab,6,POINT (-85.40341 32.64037),1154386431,2022-07-01T00:00:00.000,ACTIVE,
HUNTSVILLE HOSPITAL FEVER AND FLU,101 SIVLEY RD SW,,Huntsville,Madison,AL,35801,00002-7589-01,Bebtelovimab,36,POINT (-86.5818 34.72105),1447221056,2022-07-01T00:00:00.000,ACTIVE,
Omnicare of Huntsville #48201,6767 Old Madison Pike,Progress Center Suite 220,Huntsville,Madison,AL,35806,00002-7589-01,Bebtelovimab,3,POINT (-86.67598 34.71311),1811923444,2022-07-01T00:00:00.000,ACTIVE,
SYNERGY WELLNESS,7105 BAILEY CREEK CIR,Suite B,Huntsville,Madison,AL,35802,00002-7589-01,Bebtelovimab,10,POINT (-86.537611 34.673515),,2022-07-02T00:00:00.000,ACTIVE,
APPROXIE HEALTH,101 IVORY PL,,Madison,Madison,AL,35758,00002-7589-01,Bebtelovimab,5,POINT (-86.752627 34.678235),1780941740,2022-06-30T00:00:00.000,ACTIVE,
QUICKCARE,7500 HWY 72 W,,Madison,Madison,AL,35758,00002-7589-01,Bebtelovimab,4,POINT (-86.72532 34.75725),1093794497,2022-07-01T00:00:00.000,ACTIVE,
WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 E,,Demopolis,Marengo,AL,36732,00002-7589-01,Bebtelovimab,14,POINT (-87.83728 32.50592),,2022-06-30T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE ARAB,1420 N BRINDLEE MOUNTAIN PKWY,SUITE A-1,Arab,Marshall,AL,35016,00002-7589-01,Bebtelovimab,5,POINT (-86.47965 34.35262),,2022-07-04T00:00:00.000,ACTIVE,
LAKESIDE NORTH FAMILY MEDICINE,38 ROWE DRIVE,,Guntersville,Marshall,AL,35976,00002-7589-01,Bebtelovimab,11,POINT (-86.42271 34.363935),1245809896,2022-06-30T00:00:00.000,ACTIVE,
GACEK EAR AND SINUS CENTER,100 MEMORIAL HOSPITAL DR,SUITE 3C,Mobile,Mobile,AL,36608,00002-7589-01,Bebtelovimab,6,POINT (-88.132367 30.68303),1932449451,2022-07-02T00:00:00.000,ACTIVE,
IMMEDIATE CARE OF THE SOUTH,4270,Cottage Hill Rd,Mobile,Mobile,AL,36609,00002-7589-01,Bebtelovimab,6,POINT (-88.15602 30.65055),,2022-06-30T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE MOBILE,6280 GRELOT ROAD,,Mobile,Mobile,AL,36609,00002-7589-01,Bebtelovimab,8,POINT (-88.18816 30.66159),,2022-07-04T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE MOBILE (MIDT,153 N FLORIDA STREET,,Mobile,Mobile,AL,36607,00002-7589-01,Bebtelovimab,15,POINT (-88.100125 30.692135),,2022-07-04T00:00:00.000,ACTIVE,
MIDTOWN PHARMACY,2152 AIRPORT BLVD,suite 107,Mobile,Mobile,AL,36606,00002-7589-01,Bebtelovimab,15,POINT (-88.09209 30.67666),1497055347,2022-06-28T00:00:00.000,ACTIVE,
MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,,Mobile,Mobile,AL,36607,00002-7589-01,Bebtelovimab,13,POINT (-88.08027 30.69672),,2022-06-30T00:00:00.000,ACTIVE,
PROVIDENCE HOSPITAL,6801 AIRPORT BLVD,,Mobile,Mobile,AL,36608,00002-7589-01,Bebtelovimab,13,POINT (-88.19926 30.67939),1952390643,2022-07-04T00:00:00.000,ACTIVE,
MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,Monroeville,Monroe,AL,36460,00002-7589-01,Bebtelovimab,7,POINT (-87.344615 31.469854),,2022-07-02T00:00:00.000,ACTIVE,
PRIMARY CARE CENTER OF MONROEVILLE,1075 DREWRY RD STE B,,Monroeville,Monroe,AL,36460,00002-7589-01,Bebtelovimab,9,POINT (-87.30422 31.500013),1265478663,2022-06-30T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE MONTGOMERY,3039 VAUGHN ROAD,,Montgomery,Montgomery,AL,36106,00002-7589-01,Bebtelovimab,8,POINT (-86.262035 32.352745),,2022-07-04T00:00:00.000,ACTIVE,
PHARMACY CARE ASSOCIATES,545 Cotton Gin Road,,Montgomery,Montgomery,AL,36117,00002-7589-01,Bebtelovimab,4,POINT (-86.167385 32.372585),1932197415,2022-07-01T00:00:00.000,ACTIVE,
WHITFIELD FAMILY PRACTICE LLC,2828 Hwy 31 S,SUITE 111,Decatur,Morgan,AL,35603,00002-7589-01,Bebtelovimab,1,POINT (-86.970216 34.552965),1013507680,2022-06-27T00:00:00.000,ACTIVE,
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 S,,Troy,Pike,AL,36081,00002-7589-01,Bebtelovimab,1,POINT (-85.94557 31.7815),,2022-07-01T00:00:00.000,ACTIVE,
TANNER MEDICAL CENTER EAST ALABAMA,1032 South Main St,,Wedowee,Randolph,AL,36278,00002-7589-01,Bebtelovimab,8,POINT (-85.48745 33.31679),1447772751,2022-06-23T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS ST CLAIR,7063 VETERANS PKWY,,Pell City,Saint Clair,AL,35125,00002-7589-01,Bebtelovimab,20,POINT (-86.301425 33.60453),,2022-07-01T00:00:00.000,ACTIVE,
INTEGRACARE PHARMACY,199 CORPORATE WOODS DRIVE,,Alabaster,Shelby,AL,35007,00002-7589-01,Bebtelovimab,7,POINT (-86.789815 33.188845),1114359817,2022-06-27T00:00:00.000,ACTIVE,
Southern Wellness LLC,321 1st Street North,,Alabaster,Shelby,AL,35007,00002-7589-01,Bebtelovimab,11,POINT (-86.81585 33.24706),1437527009,2022-07-01T00:00:00.000,ACTIVE,
MEDHELP 280,4600 HIGHWAY 280,SUITE 102,Birmingham,Shelby,AL,35242,00002-7589-01,Bebtelovimab,6,POINT (-86.71167 33.429725),1174681654,2022-07-01T00:00:00.000,ACTIVE,
CHELSEA URGENT CARE,15582 Highway 280 South,#106,Chelsea,Shelby,AL,35043,00002-7589-01,Bebtelovimab,4,POINT (-86.61175 33.35193),1043252505,2022-07-05T00:00:00.000,ACTIVE,
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,Sylacauga,Talladega,AL,35150,00002-7589-01,Bebtelovimab,2,POINT (-86.2538 33.16547),1972527265,2022-07-01T00:00:00.000,ACTIVE,
MAINSTREET FAMILY CARE ALEXANDER,2508 HIGHWAY 280,,Alexander City,Tallapoosa,AL,35010,00002-7589-01,Bebtelovimab,5,POINT (-85.97916 32.93953),,2022-07-04T00:00:00.000,ACTIVE,
RUSSELL MEDICAL CENTER,3316 Highway 280,,Alexander City,Tallapoosa,AL,35010,00002-7589-01,Bebtelovimab,44,POINT (-85.86917 32.88577),1881849024,2022-06-30T00:00:00.000,ACTIVE,
LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN RD,,Dadeville,Tallapoosa,AL,36853,00002-7589-01,Bebtelovimab,13,POINT (-85.741818 32.818781),,2022-07-01T00:00:00.000,ACTIVE,
NORTHPORT MEDICAL CENTER,2700 HOSPITAL DR,,Northport,Tuscaloosa,AL,35476,00002-7589-01,Bebtelovimab,15,POINT (-87.57121 33.234925),1831480797,2022-07-01T00:00:00.000,ACTIVE,
J PAUL JONES HOSPITAL,317 MCWILLIAMS AVE,,Camden,Wilcox,AL,36726,00002-7589-01,Bebtelovimab,3,POINT (-87.299436 31.997369),1477520526,2022-07-05T00:00:00.000,ACTIVE,
FAMILY MEDICAL ASSOCIATES,42320 HWY 195,,Haleyville,Winston,AL,35565,00002-7589-01,Bebtelovimab,2,POINT (-87.593673 34.239682),1104922368,2022-05-31T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
LAKELAND COMMUNITY HOSPITAL,42024 Hwy 195 East,,Haleyville,Winston,AL,35565,00002-7589-01,Bebtelovimab,19,POINT (-87.59058 34.24182),1275600967,2022-07-01T00:00:00.000,ACTIVE,
DEWITT HOSP AND NUR CLINIC,1641 S WHITEHEAD DR,,De Witt,Arkansas,AR,72042,00002-7589-01,Bebtelovimab,15,POINT (-91.338205 34.279415),,2022-06-29T00:00:00.000,ACTIVE,
ASHLEY COUNTY MED CENTER,1015 UNITY RD,,Crossett,Ashley,AR,71635,00002-7589-01,Bebtelovimab,48,POINT (-91.93874 33.1385),,2022-07-04T00:00:00.000,ACTIVE,
MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LN,,Rogers,Benton,AR,72758,00002-7589-01,Bebtelovimab,8,POINT (-94.183017 36.309165),,2022-06-29T00:00:00.000,ACTIVE,
NORTH ARKANSAS MEDICAL CENTER,620 N MAIN ST,,Harrison,Boone,AR,72601,00002-7589-01,Bebtelovimab,5,POINT (-93.10918 36.23649),1275523912,2022-07-01T00:00:00.000,ACTIVE,
BRADLEY CO MED CENTER - EH,404 S BRADLEY ST,,Warren,Bradley,AR,71671,00002-7589-01,Bebtelovimab,7,POINT (-92.05924 33.61045),1194741611,2022-06-28T00:00:00.000,ACTIVE,
MERCY HOSPITAL BERRYVILLE,214 CARTER ST,,Berryville,Carroll,AR,72616,00002-7589-01,Bebtelovimab,14,POINT (-93.55174 36.35893),,2022-06-28T00:00:00.000,ACTIVE,
CHICOT MEMORIAL HOSPITAL - EH,2729 AR-65 S,#82,Lake Village,Chicot,AR,71653,00002-7589-01,Bebtelovimab,9,POINT (-91.25783 33.28174),,2022-07-04T00:00:00.000,ACTIVE,
NEA BAPTIST MEMORIAL HOSP PHARMACY,4800 E JOHNSON AVE,,Jonesboro,Craighead,AR,72401,00002-7589-01,Bebtelovimab,4,POINT (-90.63632 35.8664),,2022-07-03T00:00:00.000,ACTIVE,
ST. BERNARD MEDICAL CENTER,225 E WASHINGTON AVE,,Jonesboro,Craighead,AR,72401,00002-7589-01,Bebtelovimab,48,POINT (-90.70289 35.83748),,2022-06-27T00:00:00.000,ACTIVE,
CROSSRIDGE COMMUNITY HOSPITAL,310 S FALLS BLVD,,Wynne,Cross,AR,72396,00002-7589-01,Bebtelovimab,15,POINT (-90.78676 35.21985),,2022-07-04T00:00:00.000,ACTIVE,
DREW CO MEMORIAL HOSPITAL,778 SCOGIN DR,,Monticello,Drew,AR,71655,00002-7589-01,Bebtelovimab,2,POINT (-91.81644 33.61076),,2022-06-28T00:00:00.000,ACTIVE,
CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVE,,Conway,Faulkner,AR,72034,00002-7589-01,Bebtelovimab,22,POINT (-92.45781 35.0858),,2022-07-04T00:00:00.000,ACTIVE,
FOUNTAIN LAKE FAMILY MEDICINE,4517 PARK AVE,,Hot Springs,Garland,AR,71901,00002-7589-01,Bebtelovimab,10,POINT (-92.98403 34.577225),1316279375,2022-07-01T00:00:00.000,ACTIVE,
LAKESIDE FAMILY MEDICINE,124 HOLLYWOOD AVE,,Hot Springs,Garland,AR,71901,00002-7589-01,Bebtelovimab,5,POINT (-93.03747 34.4875),1144782632,2022-07-01T00:00:00.000,ACTIVE,
HAMILTON WEST FAMILY MEDICINE,1629 AIRPORT RD,STE B,Hot Springs National Park,Garland,AR,71913,00002-7589-01,Bebtelovimab,19,POINT (-93.14217 34.46657),1821176934,2022-06-30T00:00:00.000,ACTIVE,
HYDE PHARMACY INC,1001 W KINGSHIGHWAY,,Paragould,Greene,AR,72450,00002-7589-01,Bebtelovimab,10,POINT (-90.4992 36.052815),1487675310,2022-07-01T00:00:00.000,ACTIVE,
PAFFORD HEALTH SYSTEMS INC,100 E 20TH ST,D,Hope,Hempstead,AR,71801,00002-7589-01,Bebtelovimab,20,POINT (-93.586496 33.64941),1164027231,2022-07-01T00:00:00.000,ACTIVE,
LAWRENCE MEMORIAL HOSP,1309 W MAIN ST,,Walnut Ridge,Lawrence,AR,72476,00002-7589-01,Bebtelovimab,10,POINT (-90.96781 36.07377),,2022-06-24T00:00:00.000,ACTIVE,
CABOT EMERGENCY HOSPITAL,212 WILLIE RAY DR,,Cabot,Lonoke,AR,72023,00002-7589-01,Bebtelovimab,12,POINT (-92.03632 34.981079),,2022-07-04T00:00:00.000,ACTIVE,
TOTAL ACCESS HEALTH AND WELLNESS,3809 E 9TH ST,suite  15,Texarkana,Miller,AR,71854,00002-7589-01,Bebtelovimab,,POINT (-93.999163 33.431878),1386214872,2022-07-01T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVE SW,,Camden,Ouachita,AR,71701,00002-7589-01,Bebtelovimab,11,POINT (-92.83716 33.57591),,2022-07-03T00:00:00.000,ACTIVE,
GLENWOOD FAMILY MEDICINE,248 US -70 East,,Glenwood,Pike,AR,71943,00002-7589-01,Bebtelovimab,15,POINT (-93.550932 34.321863),1740368877,2022-06-30T00:00:00.000,ACTIVE,
