provider_name,address1,address2,city,state,zip,last_report_date,public_website,phone_number,geopoint
FRYS PHARMACY 66000675,1300 S WATSON RD,,Buckeye,AZ,85326,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.558585 33.43517)
CVS Store #07852,28138 N. TATUM BLVD.,CVS Pharmacy,Cave Creek,AZ,85331,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.978812 33.740525)
WALGREENS STORE #03912,29660 N TATUM BLVD,,Cave Creek,AZ,85331,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-29660+n+tatum+blvd-cave%20creek-az-85331/id=3912,,POINT (-111.990495 33.754855)
CVS Store #03965,5975 W. CHANDLER BLVD.,CVS Pharmacy,Chandler,AZ,85226,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.944987 33.30476)
CVS Store #05038,2010 S. DOBSON RD.,CVS Pharmacy,Chandler,AZ,85248,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.8763 33.27537)
CVS Store #07075,2995 E. CHANDLER HEIGHTS RD.,CVS Pharmacy,Chandler,AZ,85249,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.790107 33.23309)
Chinle Comprehensive Healthcare,Hwy 191 and Hospital Road,,Chinle,AZ,86503,2022-07-15T00:00:00.000,,,POINT (-109.58 36.16)
FORT DEFIANCE INDIAN HOSPITAL,CORNER OF N12 AND N7,,Fort Defiance,AZ,86504,2022-07-12T00:00:00.000,,,POINT (-109.07583 35.744441)
WALGREENS STORE #06062,76 W GUADALUPE RD,,Gilbert,AZ,85233,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-76+w+guadalupe+rd-gilbert-az-85233/id=6062,,POINT (-111.791492 33.364965)
CVS Store #05891,3170 S. HIGLEY RD.,CVS Pharmacy,Gilbert,AZ,85295,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.721862 33.29304)
CVS Store #03268,765 S. LINDSAY RD.,CVS Pharmacy,Gilbert,AZ,85296,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.772285 33.33629)
FRYS PHARMACY 66000670,6470 S HIGLEY RD,,Gilbert,AZ,85298,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-111.72262 33.23242)
WALGREENS STORE #03385,5421 W THUNDERBIRD RD,,Glendale,AZ,85306,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-5421+w+thunderbird+rd-glendale-az-85306/id=3385,,POINT (-112.176415 33.610415)
CVS Store #00017,18591 N 59TH AVE,CVS Pharmacy,Glendale,AZ,85308,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.185546 33.653775)
FRYS PHARMACY 66000625,6611 W BELL RD,,Glendale,AZ,85308,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.200448 33.638304)
CVS Store #03749,2840 N. DYSART RD.,CVS Pharmacy,Goodyear,AZ,85395,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.34168 33.47822)
KAYENTA HEALTH CENTER,"Highway 160, Milepost 394.3",,Kayenta,AZ,86033,2022-07-14T00:00:00.000,,,POINT (-110.25 36.71)
CVS Store #05892,5050 W. BASELINE RD.,CVS Pharmacy,Laveen,AZ,85339,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.167535 33.378185)
FRYS PHARMACY 66000667,13730 W. CAMELBACK ROAD,,Litchfield Park,AZ,85340,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.35535 33.50951)
WALGREENS STORE #07582,13014 W CAMELBACK RD,,Litchfield Park,AZ,85340,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-13014+w+camelback+rd-litchfield%20park-az-85340/id=7582,,POINT (-112.339202 33.508565)
FRYS PHARMACY 66000622,1935 N STAPLEY DR,,Mesa,AZ,85203,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-111.80342 33.45037)
CVS Store #04795,6015 E. BROWN ROAD,CVS Pharmacy,Mesa,AZ,85205,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.701037 33.436895)
CVS Store #05026,1212 S. GREENFIELD RD.,CVS Pharmacy,Mesa,AZ,85206,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.737227 33.3931)
WALGREENS STORE #06582,9230 E MAIN ST,,Mesa,AZ,85207,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-9230+e+main+st-mesa-az-85207/id=6582,,POINT (-111.631537 33.41587)
CVS Store #05814,9950 E. GUADALUPE RD.,CVS Pharmacy,Mesa,AZ,85212,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.61953 33.36505)
WALGREENS STORE #06026,3624 N POWER RD,,Mesa,AZ,85215,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-3624+n+power+rd-mesa-az-85215/id=6026,,POINT (-111.684732 33.481385)
MCHC MAIN CLINICAL SITE,1852 N. Mastick Way,,Nogales,AZ,85621,2022-07-11T00:00:00.000,http://www.mariposachc.net,520-281-1550,POINT (-110.9334 31.36574)
CVS Store #10006,10650 NORTH ORACLE RD,CVS Pharmacy,Oro Valley,AZ,85737,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.95527 32.39901)
WALGREENS STORE #04103,10405 N LA CANADA DR,,Oro Valley,AZ,85737,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-110.996445 32.39587)
SOUTHWELLNESS MEDICAL,10599 N TATUM BLVD,SUITE F151,Paradise Valley,AZ,85253,2021-12-23T00:00:00.000,,,POINT (-111.97235 33.57917)
FRYS PHARMACY 66000056,9043 W OLIVE AVE,,Peoria,AZ,85345,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.253695 33.565155)
CVS Store #00069,8332 W THUNDERBIRD RD,CVS Pharmacy,Peoria,AZ,85381,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.238182 33.61055)
WALGREENS STORE #03427,7448 W THUNDERBIRD RD,,Peoria,AZ,85381,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-7448+w+thunderbird+rd-peoria-az-85381/id=3427,,POINT (-112.219392 33.61103)
WALGREENS STORE #05353,20266 N LAKE PLEASANT RD,,Peoria,AZ,85382,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-20266+n+pleasant+rd-peoria-az-85382/id=5353,,POINT (-112.280692 33.66781)
WALGREENS STORE #10241,28516 N EL MIRAGE RD,,Peoria,AZ,85383,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-28516+n+mirage+rd-peoria-az-85383/id=10241,,POINT (-112.3232 33.74172)
San Carlos Healthcare Corporation,103 Medicine Way RD,,Peridot,AZ,85542,2022-06-29T00:00:00.000,,,POINT (-110.4205464 33.293724)
CVS Store #08366,1610 E CAMELBACK RD,CVS Pharmacy,Phoenix,AZ,85016,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.046805 33.50959)
Phoenix Indian Medical Center,4212 N. 16th Street,,Phoenix,AZ,85016,2022-05-23T00:00:00.000,,,POINT (-112.04773 33.40805)
WALGREENS STORE #03769,1616 E THOMAS RD,,Phoenix,AZ,85016,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1616+e+thomas+rd-phoenix-az-85016/id=3769,,POINT (-112.04701 33.48064)
CVS Store #09202,4742 E. INDIAN SCHOOL,CVS Pharmacy,Phoenix,AZ,85018,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.97849 33.49575)
CVS Store #11478,3502 West Camelback Rd,CVS Pharmacy,Phoenix,AZ,85019,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.134867 33.509935)
WALGREENS STORE #06400,8030 N 19TH AVE,,Phoenix,AZ,85021,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-8030+n+19th+ave-phoenix-az-85021/id=6400,,POINT (-112.09978 33.55395)
FRYS PHARMACY 66000698,1311 E. BELL ROAD,,Phoenix,AZ,85022,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.053635 33.638625)
CVS Store #07116,1855 W. THUNDERBIRD RD.,CVS Pharmacy,Phoenix,AZ,85023,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.09947 33.611)
WALGREENS STORE #09057,18433 N 19TH AVE,,Phoenix,AZ,85023,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-18433+n+19th+ave-phoenix-az-85023/id=9057,,POINT (-112.099162 33.653865)
WALGREENS STORE #12739,15450 N TATUM BLVD,,Phoenix,AZ,85032,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-15450+n+tatum+blvd-phoenix-az-85032/id=12739,,POINT (-111.978416 33.626615)
WALGREENS STORE #06021,1620 N 59TH AVE,,Phoenix,AZ,85035,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1620+n+59th+ave-phoenix-az-85035/id=6021,,POINT (-112.18708 33.46659)
CVS Store #07263,10707 W. CAMELBACK RD.,CVS Pharmacy,Phoenix,AZ,85037,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.29078 33.50764)
WALGREENS STORE #05668,8301 W CAMELBACK RD,,Phoenix,AZ,85037,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-8301+w+camelback+rd-phoenix-az-85037/id=5668,,POINT (-112.238372 33.508215)
MOUNTAIN PARK HC - BASELINE,635 E. Baseline Rd,,Phoenix,AZ,85042,2022-07-15T00:00:00.000,http://www.mountainparkhealth.org,602-323-3344,POINT (-112.06801 33.37682)
CVS Store #09290,4430 EAST RAY ROAD,CVS Pharmacy,Phoenix,AZ,85044,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.987647 33.320735)
CVS Store #03264,3210 E. UNION HILLS DR.,CVS Pharmacy,Phoenix,AZ,85050,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.01334 33.65535)
FRYS PHARMACY 66000617,2727 W BELL RD,,Phoenix,AZ,85053,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.11992 33.638475)
CVS Store #10150,28635 N. NORTH VALLEY PARKWAY,CVS Pharmacy,Phoenix,AZ,85085,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.106789 33.74172)
PINON HEALTH CENTER,2175 State Road 4,,Pinon,AZ,86510,2022-02-08T00:00:00.000,,,POINT (-110.22 36.1)
Hopi Health Care Center,HWY 264 MP 388,,Polacca,AZ,86042,2022-07-15T00:00:00.000,,,POINT (-110.5269758 35.8405827)
FRYS PHARMACY 66000063,3100 N GLASSFORD HILL RD,,Prescott Valley,AZ,86314,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.341927 34.588085)
CVS Store #01720,"21201 EAST OCOTILLO RD.,",CVS Pharmacy,Queen Creek,AZ,85142,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.625673 33.247937)
FOUR CORNERS REGIONAL HEALTH CENTER,US Hwy 160 and Navajo Rte 35,,Red Mesa,AZ,86514,2022-07-12T00:00:00.000,,,POINT (-109.3516294 36.9598104)
HU HU KAM MEMORIAL HOSPITAL,483 W SEED FARM RD,,Sacaton,AZ,85147,2022-07-14T00:00:00.000,,,POINT (-111.73401 33.07673)
FRYS PHARMACY 66000682,155 W COMBS RD,,San Tan Valley,AZ,85140,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-111.56583 33.21863)
WALGREENS STORE #09262,8469 E MCDONALD DR,,Scottsdale,AZ,85250,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-8469+e+mcdonald+dr-scottsdale-az-85250/id=9262,,POINT (-111.898285 33.52342)
CVS Store #09210,10653 N. SCOTTSDALE RD.,CVS Pharmacy,Scottsdale,AZ,85254,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.92415 33.5833)
CVS Store #10529,7111 EAST BELL RD.,CVS Pharmacy,Scottsdale,AZ,85254,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.927247 33.638033)
WALGREENS STORE #05890,11250 E VIA LINDA,,Scottsdale,AZ,85259,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-11250+e+via+linda-scottsdale-az-85259/id=5890,,POINT (-111.836055 33.590105)
CVS Store #09252,14672 N FRANK LLOYD WRIGHT,CVS Pharmacy,Scottsdale,AZ,85260,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.87721 33.619125)
CHIRICAHUA CHCSIERRA VISTA PEDS,155 Calle Portal Ste 700,,Sierra Vista,AZ,85635,2022-07-12T00:00:00.000,http://www.cchci.org,520-459-0203,POINT (-110.26638 31.552685)
WALGREENS STORE #06128,19003 N R H JOHNSON BLVD,,Sun City West,AZ,85375,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-19003+n+johnson+blvd-sun%20city%20west-az-85375/id=6128,,POINT (-112.350547 33.65763)
CVS Store #05477,15474 W. GREENWAY RD.,CVS Pharmacy,Surprise,AZ,85374,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-112.393174 33.62463)
WALGREENS STORE #12087,13723 N LITCHFIELD RD,,Surprise,AZ,85379,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-13723+n+litchfield+rd-surprise-az-85379/id=12087,,POINT (-112.35834 33.60856)
CVS Store #10928,909 EAST APACHE BLVD,CVS Pharmacy,Tempe,AZ,85281,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.92589 33.41441)
CVS Store #00033,1750 E BROADWAY RD,CVS Pharmacy,Tempe,AZ,85282,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.909712 33.40805)
FRYS PHARMACY 66000124,3255 S RURAL RD,,Tempe,AZ,85282,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-111.9249 33.39398)
FRYS PHARMACY 66000627,9900 S RURAL RD,,Tempe,AZ,85284,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-111.92831 33.32279)
WALGREENS STORE #04376,1825 E WARNER RD,,Tempe,AZ,85284,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1825+e+warner+rd-tempe-az-85284/id=4376,,POINT (-111.909917 33.33411)
INSCRIPTION HOUSE HEALTH CENTER,HWY 98  and Navajo Route 16,,Tonalea,AZ,86044,2022-07-15T00:00:00.000,,,POINT (-110.7952225 36.5806691)
Tsaile Health Center,23 HIGHWAY 64 and 12,,Tsaile,AZ,86556,2022-07-15T00:00:00.000,,,POINT (-112.12069 36.055829)
TUBA CITY REG HEALTH CARE CENTER,3008 EAST BIRCH AVE,,Tuba City,AZ,86045,2022-07-14T00:00:00.000,,,POINT (-111.23 36.14)
CVS Store #07841,4365 N ORACLE RD,CVS Pharmacy,Tucson,AZ,85705,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.97881 32.28613)
WALGREENS STORE #09953,7885 E SPEEDWAY BLVD,,Tucson,AZ,85710,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-110.82451 32.23607)
WILMOT FAM HLTH CTR,899 N Wilmot Road Building B,,Tucson,AZ,85711,2022-07-06T00:00:00.000,http://www.mhchealthcare.org,520-290-1100,POINT (-110.85909 32.232045)
CVS Store #07876,3832 EAST SPEEDWAY,CVS Pharmacy,Tucson,AZ,85716,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.91117 32.235625)
CVS Store #07855,2601 S. HOUGHTON RD.,CVS Pharmacy,Tucson,AZ,85730,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.77189 32.19122)
CVS Store #09273,3785 WEST INA RD.,CVS Pharmacy,Tucson,AZ,85741,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.04617 32.337005)
EL RIO SANTA CRUZ NEIGHBORHOOD,839 W Congress St,,Tucson,AZ,85745,2022-07-14T00:00:00.000,http://www.elrio.org,520-670-3707,POINT (-110.985845 32.220625)
CVS Store #09374,1900 W. VALENCIA RD.,CVS Pharmacy,Tucson,AZ,85746,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-111.00708 32.134475)
CVS Store #09302,8920 E TANQUE VERDE,CVS Pharmacy,Tucson,AZ,85749,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.801815 32.257345)
CVS Store #09277,6895 E. SUNRISE,CVS Pharmacy,Tucson,AZ,85750,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-110.84494 32.30941)
Whiteriver Indian Hospital,200 West Hospital Drive,,Whiteriver,AZ,85941,2022-07-11T00:00:00.000,,,POINT (-109.9614413 33.8762674)
WINSLOW INDIAN HEALTH CARE CENTER,500 INDIANA AVE,,Winslow,AZ,86047,2022-06-28T00:00:00.000,,,POINT (-110.71453 35.03268)
SUNSET CHC INC YUMA SITE,2060 West 24th Street,,Yuma,AZ,85364,2022-07-15T00:00:00.000,https://mysunsethealth.org/,928-819-8999,POINT (-114.644485 32.68444)
NBHC Yuma AZ,Bldg 1175 MCAS Yuma,,Yuma,AZ,85369,,,,POINT (-114.6244 32.7253)
CVS STORE #09751,5623 KANAN RD.,CVS Pharmacy,Agoura Hills,CA,91301,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-118.75857 34.15259)
AHMC ALHAMBRA HOSPITAL MEDICAL CENT,100 S Raymond Ave,,Alhambra,CA,91801,2022-07-12T00:00:00.000,,,POINT (-118.1441 34.09049)
CVS STORE #08872,26891 ALISO CREEK RD,CVS Pharmacy,Aliso Viejo,CA,92656,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-117.72356 33.57249)
CVS STORE #10225,1803 SOUTH HARBOR BLVD,CVS Pharmacy,Anaheim,CA,92802,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-117.9162 33.80288)
ETN MEDICAL INFUSION CENTER,601 S Beach Blvd S,,Anaheim,CA,92804,2022-07-07T00:00:00.000,,,POINT (-117.993795 33.82443)
WALGREENS STORE #06954,3446 W BALL RD,,Anaheim,CA,92804,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-3446+w+ball+rd-anaheim-ca-92804/id=6954,,POINT (-118.009887 33.81659)
KCS HLTH CTR ANAHEIM,W. Lincoln Ave.,,Anaheim,CA,92805,2022-07-09T00:00:00.000,,714-527-6561,POINT (-117.92653375 33.835985)
CarbonHealth - Antioch,5829 Lone Tree Way,#D110,Antioch,CA,94531,2022-07-08T00:00:00.000,,,POINT (-121.73641 37.963165)
Optum Serve - Antioch,4703 Lone Tree Way,Attn Contra Costa Bus,Antioch,CA,94531,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-121.77447 37.96443)
Optum Serve - Apple Valley,13467 Navajo Rd,Thurs and Fri Only,Apple Valley,CA,92308,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-117.19012 34.4951)
CVS STORE #09721,1401 S. BALDWIN AVE.,CVS Pharmacy,Arcadia,CA,91007,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-118.0567 34.12358)
BESTCARE PHARMACY,1051 E GRAND AVE,,Arroyo Grande,CA,93420,2022-07-15T00:00:00.000,,,POINT (-120.595209 35.11908)
Optum Serve - Bakersfield,1901 Wilson Rd,ATTN: COVID Testing - EOA/Staff,Bakersfield,CA,93304,2022-07-11T00:00:00.000,https://lhi.care/covidtesting,,POINT (-119.02377 35.33191)
OMNI FAMILY HEALTH,1701 Stine Road,,Bakersfield,CA,93309,2022-07-16T00:00:00.000,http://www.omnifamilyhealth.org,866-707-6664,POINT (-119.05193 35.33829)
Optum Serve - Barstow,720 E Main Street,ATTN: COVID19TESTING BUS,Barstow,CA,92311,2022-07-13T00:00:00.000,https://lhi.care/covidtesting,,POINT (-117.018345 34.8983)
Optum Serve - Beaumont,306 E 6th Street,ATTN: COVID Testing,Beaumont,CA,92223,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-116.978305 33.92962)
Optum Serve - Bell,6250 Pine Ave,,Bell,CA,90201,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-118.18866 33.98022)
CVS Store #09941,1451 SHATTUCK AVE,CVS Pharmacy,Berkeley,CA,94709,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-122.26902 37.88148)
W BERKELEY FAM PRAC,837 Addison St,,Berkeley,CA,94710,2022-07-12T00:00:00.000,http://www.lifelongmedical.org,510-981-4200,POINT (-122.297005 37.867115)
BEVERLY HILLS MEDICAL PLAZA PHARM,150 N Robertson Blvd,Suite 211,Beverly Hills,CA,90211,2022-07-14T00:00:00.000,,,POINT (-118.3834 34.06813)
RX Unlimited,8641 Wilshire blvd #120,,Beverly Hills,CA,90211,,,,POINT (-118.3798 34.06643)
DWAYNES FRIENDLY PHARMACY,644 W. LINE ST.,,Bishop,CA,93514,,,,POINT (-118.40094 37.36109)
Optum Serve - Bishop,475 Sierra St,"Attn: County Services building,",Bishop,CA,93514,2022-07-14T00:00:00.000,https://lhi.care/covidtesting,,POINT (-118.39925 37.37032)
Optum Serve - Bloomington,18401 Jurupa Ave,Olive Branch Development Services,Bloomington,CA,92316,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-117.404295 34.047555)
Optum Serve - Brentwood,101 Sand Creek Road,ATTN: COVID Testing Supplies,Brentwood,CA,94513,2022-07-15T00:00:00.000,https://lhi.care/covidtesting,,POINT (-121.69891 37.94681)
CVS STORE #08861,8850 VALLEY VIEW STREET,CVS Pharmacy,Buena Park,CA,90620,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-118.02791 33.83377)
WALGREENS STORE #06250,1028 S SAN FERNANDO BLVD,,Burbank,CA,91502,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1028+s+san+fernando+blvd-burbank-ca-91502/id=6250,,POINT (-118.29867 34.17444)
CVS STORE #09795,511 N. HOLLYWOOD WAY,CVS Pharmacy,Burbank,CA,91505,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-118.34355 34.15971)
Mend Urgent Care - Burbank,1701 W Verdugo Ave,,Burbank,CA,91506,2022-07-14T00:00:00.000,https://mendtesttotreat.as.me/,,POINT (-118.32355 34.168005)
CVS Store #09811,1871 EL CAMINO REAL,CVS Pharmacy,Burlingame,CA,94010,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-122.385 37.59588)
DR. PHARMACY RX,5733 LAS VIRGENES RD STE A,,Calabasas,CA,91302,2022-07-14T00:00:00.000,,,POINT (-118.70343 34.16079)
