State Date       Time   Providers Details
AZ    2022-04-29 05-14  +1        ['AZ,Peridot,85542,San Carlos Healthcare Corporation']
AZ    2022-04-29 05-14  -1        ['AZ,Surprise,85374,Cvs Store #05477']
AZ    2022-04-30 05-16  -1        ['AZ,Kayenta,86033,Kayenta Health Center']
AZ    2022-05-01 05-14  -1        ['AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-05-03 06-05  +1        ['AZ,Whiteriver,85941,Whiteriver Indian Hospital']
AZ    2022-05-04 05-12  +1        ['AZ,Surprise,85374,Cvs Store #05477']
AZ    2022-05-06 06-12  +1        ['AZ,Red Mesa,86514,Four Corners Regional Health Center']
AZ    2022-05-07 05-45  +1        ['AZ,Mesa,85203,Frys Pharmacy 66000622']
AZ    2022-05-13 06-07  +1        ['AZ,Tucson,85711,Wilmot Fam Hlth Ctr']
AZ    2022-05-15 05-53  -2        ['AZ,Davis-Monthan Afb,85707,355Th Mdss/Sgsm', 'AZ,Luke Afb,85309,56 Mdss/Sgsl Fm4887']
AZ    2022-05-17 05-27  +1        ['AZ,Kayenta,86033,Kayenta Health Center']
AZ    2022-05-18 05-40  -1        ['AZ,Winslow,86047,Winslow Indian Health Care Center']
AZ    2022-05-20 05-59  +1        ['AZ,Winslow,86047,Winslow Indian Health Care Center']
AZ    2022-05-20 05-59  -1        ['AZ,Red Mesa,86514,Four Corners Regional Health Center']
AZ    2022-05-21 05-54  +1        ['AZ,Red Mesa,86514,Four Corners Regional Health Center']
AZ    2022-05-27 05-48  +1        ['AZ,Goodyear,85338,Walgreens Store #02243']
AZ    2022-05-27 05-48  -1        ['AZ,Nogales,85621,Mchc Main Clinical Site']
AZ    2022-05-28 05-34  -1        ['AZ,Pinon,86510,Pinon Health Center']
AZ    2022-06-02 07-53  -1        ['AZ,Gilbert,85298,Frys Pharmacy 66000670']
AZ    2022-06-04 19-10  +2        ['AZ,Gilbert,85298,Frys Pharmacy 66000670', 'AZ,Nogales,85621,Mchc Main Clinical Site']
AZ    2022-06-04 19-10  -1        ['AZ,Tonalea,86044,Inscription House Health Center']
AZ    2022-06-07 05-36  +1        ['AZ,Tonalea,86044,Inscription House Health Center']
AZ    2022-06-09 04-15  +1        ['AZ,Yuma,85369,Nbhc Yuma Az']
AZ    2022-06-17 04-15  -25       ['AZ,Apache Junction,85120,Walgreens Store #06333', 'AZ,Avondale,85392,Walgreens Store #03387', 'AZ,Cave Creek,85331,Walgreens Store #03912', 'AZ,Gilbert,85233,Walgreens Store #06062', 'AZ,Glendale,85306,Walgreens Store #03385', 'AZ,Goodyear,85338,Walgreens Store #02243', 'AZ,Litchfield Park,85340,Walgreens Store #07582', 'AZ,Mesa,85207,Walgreens Store #06582', 'AZ,Mesa,85215,Walgreens Store #06026', 'AZ,Oro Valley,85737,Walgreens Store #04103', 'AZ,Peoria,85381,Walgreens Store #03427', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Peoria,85383,Walgreens Store #10241', 'AZ,Phoenix,85016,Walgreens Store #03769', 'AZ,Phoenix,85021,Walgreens Store #06400', 'AZ,Phoenix,85023,Walgreens Store #09057', 'AZ,Phoenix,85032,Walgreens Store #12739', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Phoenix,85037,Walgreens Store #05668', 'AZ,Scottsdale,85250,Walgreens Store #09262', 'AZ,Scottsdale,85259,Walgreens Store #05890', 'AZ,Sun City West,85375,Walgreens Store #06128', 'AZ,Surprise,85379,Walgreens Store #12087', 'AZ,Tempe,85284,Walgreens Store #04376', 'AZ,Tucson,85710,Walgreens Store #09953']
AZ    2022-06-18 04-15  -1        ['AZ,Nogales,85621,Mchc Main Clinical Site']
AZ    2022-06-21 04-15  +26       ['AZ,Apache Junction,85120,Walgreens Store #06333', 'AZ,Avondale,85392,Walgreens Store #03387', 'AZ,Cave Creek,85331,Walgreens Store #03912', 'AZ,Gilbert,85233,Walgreens Store #06062', 'AZ,Glendale,85306,Walgreens Store #03385', 'AZ,Goodyear,85338,Walgreens Store #02243', 'AZ,Litchfield Park,85340,Walgreens Store #07582', 'AZ,Mesa,85207,Walgreens Store #06582', 'AZ,Mesa,85215,Walgreens Store #06026', 'AZ,Nogales,85621,Mchc Main Clinical Site', 'AZ,Oro Valley,85737,Walgreens Store #04103', 'AZ,Peoria,85381,Walgreens Store #03427', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Peoria,85383,Walgreens Store #10241', 'AZ,Phoenix,85016,Walgreens Store #03769', 'AZ,Phoenix,85021,Walgreens Store #06400', 'AZ,Phoenix,85023,Walgreens Store #09057', 'AZ,Phoenix,85032,Walgreens Store #12739', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Phoenix,85037,Walgreens Store #05668', 'AZ,Scottsdale,85250,Walgreens Store #09262', 'AZ,Scottsdale,85259,Walgreens Store #05890', 'AZ,Sun City West,85375,Walgreens Store #06128', 'AZ,Surprise,85379,Walgreens Store #12087', 'AZ,Tempe,85284,Walgreens Store #04376', 'AZ,Tucson,85710,Walgreens Store #09953']
AZ    2022-06-24 04-15  +1        ['AZ,Flagstaff,86001,Flagstaff Pharmacy']
AZ    2022-06-24 04-15  -1        ['AZ,Ajo,85321,Desert Senita Comm Hlth Ctr']
AZ    2022-06-26 04-15  -1        ['AZ,Phoenix,85016,Phoenix Indian Medical Center']
AZ    2022-07-01 04-15  -25       ['AZ,Apache Junction,85120,Walgreens Store #06333', 'AZ,Avondale,85392,Walgreens Store #03387', 'AZ,Cave Creek,85331,Walgreens Store #03912', 'AZ,Gilbert,85233,Walgreens Store #06062', 'AZ,Glendale,85306,Walgreens Store #03385', 'AZ,Goodyear,85338,Walgreens Store #02243', 'AZ,Litchfield Park,85340,Walgreens Store #07582', 'AZ,Mesa,85207,Walgreens Store #06582', 'AZ,Mesa,85215,Walgreens Store #06026', 'AZ,Oro Valley,85737,Walgreens Store #04103', 'AZ,Peoria,85381,Walgreens Store #03427', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Peoria,85383,Walgreens Store #10241', 'AZ,Phoenix,85016,Walgreens Store #03769', 'AZ,Phoenix,85021,Walgreens Store #06400', 'AZ,Phoenix,85023,Walgreens Store #09057', 'AZ,Phoenix,85032,Walgreens Store #12739', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Phoenix,85037,Walgreens Store #05668', 'AZ,Scottsdale,85250,Walgreens Store #09262', 'AZ,Scottsdale,85259,Walgreens Store #05890', 'AZ,Sun City West,85375,Walgreens Store #06128', 'AZ,Surprise,85379,Walgreens Store #12087', 'AZ,Tempe,85284,Walgreens Store #04376', 'AZ,Tucson,85710,Walgreens Store #09953']
AZ    2022-07-08 04-15  +1        ['AZ,Pinon,86510,Pinon Health Center']
AZ    2022-07-09 04-15  +1        ['AZ,Phoenix,85016,Phoenix Indian Medical Center']
AZ    2022-07-09 04-15  -1        ['AZ,Flagstaff,86001,Flagstaff Pharmacy']
AZ    2022-07-12 04-15  +25       ['AZ,Apache Junction,85120,Walgreens Store #06333', 'AZ,Avondale,85392,Walgreens Store #03387', 'AZ,Cave Creek,85331,Walgreens Store #03912', 'AZ,Gilbert,85233,Walgreens Store #06062', 'AZ,Glendale,85306,Walgreens Store #03385', 'AZ,Goodyear,85338,Walgreens Store #02243', 'AZ,Litchfield Park,85340,Walgreens Store #07582', 'AZ,Mesa,85207,Walgreens Store #06582', 'AZ,Mesa,85215,Walgreens Store #06026', 'AZ,Oro Valley,85737,Walgreens Store #04103', 'AZ,Peoria,85381,Walgreens Store #03427', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Peoria,85383,Walgreens Store #10241', 'AZ,Phoenix,85016,Walgreens Store #03769', 'AZ,Phoenix,85021,Walgreens Store #06400', 'AZ,Phoenix,85023,Walgreens Store #09057', 'AZ,Phoenix,85032,Walgreens Store #12739', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Phoenix,85037,Walgreens Store #05668', 'AZ,Scottsdale,85250,Walgreens Store #09262', 'AZ,Scottsdale,85259,Walgreens Store #05890', 'AZ,Sun City West,85375,Walgreens Store #06128', 'AZ,Surprise,85379,Walgreens Store #12087', 'AZ,Tempe,85284,Walgreens Store #04376', 'AZ,Tucson,85710,Walgreens Store #09953']
AZ    2022-07-14 04-15  +2        ['AZ,Ajo,85321,Desert Senita Comm Hlth Ctr', 'AZ,Paradise Valley,85253,Southwellness Medical']
AR    2022-03-30 09-48  -3        ['AR,Augusta,72006,Arcare 10', 'AR,Springdale,72762,Walmart Pharmacy #4108', 'AR,Springdale,72764,Community Clinic Springdale']
AR    2022-04-06 05-45  +1        ['AR,Augusta,72006,Arcare 10']
AR    2022-05-22 09-06  -1        ['AR,Augusta,72006,Arcare 10']
AR    2022-05-25 05-39  +1        ['AR,Augusta,72006,Arcare 10']
AR    2022-06-15 04-15  -1        ['AR,Little Rock Afb,72099,Little Rock Afb']
AR    2022-07-13 04-15  +1        ['AR,Ozark,72949,Village Pharmacy']
CA    2022-03-30 09-48  -132      ['CA,Agoura Hills,91301,Cvs Store #09751', 'CA,Aliso Viejo,92656,Cvs Store #08872', 'CA,Anaheim,92802,Cvs Store #10225', 'CA,Anaheim,92804,Walgreens Store #06954', 'CA,Arcadia,91007,Cvs Store #09721', 'CA,Bakersfield,93309,Omni Family Health', 'CA,Berkeley,94709,Cvs Store #09941', 'CA,Buena Park,90620,Cvs Store #08861', 'CA,Burbank,91502,Walgreens Store #06250', 'CA,Burbank,91505,Cvs Store #09795', 'CA,Burlingame,94010,Cvs Store #09811', 'CA,Campbell,95008,Cvs Store #09805', 'CA,Carlsbad,92008,Cvs Store #09479', 'CA,Carlsbad,92009,Cvs Store #09528', 'CA,Cerritos,90703,Cvs Store #09489', 'CA,Chula Vista,91911,Cvs Store #09113', 'CA,Costa Mesa,92626,Cvs Store #09484', 'CA,Cupertino,95014,Cvs Store #09894', 'CA,Dana Point,92629,Cvs Store #09912', 'CA,Downey,90240,Cvs Store #08867', 'CA,Duarte,91010,City Of Hope National Medical Cente', 'CA,Eastvale,92880,Cvs Store #05958', 'CA,El Cajon,92020,Cvs Store #09173', 'CA,El Monte,91731,Herald Christian Health Center', 'CA,El Monte,91732,Scmc - El Monte', 'CA,El Segundo,90245,Walgreens Store #09882', 'CA,Elk Grove,95758,Cvs Store #01825', 'CA,Escondido,92025,Neighborhood Healthcare Escondido', 'CA,Escondido,92026,Cvs Store #09103', 'CA,Fair Oaks,95628,Cvs Store #09814', 'CA,Foster City,94404,Cvs Store #09879', 'CA,Fresno,93711,Cvs Store #09865', 'CA,Garden Grove,92840,Walgreens Store #05972', 'CA,Gardena,90247,Walgreens Store #07175', 'CA,Glendale,91207,Walgreens Store #15469', 'CA,Glendora,91741,Cvs Store #09851', 'CA,Granada Hills,91344,Walgreens Store #05566', 'CA,Huntington Beach,92648,Cvs Store #08850', 'CA,Huntington Park,90255,Angeles Community Health Center', 'CA,Irvine,92604,Cvs Store #09497', 'CA,La Jolla,92037,Cvs Store #09195', 'CA,Lake Forest,92630,Cvs Store #09587', 'CA,Lakewood,90248,Contiuem Urgent Care', 'CA,Lancaster,93535,Bartz Altadonna Chc - Lancaster Gin', 'CA,Lemoore,93245,Aria Community Hlth Ctr Lemoore 209', 'CA,Long Beach,90806,Cvs Store #08876', 'CA,Long Beach,90806,The Childrens Clinic Fhc Smtf', 'CA,Los Angeles,90016,Walgreens Store #07016', 'CA,Los Angeles,90017,Cvs Store #10614', 'CA,Los Angeles,90020,Walgreens Store #05879', 'CA,Los Angeles,90021,Universal Community Health Center', 'CA,Los Angeles,90022,Altamed Pharmacy - Commerce', 'CA,Los Angeles,90024,Cvs Store #09576', 'CA,Los Angeles,90033,Keck Hospital Of Usc', 'CA,Los Angeles,90037,Sjwcfc S Mark Taper Fdn Cd + Env Hc', 'CA,Los Angeles,90064,Walgreens Store #12419', 'CA,Los Angeles,90095,Ronald Reagan Ucla Medical Center', 'CA,Manhattan Beach,90266,Cvs Store #09496', 'CA,Marina Del Rey,90292,Cvs Store #08871', 'CA,Milpitas,95035,Cvs Store #09161', 'CA,Mission Viejo,92692,Cvs Store #09485', 'CA,Montrose,91020,Cvs Store #09647', 'CA,Morgan Hill,95037,Cvs Store #09342', 'CA,Mountain View,94040,Cvs Store #09684', 'CA,National City,91950,San Ysidro Hlth Paradise Hills', 'CA,Nipomo,93444,Comm Hlth Ctrs Santa Maria', 'CA,Oakland,94601,Achch Program', 'CA,Oakland,94601,La Clinica De La Raza', 'CA,Oakland,94609,Childrens Hospital Oakland Primcare', 'CA,Orange,92866,Walgreens Store #10336', 'CA,Pleasanton,94588,Cvs Store #09251', 'CA,Pomona,91767,Cvs Store #08895', 'CA,Pomona,91767,Pomona Valley Hospital Medical Cent', 'CA,Poway,92064,Cvs Store #09105', 'CA,Rancho Bernardo,92128,Cvs Store #09111', 'CA,Rancho Cucamonga,91701,Cvs Store #09723', 'CA,Redondo Beach,90278,Walgreens Store #06496', 'CA,Reseda,91335,Cvs Store #09615', 'CA,Riverside,92504,Riverside Neighborhood Hlth Ctr', 'CA,Riverside,92508,Cvs Store #09803', 'CA,Roseville,95747,Cvs Store #05091', 'CA,Sacramento,95822,Cvs Store #09823', 'CA,Sacramento,95825,Cvs Store #09322', 'CA,Sacramento,95835,Cvs Store #04151', 'CA,Salinas,93906,Cnty Of Monterey - Laurel Fam Prac', 'CA,San Bernardino,92415,Adelanto Chc Cnty Of San Bernardino', 'CA,San Bruno,94066,Cvs Store #09807', 'CA,San Clemente,92673,Cvs Store #08882', 'CA,San Diego,92108,Cvs Store #09963', 'CA,San Diego,92109,Cvs Store #09538', 'CA,San Diego,92110,Cvs Store #09165', 'CA,San Diego,92117,Cvs Store #09175', 'CA,San Diego,92126,Cvs Store #09177', 'CA,San Fernando,91340,San Fernando Health Center', 'CA,San Francisco,94110,San Francisco Comm Clinic Consort', 'CA,San Francisco,94116,Cvs Store #05131', 'CA,San Francisco,94118,North East Medical Services', 'CA,San Jose,95123,Cvs Store #09808', 'CA,San Jose,95126,Valley Hlth Ctr Lenzen', 'CA,San Jose,95132,Cvs Store #09812', 'CA,San Marcos,92069,Truecare', 'CA,San Rafael,94901,Marin Community Clinics - Campus', 'CA,San Ramon,94583,Cvs Store #09868', 'CA,Santa Clara,95051,Cvs Store #09793', 'CA,Santa Clarita,91355,Cvs Store #09858', 'CA,Santa Maria,93455,Santa Maria Health Care Center', 'CA,Santa Monica,90404,Cvs Store #09608', 'CA,Santa Monica,90405,Walgreens Store #12720', 'CA,Santee,92071,Cvs Store #09145', 'CA,Seal Beach,90740,Cvs Store #08843', 'CA,Sherman Oaks,91403,Cvs Store #09707', 'CA,Simi Valley,93065,Cvs Store #09631', 'CA,Solana Beach,92075,Cvs Store #09187', 'CA,Stockton,95202,Community Medical Centers Channel', 'CA,Sunnyvale,94087,Cvs Store #09700', 'CA,Temecula,92591,Cvs Store #09606', 'CA,Temecula,92592,Cvs Store #08896', 'CA,Thousand Oaks,91361,Cvs Store #09715', 'CA,Torrance,90505,Cvs Store #08852', 'CA,Torrance,90505,Walgreens Store #02622', 'CA,Tustin,92780,Walgreens Store #07286', 'CA,Van Nuys,91411,Scmc Van Nuys', 'CA,Venice,90291,Venice Family Clinic - Milken', 'CA,Visa,92084,Vcc Vale Terrace', 'CA,Visalia,93291,Fam Hc Netw - Visalia Bridge Hc', 'CA,Walnut Creek,94596,Cvs Store #09545', 'CA,Walnut Creek,94598,Cvs Store #09815', 'CA,Watsonville,95076,Salud Para La Gente Inc', 'CA,West Hollywood,90069,Cvs Store #09652', 'CA,Winters,95694,Winters Healthcare Foundation Inc.', 'CA,Woodland Hills,91364,Cvs Store #09613', 'CA,Yorba Linda,92886,Cvs Store #09492']
CA    2022-03-31 08-52  +1        ['CA,Marina Del Rey,90292,Cvs Store #08871']
CA    2022-03-31 08-52  -1        ['CA,Los Angeles,90033,Keck Hospital Of Usc']
CA    2022-04-01 06-55  +1        ['CA,Los Angeles,90037,Sjwcfc S Mark Taper Fdn Cd  Env Hc']
CA    2022-04-01 06-55  -1        ['CA,Los Angeles,90037,Sjwcfc S Mark Taper Fdn Cd + Env Hc']
CA    2022-04-02 15-49  +10       ['CA,Culver City,90232,Carbonhealth - Ivy Station', 'CA,La Puente,91744,Gonzalez Pharmacy', 'CA,Long Beach,90802,Carbonhealth - Ocean Blvd', 'CA,Los Angeles,90026,Carbonhealth - Sunset (Echo Park)', 'CA,Los Angeles,90035,Robertson Specialty Pharmacy (Test', 'CA,Los Angeles,90066,Carbonhealth - Washington Blvd', 'CA,North Hollywood,91606,Carbonhealth - Laurel Canyon (Noho)', 'CA,Pomona,91766,Westernu Health', 'CA,Psadena,91101,Carbonhealth - East Colorado', 'CA,Redondo Beach,90277,Carbonhealth - Redondo Shores']
CA    2022-04-02 15-49  -2        ['CA,Fresno,93722,United Hlth Ctrs Corporate Offices', 'CA,Los Angeles,90027,Childrens Hospital Los Angeles']
CA    2022-04-04 05-38  -1        ['CA,Oxnard,93033,Las Islas Family Med Group North']
CA    2022-04-04 08-57  +1        ['CA,Oxnard,93033,Las Islas Family Med Group North']
CA    2022-04-04 12-09  -1        ['CA,Oxnard,93033,Las Islas Family Med Group North']
CA    2022-04-05 05-48  +1        ['CA,San Luis Obispo,93405,Med + Stop Urgent Care Center']
CA    2022-04-05 05-48  -3        ['CA,Los Angeles,90024,Cvs Store #09576', 'CA,National City,91950,San Ysidro Hlth Paradise Hills', 'CA,Riverside,92504,Riverside Neighborhood Hlth Ctr']
CA    2022-04-06 05-45  +1        ['CA,Woodland Hills,91364,Cvs Store #09613']
CA    2022-04-07 05-34  +2        ['CA,Garden Grove,92841,Nhan Hoa Comp Hlth Care Clinic', 'CA,Los Angeles,90024,Cvs Store #09576']
CA    2022-04-07 05-34  -1        ['CA,Escondido,92025,Neighborhood Healthcare Escondido']
CA    2022-04-08 05-48  +3        ['CA,Arroyo Grande,93420,Bestcare Pharmacy', 'CA,Los Angeles,90033,Keck Hospital Of Usc', 'CA,Sherman Oaks,91423,Mend Urgent Care -Sherman Oaks']
CA    2022-04-09 05-41  +3        ['CA,Alhambra,91801,Ahmc Alhambra Hospital Medical Cent', 'CA,Escondido,92025,Neighborhood Healthcare Escondido', 'CA,Pismo Beach,93449,Med Plus Pismo Beach']
CA    2022-04-09 05-41  -2        ['CA,Oakland,94601,Achch Program', 'CA,San Diego,92113,Logan Heights Family Health Center']
CA    2022-04-11 07-06  -1        ['CA,Duarte,91010,City Of Hope National Medical Cente']
CA    2022-04-12 07-07  +2        ['CA,Duarte,91010,City Of Hope National Medical Cente', 'CA,National City,91950,San Ysidro Hlth Paradise Hills']
CA    2022-04-12 07-07  -1        ['CA,Lemoore,93245,Aria Community Hlth Ctr Lemoore 209']
