2022-02-18T16-04-21,80113,MK Healthcare PLLC,02/17/2022 12:00:00 AM,,6,,
2022-03-24T07-49-11,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,80113,MK Healthcare PLLC,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
