2022-02-18T16-04-21,03301,CONVENIENT MD CONCORD,02/16/2022 12:00:00 AM,,6,,
2022-03-18T11-17-38,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,03301,Concord,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,03301,CONCORD HOSPITAL,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,03301,Concord,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,03301,Concord,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,03301,Concord,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,03301,Concord,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,03301,CONCORD HOSPITAL,NLP,NLP,NLP,43,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,03301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,03301,Concord,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
