2022-03-08T14-40-56,32308,CDR Health Tallahassee Clinic,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,264,,
2022-03-21T14-18-38,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,32308,Tallahassee Clinic,NLP,NLP,NLP,620,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32308,Tallahassee Clinic,NLP,NLP,NLP,620,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32308,Tallahassee Clinic,NLP,NLP,NLP,620,03/23/2022 12:00:00 AM
