2022-02-18T16-04-21,30606,STMADMIN,02/17/2022 12:00:00 AM,,24,,
2022-03-21T14-18-38,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,224,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,224,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,58,03/30/2022 12:00:00 AM
