2022-02-18T16-04-21,28052,StarMed Healthcare Gaston,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-26T12-42-50,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,28052,Gaston County Jail,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
