2022-02-18T16-04-21,32547,Emerald Coast Infec. Diseases Med,02/17/2022 12:00:00 AM,,48,,
2022-03-24T07-49-11,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,32547,IV STAT INC,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
