2022-02-18T16-04-21,87106,PRESBYTERIAN INFUSION CENTER,02/17/2022 12:00:00 AM,,66,,
2022-03-18T15-22-50,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,87106,Reform ABQ,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,87106,UNM HOSPITAL,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
