2022-03-08T14-40-56,27215,Marshall Anderson,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,42,,
2022-03-20T06-05-37,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,27215,KERNODLE CLINIC,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
