2022-03-08T14-40-56,80204,DENVER HEALTH MED CNTR PHR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,50,,
2022-03-31T15-09-22,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,99,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,98,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,96,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,95,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,95,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,89,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,86,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,83,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,80,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,80,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,76,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,74,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,102,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,101,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,96,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,96,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,93,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,89,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,84,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,77,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,70,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,69,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,65,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,63,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,59,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,54,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,49,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,44,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,41,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,68,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,72,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,68,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,61,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,59,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,52,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,50,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,48,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,43,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,75,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,65,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,58,05/14/2022 12:00:00 AM
2022-05-16T05-54-24,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,56,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,32,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,24,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,58,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,53,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,51,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,47,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,42,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,31,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,31,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,31,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,87,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,86,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,79,05/29/2022 12:00:00 AM
2022-05-30T05-32-42,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,74,05/29/2022 12:00:00 AM
2022-05-31T08-56-01,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,71,05/30/2022 12:00:00 AM
2022-06-01T05-37-50,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,66,06/01/2022 12:00:00 AM
2022-06-02T07-54-10,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,54,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,54,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,118,06/04/2022 12:00:00 AM
2022-06-05T08-48-25,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,105,06/05/2022 12:00:00 AM
2022-06-06T06-32-51,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,96,06/06/2022 12:00:00 AM
2022-06-07T05-36-41,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,95,06/07/2022 12:00:00 AM
2022-06-08T05-42-02,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,84,06/08/2022 12:00:00 AM
2022-06-09T04-15-20,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,74,06/09/2022 12:00:00 AM
2022-06-10T04-15-36,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,64,06/10/2022 12:00:00 AM
2022-06-11T04-15-14,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,99,06/11/2022 12:00:00 AM
2022-06-12T04-15-15,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,91,06/12/2022 12:00:00 AM
2022-06-13T04-15-40,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,85,06/13/2022 12:00:00 AM
2022-06-14T04-15-16,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,80,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,75,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,73,06/16/2022 12:00:00 AM
2022-06-17T04-15-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,125,06/17/2022 12:00:00 AM
2022-06-18T04-15-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,120,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,113,06/18/2022 12:00:00 AM
2022-06-20T04-15-58,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,109,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,107,06/21/2022 12:00:00 AM
2022-06-22T04-15-20,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,103,06/22/2022 12:00:00 AM
2022-06-23T04-15-16,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,97,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,155,06/24/2022 12:00:00 AM
2022-06-25T04-15-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,147,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,140,06/25/2022 12:00:00 AM
2022-06-27T04-15-31,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,135,06/26/2022 12:00:00 AM
2022-06-28T04-15-44,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,133,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,128,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,122,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,110,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,105,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,95,07/03/2022 12:00:00 AM
2022-07-05T04-15-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,93,07/04/2022 12:00:00 AM
2022-07-06T04-15-19,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,85,07/05/2022 12:00:00 AM
