2022-02-18T16-04-21,66935,REPUBLIC CNTY HOSPITAL,02/14/2022 12:00:00 AM,,10,,
2022-04-16T05-33-42,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-17T05-32-24,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-18T05-31-10,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-20T05-27-37,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-21T05-29-54,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-22T05-26-18,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-23T05-25-10,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-24T05-22-24,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-25T05-22-33,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-26T05-20-54,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-27T05-23-49,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-28T09-22-45,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-29T05-13-54,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-05-13T06-07-31,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-18T05-40-23,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-19T05-25-31,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
