2022-02-18T16-04-21,35121,PRIMARY CARE SERVICESBLOUNT LLC,02/15/2022 12:00:00 AM,,5,,
2022-05-24T05-46-03,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/23/2022 12:00:00 AM
2022-05-27T05-48-57,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,3,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,3,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,3,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,3,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,3,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-04T19-11-08,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-08T05-42-02,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,9,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,12,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,12,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,12,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,12,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-14T04-15-16,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,21,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,21,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-19T04-15-29,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,21,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-20T04-15-58,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-20T04-15-58,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,21,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,20,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-22T04-15-20,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,20,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-23T04-15-16,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,20,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-24T04-15-26,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,17,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-25T04-15-18,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,17,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-26T04-15-17,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,17,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-27T04-15-31,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,17,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-28T04-15-44,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/14/2022 12:00:00 AM
2022-06-28T04-15-44,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,17,06/23/2022 12:00:00 AM
2022-06-29T04-15-40,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/28/2022 12:00:00 AM
2022-06-29T04-15-40,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,45,06/28/2022 12:00:00 AM
2022-07-01T04-15-22,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-01T04-15-22,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-04T04-15-29,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-04T04-15-29,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-05T04-15-18,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/04/2022 12:00:00 AM
2022-07-06T04-15-19,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/04/2022 12:00:00 AM
2022-07-06T04-15-19,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-07T04-15-17,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-07T04-15-17,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/04/2022 12:00:00 AM
2022-07-07T04-15-17,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,14,06/28/2022 12:00:00 AM
2022-07-07T13-15-18,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/04/2022 12:00:00 AM
2022-07-07T13-15-18,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,35,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/07/2022 12:00:00 AM
2022-07-08T04-15-19,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-08T04-15-19,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/11/2022 12:00:00 AM
2022-07-12T04-15-22,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,4,07/12/2022 12:00:00 AM
2022-07-13T04-15-22,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,2,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,4,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/14/2022 12:00:00 AM
2022-07-15T04-15-46,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,3,07/14/2022 12:00:00 AM
2022-07-15T04-15-46,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-17T04-15-18,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,3,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-17T04-15-18,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,3,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-18T04-15-21,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,3,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-18T07-55-19,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,2,07/18/2022 12:00:00 AM
2022-07-19T04-15-25,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,15,07/13/2022 12:00:00 AM
2022-07-19T04-15-25,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,7,07/19/2022 12:00:00 AM
2022-07-20T04-15-41,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,2,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,2,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,7,07/19/2022 12:00:00 AM
2022-07-21T04-15-40,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,26,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,5,07/21/2022 12:00:00 AM
2022-07-22T04-15-29,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,11,07/21/2022 12:00:00 AM
2022-07-22T04-15-29,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,2,07/18/2022 12:00:00 AM
2022-07-23T04-15-20,35121,PRIMARY CARE SERVICESBLOUNT LLC,NLP,NLP,NLP,2,07/18/2022 12:00:00 AM
2022-07-23T04-15-20,35121,MAINSTREET FAMILY CARE ONEONTA,NLP,NLP,NLP,11,07/21/2022 12:00:00 AM
2022-07-23T04-15-20,35121,ASCENSION ST VINCENTS BLOUNT,NLP,NLP,NLP,5,07/21/2022 12:00:00 AM
