2022-03-08T14-40-56,50144,DECATUR COUNTY HOSPITAL,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-28T06-21-17,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,9,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,11,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,16,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,16,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,16,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,16,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,16,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,15,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,15,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,15,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,15,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,15,06/17/2022 12:00:00 AM
