2022-02-18T16-04-21,25702,ST. MARYS MEDICAL CENTER,02/15/2022 12:00:00 AM,,20,117,02/18/2022 12:00:00 AM
2022-04-30T05-15-55,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,80,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,77,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,73,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,72,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,72,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,72,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,65,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,65,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,62,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,62,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,59,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,59,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,59,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25702,ST. MARYS MEDICAL CENTER,NLP,NLP,NLP,59,05/20/2022 12:00:00 AM
