2022-02-18T16-04-21,52242,UNIV OF IOWA HOSPITALS CLINICS,02/16/2022 12:00:00 AM,,65,,
2022-04-29T05-13-54,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,116,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,108,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,108,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,108,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,91,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,81,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,75,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,163,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,157,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,149,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,144,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,138,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,138,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,138,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,138,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,129,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,140,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,140,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,137,05/19/2022 12:00:00 AM
