2022-02-18T16-04-21,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/14/2022 12:00:00 AM,,15,15,02/16/2022 12:00:00 AM
2022-05-21T05-54-21,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
