2022-02-18T16-04-21,35968,DEKALB REGIONAL MEDICAL CENTER,02/17/2022 12:00:00 AM,,10,,
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,48,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,46,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,46,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,46,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,46,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,46,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,43,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,43,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,43,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-10T04-15-36,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-11T04-15-14,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-12T04-15-15,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-13T04-15-40,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-14T04-15-16,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,06/03/2022 12:00:00 AM
2022-06-15T04-15-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,25,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,25,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
