2022-02-18T16-04-21,67460,MCPHERSON HOSPITAL,02/14/2022 12:00:00 AM,,5,,
2022-04-16T05-33-42,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-17T05-32-24,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-18T05-31-10,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-19T05-39-24,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-20T05-27-37,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-21T05-29-54,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-22T05-26-18,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-23T05-25-10,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-24T05-22-24,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-25T05-22-33,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-26T05-20-54,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-27T05-23-49,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-28T09-22-45,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-04-29T05-13-54,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-06-14T04-15-16,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-18T04-15-18,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-19T04-15-29,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-20T04-15-58,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-21T04-15-35,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-22T04-15-20,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-23T04-15-16,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-24T04-15-26,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-25T04-15-18,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-26T04-15-17,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-27T04-15-31,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/13/2022 12:00:00 AM
2022-06-28T04-15-44,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-04T04-15-29,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-05T04-15-18,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-06T04-15-19,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-07T04-15-17,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-07T13-15-18,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-08T04-15-19,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-09T04-15-19,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-10T04-15-26,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-11T04-15-25,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,06/29/2022 12:00:00 AM
2022-07-12T04-15-22,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,67460,MCPHERSON HOSPITAL,NLP,NLP,NLP,25,07/11/2022 12:00:00 AM
