2022-02-18T16-04-21,54848,LADYSMITH CENTER - COVID,02/16/2022 12:00:00 AM,,5,,
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-27T05-48-57,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-28T05-34-18,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-29T05-31-58,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-30T05-32-42,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-31T08-56-01,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-06-01T05-37-50,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-06-02T07-54-10,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
