2022-02-18T16-04-21,71232,RICHLAND PARISH HOSPITAL,02/14/2022 12:00:00 AM,,5,5,02/16/2022 12:00:00 AM
2022-05-23T07-42-39,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,71232,RICHLAND PARISH HOSPITAL,NLP,NLP,NLP,17,05/23/2022 12:00:00 AM
