2022-02-18T16-04-21,49085,LAKELAND HEALTHCARE,02/17/2022 12:00:00 AM,,5,,
2022-05-06T06-12-41,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-11T06-51-12,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-14T08-49-14,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-17T05-27-38,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-18T05-40-23,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,13,05/10/2022 12:00:00 AM
2022-05-19T05-25-31,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
