2022-03-03T09-56-49,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,02/21/2022 12:00:00 AM,,5,,
2022-05-17T05-27-38,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,8,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
