2022-02-18T16-04-21,71075,SPRINGHILL MEDICAL CENTER,02/15/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
