2022-02-18T16-04-21,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-24T07-49-11,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-12T07-06-55,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-17T05-32-24,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-20T05-27-37,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-21T05-29-54,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-22T05-26-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-23T05-25-10,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-24T05-22-24,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-25T05-22-33,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-26T05-20-54,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-27T05-23-49,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-28T09-22-45,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-29T05-13-54,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-06-08T05-42-02,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/08/2022 12:00:00 AM
2022-06-09T04-15-20,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,12,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,12,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-18T04-15-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-19T04-15-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-20T04-15-58,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-21T04-15-35,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,27,06/15/2022 12:00:00 AM
2022-06-22T04-15-20,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/26/2022 12:00:00 AM
2022-06-28T04-15-44,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,07/05/2022 12:00:00 AM
2022-07-06T04-15-19,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,23,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,19,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,19,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,19,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,19,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,13,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,18,07/22/2022 12:00:00 AM
2022-07-23T04-15-20,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,18,07/22/2022 12:00:00 AM
2022-07-24T04-15-21,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,18,07/22/2022 12:00:00 AM
